date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收款項減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,避險之衍生金融資產（增加）減少,金融資產減損損失,長期應收租賃款減少,非控制權益變動,非金融資產減損損失
2013-05-14,1,2013,36594852.0,,,0.0,-31250.0,9252,,-822360,-541426,2678344,,,0.0,,66064,-11896.0,,750610,-346321,493998,1142131,-80418491,-16511,-4022,,-951989,107354,3436,-26382,-5693,30841,-2967,-3540.0,-2065468,69794,0.0,-7695015,-80495,,-16599.0,-77032913,35964677,9946,3091725,-654153,531513,-331695,315163,,,2013年01月01日至2013年03月31日,143410588,186028798,704013,,42618210,45747914,,73569672,73608749,,45000000.0,230321.0,,44939320,45747914,2701.0,,150615,-8884632,-8734017,,12531,9564,915865,-28710,,-820420,,484.0,,27860835,306904,186028798,-39077,-649991.0,0.0,,-12464,0.0
2013-08-13,2,2013,72093793.0,,,0.0,-62500.0,-19275,-143982.0,2335878,-90235,6180213,,,0.0,,-64259,-30721.0,,-23626,-852693,1129338,1249030,-158818884,-16616,-10102,,-1477481,110175,12114,-53881,-23124,52333,-997563,-6926.0,281081,-27167,-27796.0,-22223842,-510193,,-1194.0,-153664398,73519241,140919,4445850,-1713657,1071590,-374202,689878,493557.0,,2013年01月01日至2013年06月30日,143410588,225832646,446110,0.0,82422058,105764593,,148808328,163143293,,89644821.0,0.0,-4087493.0,86029098,105764593,5312.0,-502692.0,9049355,-23764448,-14715093,650000.0,111008,11696,2032100,-29365,-979910.0,-995286,,731.0,,57378700,280544,225832646,-14334965,,45716.0,,217860,0.0
2013-11-12,3,2013,112955223.0,,,0.0,-62500.0,77757,-143982.0,3127767,-79924,-1239891,,,-853788.0,,39939,,0.0,26368,-1282220,1861664,39065,-213640001,-18059,-16496,,-2013354,114166,14916,-71982,-67513,81922,700838,,-959796,755742,-27796.0,-21325495,-740050,,13068.0,-205986693,113400781,-145680,4445850,-2826900,1629482,-1242377,1194967,2648441.0,,2013年01月01日至2013年09月30日,143410588,216603697,353755,42833.0,73193109,165114477,,244610435,259008502,-77773307.0,130844821.0,0.0,-17314261.0,34530302,165114477,5312.0,-506560.0,2411417,-21472615,-19061198,690000.0,97368,53857,2370217,-19554,-979910.0,-1271641,,733.0,,93894025,714527,216603697,-14398067,,1541170.0,,212410,0.0
2014-02-18,4,2013,152078618.0,,0.0,0.0,-62500.0,50589,-143982.0,4414942,-312251,1552210,,,-853788.0,,18578,,0.0,228106,-1835980,2646776,849612,-287594773,-27165,-21303,-1795949.0,-2750361,124570,41519,-113087,-98888,113399,122472,,346401,850094,-27796.0,-14131066,-204278,,9554.0,-281054215,153979847,-32189,5145850,-3972031,2202022,-1330886,1790725,2648024.0,,2013年01月01日至2013年12月31日,143410588,242695447,317547,20870.0,99284859,215487122,,347383537,361846606,-77773307.0,130844821.0,0.0,-19636240.0,32105925,215487122,5312.0,-506143.0,8769011,-14488145,-5719134,690000.0,173554,67986,2418578,-48848,-979910.0,-1311807,,733.0,,146359484,1595810,242695447,-14463069,,352214.0,,202619,0.0
2014-05-13,1,2014,43451726.0,,,,0.0,4415,,-150758,615697,3279960,,,,,-28952,0.0,,2283,-613699,796580,2050275,-114905317,-3782,-5181,-1396723.0,-1178194,22303,3744,-1443,-7869,16506,-5986376,-21017.0,722298,-358406,,-2124198,-267262,78060.0,-12724.0,-115859592,40985942,233713,800000,-955380,636435,-863834,596277,,,2014年01月01日至2014年03月31日,242695447,231697295,2665824,,-10998152,53301842,,94860941,95040171,,0.0,8819028.0,,7950224,53301842,0.0,,5839566,-7552963,-1713397,,55255,28533,62843,-497,,-44745,,0.0,,41738329,2359196,231697295,-179230,,,,-29574,
2014-08-12,2,2014,85414938.0,,,,0.0,13258,-520856.0,2391298,70323,7362054,,,,0.0,-389931,0.0,,509923,-1292325,1598030,-194504,-188233322,-3773,-91592,-1396723.0,-1204154,33487,10374,-3742,-25460,59041,-13459372,-16648.0,5331172,-6675,-28426.0,-14774504,-171024,,-383.0,-182354151,86338443,-82244,2900000,-2003006,1263048,-889467,1248110,629843.0,,2014年01月01日至2014年06月30日,242695447,255053573,1646248,,12358126,127399962,,176609804,199212436,,0.0,19220278.0,,18296977,127399962,0.0,-637957.0,15191030,-28793494,-13602464,0.0,114987,62445,473520,-15325,0.0,-186714,3471883.0,-2028643.0,,71812474,113564,255053573,-22602632,,0.0,161900.0,-45527,239864.0
2014-11-11,3,2014,140303820.0,,,,0.0,4897,-520856.0,10829466,137831,220924,,,0.0,,-2244906,,,478469,-1974366,2414084,2277600,-236115030,-3765,-91405,-1396723.0,-2268872,33487,13213,-4981,-49868,73851,-27842096,,5726261,-397779,-28426.0,-42349537,-241059,,22936.0,-226979290,141919819,678501,3200000,-3039533,1914239,-2743513,1874722,3867331.0,,2014年01月01日至2014年09月30日,242695447,225884318,1200859,-13442.0,-16811129,212781154,,267854884,297703699,-77785851.0,0.0,20610319.0,,-59964323,212781154,0.0,-644241.0,16475094,-71856369,-55381275,0.0,163250,68919,663433,-13482,0.0,-326727,3471883.0,-2028643.0,,84922545,73286,225884318,-29848815,,176920.0,83840.0,-58571,239864.0
2015-02-10,4,2014,199012943.0,,,,0.0,-11766,-520856.0,10713628,-744868,5314019,,81478.0,0.0,,-2612158,,,487965,-2730674,3236345,9060170,-288540028,-23151,-91909,-5882316.0,-3859486,47055,30142823,-7704,-57988,2296872,-28871597,-28556.0,6634198,-194866,-28426.0,-43090068,-26405,,41461.0,-282420557,197645186,342853,3200000,-3949674,2606349,-3192971,2578663,3868675.0,,2014年度,242695447,358530507,3615493,,115835060,302097546,,421523731,451441830,-77785851.0,0.0,18563525.0,,-32328284,302097546,0.0,-649733.0,25345350,-75014009,-49668659,0.0,200263,87501,689420,-14518,0.0,-362405,3471883.0,-2028643.0,,149344284,2836910,358449029,-29918099,,211477.0,161900.0,-66735,974331.0
2015-04-24,1,2015,,,,,,15717,601047.0,-2624112,-32060,5383645,,-81478.0,,,-425720,,,10208,-881782,793942,-1779163,-48875682,-31533,0,-9372767.0,-1151372,30189,176072,-174920,-189442,101714,1738305,0.0,-2573738,118123,,16205075,-279066,0.0,,-57168005,54706227,-526938,800000,-1134649,771769,-861616,874723,,53189588.0,2015年01月01日至2015年03月31日,358449029,437330933,-1054551,19547.0,78881904,88258980,-14130.0,156000661,156119157,,,0.0,-17341135.0,-18171589,88258980,,,-2024724,16695313,14670589,,30161,9125,36021,4081,,-45204,,,,67860177,-2314512,437412411,-118496,,,,-179,
2015-08-11,2,2015,,,,,,17984,105699.0,-1689541,731724,10782136,,-81478.0,,,499150,,,438114,-1817825,1577343,-3850952,-102689656,-87321,-3628,-11766723.0,-1589831,33891,454190,-443769,-218253,161583,59374,0.0,-1587537,-164145,-29098.0,14569490,-431752,0.0,,-61278131,108544796,428017,9100000,-1950398,1556307,-1212515,1764337,595980.0,85807446.0,2015年01月01日至2015年06月30日,358449029,528813629,-2014106,18536.0,170364600,186390663,17965.0,267067813,293586228,,,-30334110.0,,-31574130,186390663,,-608707.0,5514132,15873987,21388119,,30462,86756,39269616,50368,,-17712964,3962848.0,-2305323.0,,107195565,-1844746,528895107,-26518415,,,,-42719,31305.0
2015-11-10,3,2015,,,,,,51115,105699.0,52737,925665,-1947397,,-81478.0,,,1049004,,,7487,-2875858,2370284,10109235,-172993344,-87970,-3628,-19301111.0,-2657499,33891,557639,-552993,-267994,227253,1271757,-735.0,-3106992,-363369,-29098.0,15780788,-198053,0.0,,-116065652,163884425,-213641,13900000,-2876252,2365320,-2704853,2606926,4023801.0,143438649.0,2015年01月01日至2015年09月30日,358449029,515649920,2492659,,157200891,269785282,43749.0,385207252,426028375,-116683481.0,,-2628330.0,,-122049944,269785282,,-616675.0,-5862191,18666635,12804444,,70433,357993,53990941,49503,,-21564139,3962848.0,-2305323.0,,156243093,-540919,515731398,-40821123,,132015.0,,-42719,2375938.0
2016-02-02,4,2015,,,,,,53607,54098.0,-2833292,263384,2860250,,-81478.0,,,720301,,,147933,-4129316,3190331,8258851,-257516835,-2586169,-13392330,-28181915.0,-4283870,33891,754873,-742458,-404458,348434,-655249,-15126.0,-2693358,-369134,-29098.0,26630123,-192767,398185.0,,-217245837,219303369,-228560,16800000,-4132128,3202200,-3156218,3641920,4023801.0,197168813.0,2015年度,358449029,562607452,2563439,,204158423,350428911,52540.0,529879438,570822795,-116683481.0,,3138680.0,,-116734029,350428911,,-621513.0,-3365768,26590839,23225071,,816852,368778,57493051,-433559,,-22157929,5171962.0,-2507707.0,2659.0,220393884,-382774,562688930,-40943357,,154721.0,0.0,-50218,2604098.0
2016-05-10,1,2016,,,,,,-15991,0.0,-2361070,837838,4436180,,0.0,,,-3129147,,,1245,-1332589,850580,-6079266,-38141373,-187378,-11171713,-12439373.0,-1003705,0,200080,-202243,-55609,47608,9809950,,3728,-7283,,-12473495,-178096,102433.0,,-55347367,54950729,-685378,3000000,-840895,896332,-689803,1541119,,53252528.0,2016年01月01日至2016年03月31日,562688930,617984318,-1293976,32889.0,55295388,72255899,-10571.0,121528853,121670945,,,,-4114866.0,-4806832,72255899,,,1996837,-5834319,-3837482,,12470,14381,2943420,-8235,,-3552,,,-9647.0,49415046,-64147,617984318,-142092,,,,0,
