date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-04-29,1,2013,32543.0,,,-28000.0,-1904,-61677,-16044,28550,4177,-7712,297.0,-1912,,-4200,2470,35825,-2484,,-8149,,-12105.0,8469.0,,,,,,-74753,-9680,-24885,-79929.0,,2588,11423,4571,2.0,24075,33907,42733,5752,11909,-2655,4204,,,2013年01月01日至2013年03月31日,1693343,1638686,-39494,-54657,32264,,-53328,-31858,,,60000.0,-61229,32264,183.0,2200.0,-55422,-41243,-96665,,335,0.0,48390,-12.0,0.0,-10848,,-64122,1638686,-25674,608,,642.0,21599,,-5638
2013-07-26,2,2013,130260.0,,,-124600.0,-203806,-17509,-38929,20261,2921,-22157,7.0,-13086,,-7196,4547,-156,-13301,-19296.0,-15981,,-12105.0,12705.0,,,,,,-37328,-54683,76400,-49932.0,,15306,-309927,-6733,26.0,142246,58552,46545,7635,23852,-6002,7199,,,2013年01月01日至2013年06月30日,1693343,1517664,-4414,-175679,100536,,-58795,-39710,,,179400.0,-258974,100536,384.0,2200.0,94484,-364990,-270506,0.0,152,0.0,215863,543.0,0.0,-23469,,-140246,1517664,-26284,1919,0.0,642.0,53002,,618
2013-10-28,3,2013,233721.0,,,-124600.0,-205713,-17417,-31859,58314,4929,-8622,8.0,-7115,,-12091,2081,1925,-72787,-34132.0,-29143,,-12105.0,,,,,,,45309,-54683,69751,-99952.0,,12117,-148644,-2517,55.0,77800,78961,48530,5545,34902,-8235,12094,,,2013年01月01日至2013年09月30日,1693343,1986450,-4064,293107,123636,,362765,385329,-57350.0,,400500.0,-149383,123636,556.0,2200.0,122820,-94848,27972,0.0,152,0.0,232930,1835.0,0.0,-26226,,261693,1986450,-34658,5428,79436.0,642.0,65158,,-1974
2014-03-25,4,2013,284307.0,11274.0,-19645.0,-124600.0,-207629,14687,-31657,32119,-5138,-4821,,-58101,,-17165,4335,6006,-122757,-53970.0,-48374,,-12105.0,,16416.0,,,,,171372,-54683,115566,-199858.0,,8270,-7047,-3586,8664.0,92,97191,48593,798,48528,-10789,17168,,,2013年01月01日至2013年12月31日,1693343,2168381,-9053,475038,50517,,680745,686499,-57350.0,,420500.0,-211805,70162,6579.0,-4632.0,179306,172369,351675,0.0,495,32000.0,251630,2758.0,0.0,-13963,,635982,2168381,-35323,3999,89743.0,6188.0,75189,,4653
2014-05-07,1,2014,34585.0,,0.0,0.0,-3246,-106666,10505,17117,-8014,5796,0.0,-6861,,-4681,1831,-1139,-3598,-19838.0,-39222,,0.0,,,280.0,,,,136093,-883,-313813,-100000.0,,-4278,147728,8062,-6.0,-6400,19791,1595,2298,9630,-1557,4681,3820.0,,2014年01月01日至2014年03月31日,2168381,1686888,5794,-481493,46104,,-19548,-21749,,0.0,-390000.0,-454406,46104,0.0,,-407646,305208,-102438,41000.0,184,,67504,-142.0,,-1386,,-67853,1686888,-6300,-5461,747.0,0.0,6164,-4569.0,3443
2014-08-11,2,2014,107169.0,,0.0,0.0,-7154,-104359,-2188,30083,-36138,-14757,793.0,-17436,,-9449,3217,-8115,-477914,0.0,-109595,-505485.0,0.0,,9941.0,,,,470.0,-11163,-71558,-98135,,-28.0,-6766,291120,-1114,14.0,-933985,37481,1716,-9240,20287,-3188,9495,13684.0,,2014年01月01日至2014年06月30日,2168381,1913472,11523,-254909,42375,,207385,215213,,,-40000.0,479806,42375,5319.0,,-179163,244832,65669,591000.0,1130,23276.0,151569,98.0,,-2101,,172838,1913472,-31007,-1707,-964.0,0.0,52705,,17356
2014-11-05,3,2014,110693.0,,0.0,0.0,-100210,-5861,-53171,77602,-36730,-2558,0.0,-24041,,-13475,7664,-18153,-490183,0.0,-190770,-505485.0,0.0,,9941.0,513.0,,-1801.0,,-15201,-109713,7305,179932.0,,-8172,165567,9307,-120.0,-679804,57464,997,-12788,29869,-7631,13629,14351.0,,2014年01月01日至2014年09月30日,2168381,2145335,12427,-23046,125027,,365237,368288,-57908.0,,-191000.0,309674,125027,5319.0,,70754,61814,132568,591000.0,247315,23276.0,261885,-83154.0,,2276,,243261,2145335,-31031,-4180,8069.0,-5250.0,101202,,-6397
2015-03-17,4,2014,192150.0,0.0,0.0,0.0,-106633,-67732,-17227,146122,-168,-6245,,-89269,,-17591,11415,-50031,-491525,-3000.0,-220461,-505485.0,0.0,,9941.0,4086.0,,-1379.0,,-84823,-165645,-107902,79936.0,,-9262,311683,5844,109.0,-754108,76192,3702,-14738,38524,-11413,17745,17158.0,,2014年度,2168381,1816488,24947,-351893,166109,,500132,508303,-57908.0,,-386000.0,-47886,166109,5319.0,-3474.0,-38665,188709,150044,591000.0,249153,23276.0,284582,-83433.0,,-656,,342194,1816488,-43074,-8506,44491.0,-5250.0,119660,,-24057
2015-04-24,1,2015,,,0.0,,-6499,-68987,28006,79379,5193,13758,,-7680,,-3567,3118,-1751,-40140,0.0,-54810,,,,,-1194.0,,,576.0,5954,0,-286395,,-179936.0,0,244675,2826,,-39644,21248,-590,1198,6210,-3119,3567,5502.0,43775.0,2015年01月01日至2015年03月31日,1816488,1776396,9391,-40092,28764,-14.0,112051,117288,,,80000.0,-110748,28764,,,-276017,320766,44749,0.0,0,,62410,17.0,,-10438,,88524,1776396,-14306,-399,6369.0,,10628,0.0,20944
2015-08-06,2,2015,,,,,-12956,-33586,5328,88530,18759,4528,0.0,-10158,160.0,-6976,6321,6288,-46997,,-101930,-2950.0,,,0.0,,-659.0,,2068.0,220961,-9310,-419361,-179936.0,,84,234343,3023,,-28202,42870,-443,2084,11102,-6321,6976,5502.0,35552.0,2015年01月01日至2015年06月30日,1816488,1951812,-13437,135324,75321,-1063.0,226420,264772,,,140000.0,-69182,75321,0.0,,-365396,519295,153899,0.0,0,0.0,131765,,,-20513,,189451,1951812,-50830,4165,3791.0,,5985,,32796
