date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,190163.0,,-218720,-6513,2892,886.0,,-2374,254129.0,,,,,12172.0,-75346,5113,163710,-142066,,,,-219181,0.0,,2082,,,,40.0,-251535,,130352,52479,-1968,3002,-55399,-8709.0,-349140,158114,-40202,,-22689,124071,-3780,75346,,,2013年01月01日至2013年03月31日,11188839,12742989,1554150,815563,,903416,832141,,836164,836164,815563,,-76742,-96843,-173585,-105,,0.0,44,0.0,,0.0,,,16578,,12742989,-291,-1226,,,-10616,-21289.0
2013-08-12,2,2013,352499.0,0.0,158731,-5700,19330,-31437.0,,-23321,-378385.0,,,,8810.0,,-184213,14506,295326,-235288,,,,-318374,-192373.0,,5250,,,224.0,,-320574,,-28630,43379,-775,-356823,-106243,-18721.0,-471380,312649,-86389,,-50942,260395,-12819,184213,,,2013年01月01日至2013年06月30日,11188839,16665961,5477122,1667244,,1267368,1169057,,4385808,4385808,1667244,,390936,-1241622,-850686,3072,,0.0,-2209,0.0,,0.0,262549.0,,-498187,265973.0,16665961,-73083,-2937,,,18899,
2013-11-12,3,2013,503387.0,9865.0,602956,-5439,-75835,-8432.0,,-10158,,284441.0,,,-1238941.0,4501.0,-296181,26501,150189,-281311,,,,-395783,-1162795.0,,8681,4685.0,,220.0,,-255641,,-347102,96437,-2399,-487403,-69012,-31801.0,-2503913,453396,-119405,22950.0,-72893,400818,-26378,296181,34823.0,,2013年01月01日至2013年09月30日,11188839,15863835,4674996,2525534,,2772509,2559671,,4251526,4256211,2525534,-22686.0,586935,-1056185,-469250,3025,,67400.0,937,-34745.0,,0.0,466956.0,,34137,,15863835,-91788,4559,35000.0,,-40457,
2014-03-25,4,2013,660895.0,9865.0,740213,-905,-53287,886.0,,-19260,,372792.0,,,-1111207.0,,-403269,41447,354980,-421914,,,,-686082,-1264647.0,,10990,96.0,,-9254.0,,216109,,-432027,91357,-3177,-591912,-268956,-36682.0,-2695683,596008,-10234,22950.0,-90117,548265,-41447,403269,34823.0,,2013年01月01日至2013年12月31日,11188839,16515621,5326782,3257532,,4258536,3928019,-1695850.0,5104703,3408949,3257532,-22686.0,712311,-702719,9592,5945,,67400.0,-3736,-93665.0,,88983.0,602278.0,,670487,,16515621,-66128,-7342,85000.0,0.0,4675,
2014-05-05,1,2014,-17356.0,0.0,-62776,4600,-26944,0.0,,-12,,46560.0,,,3678.0,1009715.0,-121255,27833,183448,-733044,,-74903.0,-40000.0,-235409,0.0,,-2124,,-102.0,-30532.0,,-154361,,491288,-18229,680,555993,18050,-9734.0,608396,148092,-489868,,18340,137425,-22075,112643,,,2014年01月01日至2014年03月31日,16515621,19364665,2849044,911738,,1220880,1130312,,836422,836320,911738,,411568,-175638,235930,0,,0.0,48,-221708.0,154503.0,263910.0,290478.0,,218574,,19364665,0,-4007,,,-78508,-40809.0
2014-08-08,2,2014,70221.0,,663127,7067,-32924,0.0,,-10,,58863.0,,4374.0,-1100571.0,,-260221,45034,-65606,-782543,,-73442.0,-40000.0,-331632,-1037141.0,,-8655,,72.0,-29832.0,,-77995,,548398,33709,2700,6445,-179748,-19488.0,-2329655,294270,-416038,,-4106,265564,-39922,220491,,,2014年01月01日至2014年06月30日,16515621,17644299,1128678,2043607,,2797207,2747215,,726660,726732,2043607,,1308958,-675571,633387,0,,0.0,153,-249396.0,151490.0,325082.0,584560.0,,703608,,17644299,-130577,-12422,,,24689,14592.0
2014-11-11,3,2014,-518722.0,0.0,1277447,7067,-80799,0.0,,7166,,93068.0,,,-217075.0,3270.0,-414891,56093,168835,-820750,,-347235.0,-100000.0,-669606,-1263293.0,,-5862,,9217.0,-29939.0,,-188489,,1063659,9655,2097,-381724,-134240,-29777.0,-1092373,437069,-669160,13005.0,-2980,408689,-64751,326395,27052.0,,2014年01月01日至2014年09月30日,16515621,21951551,5435930,3731075,,4370318,4258368,,1979933,1989150,3731075,-27230.0,2467146,-1421131,1046015,0,,0.0,158,-1083612.0,401571.0,827890.0,1109789.0,,527293,,21951551,-176746,-21402,135246.0,,33281,36764.0
2015-03-16,4,2014,-365223.0,0.0,1131230,-5351,-7105,0.0,,14290,0.0,164785.0,,0.0,-296292.0,,-563576,88111,877855,-824898,,-404726.0,-100000.0,-855440,-1506554.0,,-11727,10626.0,,-33218.0,,-1091593,,1664256,-24984,372,451970,-50880,-40447.0,-389142,571734,-502077,13005.0,5284,563952,-89207,465803,38699.0,,2014年度,16515621,21608816,5093195,4286142,,5890489,5667573,-2524758.0,1228125,-1286007,4286142,-27230.0,2904151,-1157497,1746654,730,10449.0,232782.0,-391,-1095958.0,418486.0,827890.0,2128644.0,,1381431,,21608816,-192379,-30668,135246.0,,42188,
2015-04-27,1,2015,,0.0,-408963,-9703,-47361,,,25580,,21193.0,-502157.0,,-9742.0,,-180899,28738,-210043,-108027,,0.0,0.0,-449766,,0.0,-4905,,-7442.0,-403.0,,-398116,,-850851,-63595,602,405065,197402,,-1042770,135683,-66886,,7162,189309,-23725,113034,,166820.0,2015年01月01日至2015年03月31日,21608816,25544721,3935905,805808,-11283.0,-136531,-225840,,5332691,5325249,805808,,-1272667,74199,-1198468,2000,,0.0,-1960,0.0,0.0,0.0,,25325.0,-1031648,,25544721,0,-6308,,,-15905,24353.0
2015-07-31,2,2015,,0.0,-170748,18280,23932,0.0,-951418.0,-26392,,41226.0,-1780663.0,,,12243.0,-354803,59561,-388470,-266949,,-282154.0,-200000.0,-637367,,0.0,-7433,0.0,-5977.0,-3468.0,,-1224054,,-471928,-86669,2604,737495,172349,,-3293323,279575,-521373,,14066,392051,-56402,353462,,365366.0,2015年01月01日至2015年06月30日,21608816,22806346,1197530,1204102,-23732.0,96731,35633,,4788569,4782592,1204102,,-689395,-844440,-1533835,2000,,488772.0,-1920,248.0,0.0,0.0,,325681.0,-1168469,,22806346,-235962,-15979,,,-32789,27964.0
