date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加,預付設備款減少
2013-04-30,1,2013,,2530261.0,,,-2292589,-1000251,289761,,-6665,5366,,,,,,2556.0,6076,-8610,249219,294446,-2746076.0,,-15017.0,,-3214.0,,-215,0.0,-327.0,7261,139286,-2647997,0.0,-199809.0,4970,5173346,-2763,,,-960512,2086522,,54359,,5482,-247152,12812,,,2013年01月01日至2013年03月31日,5941016,6064556,106487.0,,123540,-1730087,,2526072,2801975,,,756259.0,,-1736466,-1730087,,-3657554,5659355,2001801,0.0,118973,,0.0,2586,0,,,68440.0,4532062,-7611.0,6064556,-41563,-120497,,,203211.0,,,,1606565.0
2013-08-06,2,2013,,4609347.0,,,-3402795,-1064605,-112546,,-32749,478447,,,,,-86239.0,,12286,-17753,501049,437088,-1382207.0,,-54933.0,,-4344.0,-33779.0,-215,1531.0,,10267,1400216,-4170288,0.0,-159821.0,1424,4606645,-3578,,,-2308252,4214711,,119288,,10961,-473881,19520,,,2013年01月01日至2013年06月30日,5941016,5029568,-202428.0,,-911448,-3390541,,1800892,2428987,0.0,,1739216.0,,-841176,-3390541,-21683.0,-5278291,6488472,1210181,980693.0,191160,,16739.0,3788,3271,,,0.0,5819528,-12073.0,5029568,-173734,-231377,,0.0,336737.0,,,-964916.0,
2013-10-29,3,2013,,7265381.0,0.0,,-3716959,-664722,-328794,,226,398542,,,,,-3881.0,,18523,-25081,796001,297407,-1692369.0,,-59933.0,,-25912.0,-75639.0,367,6650.0,,10237,-284616,-3325361,,-159813.0,-1379,4936444,1245,,,-3005256,6353540,,153549,,18026,-756714,25038,21738.0,,2013年01月01日至2013年09月30日,5941016,4962718,-372994.0,,-978298,-5799636,,1405496,2337697,0.0,,2743327.0,,324055,-5799636,-21738.0,-4004418,4876370,871952,1450850.0,202907,,26684.0,3661,3242,506.0,-15.0,0.0,8137333,-13182.0,4962718,-200525,-141583,,0.0,633432.0,,,-1409594.0,
2014-03-04,4,2013,,13373087.0,0.0,,-4798035,-120290,-502635,506.0,50985,1537319,,,,,-4458.0,,24706,-37407,916985,476900,-2607439.0,,-62942.0,,-27819.0,-309878.0,367,7760.0,,6438,863993,1006511,,-159810.0,190696,1842596,-7715,,,-4591497,8503301,,97792,,25243,-865369,35766,21738.0,,2013年01月01日至2013年12月31日,5941016,7068795,-568581.0,,1127779,-10208936,,7062126,8106044,0.0,0.0,1386304.0,,-1819750,-10208936,-21738.0,1110543,3831350,4941893,1744031.0,234412,,107523.0,1091,-24623,,,0.0,18314980,-17359.0,7068795,-214315,-257051,,0.0,4810794.0,,,-1949578.0,
2014-05-08,1,2014,,1492352.0,,,-118749,-1271911,653282,,113779,552325,,,,,,-326.0,6561,-14585,295664,234778,-481588.0,,0.0,,-13750.0,,0,,-1252.0,5712,-875337,-1738184,,-39999.0,-118779,1650397,2851,,,-138346,1241981,,299659,,7639,-300810,12625,,,2014年01月01日至2014年03月31日,7068795,4637526,203607.0,,-2431269,-1485992,,-1081731,-729322,,,0.0,-1772512.0,-1445970,-1485992,,-3018859,2283177,-735682,486542.0,20135,,226269.0,-2659,-154302,,,137444.0,756670,-3764.0,4637526,-64224,-231149,,,139595.0,,,-32242.0,
2014-08-13,2,2014,,3648694.0,,,-1225651,-1076406,779606,,71778,506256,,,,,3990.0,,12856,-29520,597435,-127053,-777284.0,,-19851.0,,-22354.0,0.0,0,0.0,-3648.0,5916,-1504746,405934,0.0,-39999.0,-176015,1300134,4106,,-3539.0,-688967,2504558,,285357,,14970,-600989,27793,,,2014年01月01日至2014年06月30日,7068795,5443997,231796.0,,-1624798,-3100395,,490313,1137761,1910143.0,,0.0,-2423937.0,-1299091,-3100395,-19975.0,-781251,1370713,589462,484001.0,79760,,249034.0,-10261,-175198,,,52990.0,4238156,-6542.0,5443997,-74252,-47326,,0.0,572898.0,,,-261168.0,
2014-11-14,3,2014,,15808556.0,39436.0,,-3110197,591594,903122,,158863,239314,,,,,863.0,,18925,-42855,878352,204588,-1458450.0,,-25868.0,,-23969.0,365296.0,249,-2025.0,,-8113,-2232817,2838671,,-39999.0,111438,2015121,5445,,-3539.0,-1049668,3759375,,257443,,22950,-901391,39990,9621.0,,2014年01月01日至2014年09月30日,7068795,3696640,355823.0,,-3372155,-17295525,,2459822,3392227,1910143.0,,0.0,-4233660.0,-4986897,-17295525,-20156.0,3691568,1187628,4879196,488841.0,94584,,284505.0,5508,-190416,0.0,0.0,,20687752,-8998.0,3696640,-71004,-255203,21585.0,,11257958.0,,-36127.0,-291446.0,
2016-03-18,4,2014,-1480.0,34946262.0,39436.0,,-3494983,-1880307,974776,0.0,222350,1661247,,1910143.0,424742.0,,-539303.0,,-10122900,-53281,1210104,-20197,-1536835.0,-26368.0,-25868.0,-10000.0,-23969.0,,6014399,-9812.0,,33215,5171274,5774103,,-39999.0,-187132,357381,5948,7317.0,,-1172380,4819570,,357863,-94027.0,29498,-273865,56930,15939.0,,2014年度,7068795,2571340,552091.0,5785113.0,-4497455,-42724455,,4151002,4686627,,,-6334111.0,,-7455880,-42724455,-15939.0,3936331,8528489,12464820,512882.0,97341,32818.0,333502.0,-35075,-202424,,,,47411082,,2571340,-318690,-247295,,,,27307908.0,,12970.0,
2016-05-04,1,2015,0.0,,,,-1736,133480,7591,,100061,-6985,,,-63000.0,,62330.0,,-50794,-4308,258896,-72764,0.0,,,,0.0,,158161,-1621.0,,1780,126293,-443021,,0.0,-9175,2102607,187,,,76062,357513,,-1382,-7241.0,34,-307030,798,,684568.0,2015年01月01日至2015年03月31日,2571340,4747371,-29413.0,,2176031,-89751,0.0,2182967,2604473,,,,-6877.0,-10234,-89751,,-218655,2228311,2009656,0.0,9521,75736.0,0.0,0,-2216,,,,2694224,,4747371,-115274,3936,,,,,,-10305.0,
2016-05-12,2,2015,0.0,,,,-214193,131565,10308,,-44116,28045,,0.0,,159410.0,,1984.0,-45500,-10248,459144,-132742,0.0,,0.0,,0.0,,167349,,-1842.0,18217,145767,-837068,,0.0,-12802,2460374,187,,,245042,697161,,8367,-4728.0,52,-441168,4304,,1486199.0,2015年01月01日至2015年06月30日,2571340,4622122,224667.0,,2050782,-596922,,2227531,2779904,,,,-73014.0,-289049,-596922,-2934.0,-762421,2653048,1890627,0.0,0,75736.0,0.0,0,-2216,,,,3376826,0.0,4622122,-115509,3452,,,,,,-10305.0,
2016-05-23,4,2015,,,0.0,8953.0,-222801,64911,10243,,-140423,25180,-30.0,0.0,-2157428.0,,-25573.0,,43147,-46121,733144,-27482,-1675.0,0.0,0.0,,0.0,,177984,,-514.0,20821,146953,-586844,,0.0,-12802,3046257,227,,0.0,-2076460,1026408,-3699.0,12066,7952.0,52,-402451,1203,2707.0,2976020.0,2015年度,2571340,2424480,976621.0,,-146860,-2869634,,2197650,2668425,,,,-97453.0,-240568,-2869634,-2707.0,-678887,3240926,2562039,9150.0,0,75735.0,0.0,0,-54722,,,,5538059,,2424480,-69527,3452,,71050.0,0.0,110810.0,,,0.0
2016-08-09,2,2016,,,,,-80688,212000,1997,,121776,-4520,,,,-254592.0,,-1466.0,-122040,-17510,261434,-73810,,,,,,,-237029,,-514.0,1010,-173,-262227,,,968,709598,0,,,-254984,281703,,0,34553.0,0,-173923,14705,,221433.0,2016年01月01日至2016年06月30日,2424480,2536711,,,112231,-306407,,522227,681445,,,,0.0,-81202,-306407,-11116.0,59517,706902,766419,,359,0.0,,-316,0,,,,987852,-13000.0,2536711,0,0,,,31754.0,,,-295.0,
