date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-14,1,2013,-10036.0,,-2693640,-79216,,6256,,72584,-8719,8014,,-351143,,-6885,29773,538748,-688551,0.0,-258792,,,-36756,3516,,,,,,-675591,,-1097889,-480289,0.0,,-6585,977982,-19659,44371,-685532,392539,242204,20205,16362,-33972,6831,,,2013年01月01日至2013年03月31日,1838493,1425655,-412838,1258534,-99963,135327,,146789.0,,-166091,1258534,,,-1583381,470210,-1113171,2380760,38688,,593892,138,-254817,17084.0,46.0,,-1123207,,1425655,-208149,-210867,,,,,,-96634
2013-08-12,2,2013,378570.0,5850.0,-5718515,880674,,-161253,,-6704,-11411,49078,,-737040,,-14214,58018,576349,-1474746,-6278.0,-951748,,,-48051,7334,,,,,,294405,,-1713650,-110708,0.0,,-6609,-525056,35047,13635,-1632270,809241,298399,22399,32312,-51572,16826,,,2013年01月01日至2013年06月30日,1838493,1491256,-347237,2422478,935181,1519800,,323428.0,,-226497,2422478,,,-907919,-373329,-1281248,4549850,122216,,1303192,2498,-297046,154289.0,46.0,,-902678,,1491256,-549873,-242726,754.0,,618740.0,,,-317095
2013-11-13,3,2013,421225.0,5850.0,-7270200,577150,,31827,17984.0,115608,-9285,52633,,-771015,,-23536,58212,228512,-2265312,-6278.0,-1831769,,,-72877,-4990,,,,,,-193297,,141441,-335394,250000.0,,-4268,-1387287,-3356,19746,-2021814,1254850,196447,5050,53453,-60595,25827,153506.0,,2013年01月01日至2013年09月30日,1838493,1526626,-311867,3722657,2525377,3148384,-2622754.0,2084426.0,,-1043942,3722657,,-153506.0,547170,-1542668,-995498,5471730,155969,,2187813,3695,-543049,557774.0,47.0,,-574273,,1526626,-741745,-229708,754.0,,1042856.0,,,-197463
2014-03-12,4,2013,982465.0,5850.0,-8518035,1448091,,218221,119101.0,20712,-572,40668,,-800998,372503.0,-32950,85470,761048,-3258951,-106277.0,-3062819,,-282739.0,-108084,-42637,,14857.0,,-17737.0,0.0,-160612,,2076017,-109920,,0.0,3691,-1192795,-26235,48989,-3744916,1679936,332422,-35994,71600,-102326,35362,153962.0,,2013年01月01日至2013年12月31日,1838493,1578337,-260156,4983020,7885388,8593633,-2622754.0,,-1006296.0,-5161676,4983020,,-153962.0,3479259,-851111,2628148,5036790,213037,,2987161,11778,-591139,567493.0,47.0,,3610613,,1578337,-795243,-402696,20556.0,,1933762.0,,,-70529
2014-05-12,1,2014,134483.0,,-1370570,-315974,,37210,,17212,-2992,-50043,,-53815,,-5910,10421,209592,-641728,,-742684,,,-39083,-1140,,,,-31221.0,0.0,-181540,,-1532295,-85232,,,-8718,2236081,23121,18118,-1312068,469822,158154,-1662,24089,-10471,3337,,,2014年01月01日至2014年03月31日,1578337,2239329,660992,912731,1131823,1389097,,1502215.0,,631645,912731,,,-1975050,2316933,341883,500000,47176,,149287,-1297,-324300,0.0,0.0,,476366,,2239329,-250140,30681,,-66221.0,,,,28781
2014-08-13,2,2014,572129.0,0.0,-1370570,169767,,-112162,,-26694,883,-31749,,-27309,,-20741,20503,-88682,-1636868,0.0,-2363487,,,-47695,-8134,,,,-21612.0,,801307,,-2730529,-55118,10000.0,,-14683,1451113,25928,14595,-1708284,898682,65169,17171,46928,-19940,20205,,,2014年01月01日至2014年06月30日,1578337,1681611,103274,2399711,1733174,2246734,,1024645.0,,167066,2399711,,,-2689006,1963900,-725106,500000,80640,,2308047,5883,-459715,0.0,0.0,,-152977,,1681611,-513825,137773,0.0,,2991.0,,-66221.0,-282933
2014-11-13,3,2014,655060.0,,-1370570,844796,,-30035,0.0,-34301,-6880,-9776,,-87940,,-33381,32742,275530,-2824999,-52331.0,-2989792,,,-60925,-6496,525.0,,,-42411.0,,-953072,,1230021,-38769,0.0,,-6879,-253518,-65742,7329,-3114985,1366035,220845,54148,78729,-31085,33287,231931.0,,2014年01月01日至2014年09月30日,1578337,2132177,553840,3773262,4254537,4822002,-2991280.0,2963657.0,,-861242,3773262,,-209249.0,1760847,-1367167,393680,895525,119574,16000.0,2807314,4583,-498356,0.0,0.0,,1048740,-224245.0,2132177,-801598,-67474,0.0,,-358574.0,,-66221.0,-286094
2015-03-25,4,2014,796459.0,,-1370570,1093554,,13669,0.0,-47443,-26189,-33688,,-251095,0.0,-52387,46587,982383,-4094872,-652331.0,-4147769,,0.0,-69863,-5087,525.0,0.0,-200.0,-56516.0,,-1308377,,3083365,-145384,,,15717,-576348,-122878,27840,-5344662,1899068,396295,91916,108087,-41987,52053,232867.0,,2014年度,1578337,1980696,402359,5605857,7172883,7842254,-2991280.0,1401319.0,0.0,-2408245,5605857,,-210185.0,3741876,-2301938,1439938,911060,170860,16000.0,3740399,45798,-645673,0.0,0.0,,2236397,-224245.0,1980696,-912304,-415444,0.0,,-358574.0,,-66221.0,-705950
2015-05-05,1,2015,,,0,-389100,201860.0,-19287,,-20737,-14565,1294,-831191.0,-20067,,-11283,12879,-168754,-499840,,-944773,-1893763.0,,-27956,-253,,,,0.0,7036.0,-207653,,-3968033,-116189,,,-24347,2786778,-20425,-10286,-3236949,499006,42160,51260,23969,-13415,11246,,623481.0,2015年01月01日至2015年03月31日,1980696,1956849,-23847,873503,-647160,-416586,,1817784.0,,4029016,873503,,,-4517112,2603542,-1913570,2200873,109191,,662554,2210,-49336,,,,-1290089,,1956849,-228405,82029,,,10359.0,13000.0,0.0,46820
2015-08-12,2,2015,,,-2499960,230770,198834.0,-119859,,55109,13317,1313,-825243.0,-123927,,-37075,30232,-594551,-1024190,-244220.0,-2430024,-1893763.0,,-26676,6162,,,,-65507.0,,967990,-210437.0,-4698462,-120452,0.0,,-19880,-253852,67817,-680,-4588966,995033,-37393,98382,48203,-22001,28464,5014.0,976641.0,2015年01月01日至2015年06月30日,1980696,1814918,-165778,2257726,-1067101,-616196,,4313732.0,,6084840,2257726,,-195590.0,-4551602,701039,-3850563,4262565,229995,3150.0,1823042,19257,-136726,,,,-2873922,,1814918,-462382,122763,,,8503.0,26000.0,0.0,63699
