date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分持有至到期日金融資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-04-29,1,2013,18414.0,-180000,-41958,,2273,2566,-3707,-27150.0,,,67.0,-11104,4954,72098,-48769,-160000,,,-5200,-134902.0,,-457.0,0.0,-50619,,-266950,461,0.0,,12722,450151,18925,-4679,920.0,-89919,62215,1021,-4507,11104,,,2013年01月01日至2013年03月31日,1860930,1862331,1401,155285,,238454,272030,,,,-34725.0,-219232,155285,,-323023,421354,98331,0,262,,110062,,193,137914.0,,-38965,,0.0,,116745,1862331,-33576,100,,9010,-3634
2013-08-09,2,2013,80231.0,-180000,21179,,-7919,26486,-6085,53720.0,108.0,0.0,,-20895,8740,56042,-156444,-245000,,,-8357,-236.0,,-619.0,,-35980,,297781,521,0.0,,425,-101337,28869,-30075,1127.0,58125,127722,2725,-8026,20895,,,2013年01月01日至2013年06月30日,1860930,2204240,343310,303296,,530672,633553,,,,-113503.0,-301529,303296,,397893,-147867,250026,0,427,,309545,,705,137914.0,,-39066,,0.0,,330257,2204240,-102881,300,,4552,-3346
2013-11-11,3,2013,141806.0,-180000,-27256,,-16300,1863,-1978,-244826.0,82.0,0.0,,-28956,12477,18474,-185416,-628646,,,-9140,-236.0,,-444.0,,-60934,,419723,180,0.0,,686,-502770,20668,-16025,1351.0,70618,192249,4254,-12733,28956,,,2013年01月01日至2013年09月30日,1860930,1921274,60344,486026,,73696,207040,,,215195.0,-274906.0,-102444,486026,,145229,-566021,-420792,150000,2493,,647776,,726,137914.0,,-39244,,77361.0,,-278986,1921274,-133344,300,,11236,-6492
2014-03-17,4,2013,220596.0,-500000,-8510,,-7063,24115,-13262,-258171.0,-225.0,,,-39871,17227,68185,-220847,-1010065,,,-9818,-10330.0,,-699.0,,22538,0.0,-71232,287,0.0,,113,-64613,26044,-751,858.0,-125958,258507,5805,-17127,39871,,,2013年01月01日至2013年12月31日,1860930,1877336,16406,613442,,281715,466206,,,250905.0,-421314.0,-207536,613442,,-318434,-49398,-367832,480000,2647,,812917,,17688,137914.0,,-39250,,132452.0,,-147236,1877336,-184491,490,,-12066,-5894
2014-04-28,1,2014,61133.0,-50000,-21886,,-287,-535,-10,-42416.0,,,,-12129,4527,8188,-21906,-504330,,,-824,0.0,,52.0,,-28173,,-470583,-203,,,514,850367,11120,16556,308.0,-160857,66948,1617,-5092,12129,,,2014年01月01日至2014年03月31日,1877336,1881130,3794,128151,,485490,509312,,,,-323935.0,-329027,128151,,-532325,852353,320028,50000,304,,343276,,390,0.0,,-10,,10442.0,,381161,1881130,-23822,-210,,2780,2476
2014-08-01,2,2014,119100.0,-100000,20613,,8463,6126,-3917,-11630.0,,,,-27538,8034,-55137,-91400,-1216140,,,-810,0.0,,332.0,,-66964,,-200571,401,,,104,444059,7385,-21353,618.0,-142809,133076,3179,-8361,27538,,,2014年01月01日至2014年06月30日,1877336,1872975,-4361,319452,,559074,625865,,,,-300850.0,-365489,319452,,-186598,373911,187313,80000,805,,1126577,,2661,0.0,,-32,,10289.0,,306413,1872975,-66791,-280,-36278.0,6238,-2259
2014-11-07,3,2014,175173.0,-100000,42738,,-25623,-30889,310,-265992.0,,,,-44130,12009,35500,-161651,-2466821,,,-1472,-65440.0,,-54.0,,-84879,,-128564,-207,,,697,235579,9936,-39102,936.0,-589157,199881,4775,-12062,44130,,,2014年01月01日至2014年09月30日,1877336,1358175,-519161,531251,,321120,432791,-284152.0,,0.0,-9132.0,-286624,531251,,-380264,106631,-273633,155000,936,,1991328,,3342,0.0,,-114,,69887.0,,-98460,1358175,-111671,-590,-36278.0,10410,1017
2015-03-23,4,2014,244923.0,-585000,44079,,-11378,-7888,10946,-135028.0,,,,-31830,16802,192531,-223640,-3350364,-10795.0,-213857.0,-1503,-50918.0,,-545.0,,-108285,,-202933,2201,,,4,469785,11598,-12969,1256.0,-844144,268720,6382,-16999,31830,,,2014年度,1877336,1404199,-473137,684782,,809635,953923,-284152.0,-213114.0,142425.0,-278041.0,-631159,684782,,-297411,321629,24218,640000,1268,,2914355,,13210,0.0,,-27681,,60025.0,,269141,1404199,-144288,-680,-36278.0,-38068,898
2015-04-28,1,2015,,-61000,-57521,,2734,19658,5796,0.0,,0.0,,-8639,4256,-72398,-29464,-64000,-799000.0,-76672.0,-1484,,-50442.0,,150.0,-117775,,-246618,1546,24990.0,,507,321393,9088,-2073,,63343,70729,1600,-4453,8639,,63675.0,2015年01月01日至2015年03月31日,1404199,1375006,-29193,107984,331.0,106347,134524,,,,-89100.0,-126485,107984,,-280599,243464,-37135,0,109,73392.0,619295,116379.0,-45,,3078.0,-4276,215370.0,,51071.0,26540,1375006,-28177,50,,24301,1498
2015-08-03,2,2015,,-111000,-28915,,-11410,-19881,-8001,33121.0,,,,-18270,8080,-111506,-51090,-163200,-1912819.0,-110401.0,-6658,,-148196.0,,359.0,-83551,-47472.0,136507,-94,49980.0,,231,-126169,9181,4094,,-165975,140063,3475,-7827,18270,,121080.0,2015年01月01日至2015年06月30日,1404199,1306963,-97236,257466,662.0,251323,322888,,,28756.0,0.0,-71078,257466,,127385,-183043,-55658,50000,296,73392.0,695383,1047051.0,-65,,3078.0,-12203,290363.0,,101275.0,65422,1306963,-71565,0,-36593.0,32813,5754
