date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,2206896.0,,,-9219458,447780,0.0,-1620198,98448,,-214285.0,,-318461.0,,52731.0,,-9136.0,,283006,-255336.0,-20480,452135,344176,-176031,,-7055000,-2200000,,,,-20930.0,-14133,4701,,3555.0,-161690,513940,-13171,0,0.0,26675,-69904,1164658,-155453,-114133,33026.0,,-3851279,1765609,135695,,-28415,10740,-443197,9693,13749.0,,2013年01月01日至2013年03月31日,10943570,5322403,,-5621167,-3434919,,-1626316,-1092477,0.0,,-15687.0,-487748,-3434919,,-600475,736021,135546,8982116,15236,,4635489,2300000,-13949,,,-5011,2342442,-167014,,5322403,-114084,-153907,0.0,-3261,0.0,-87533.0,,-231504,-756532,0.0,178487
2013-08-13,2,2013,4637743.0,0.0,,-16791361,1938760,,-999316,216659,,,-82943.0,231350.0,,88922.0,,-32839.0,,474102,-730866.0,-40940,904468,365205,-4420932,-100001.0,-14863000,-2409160,,,,-36844.0,-31437,7794,-2101.0,,-721451,1221640,26169,0,0.0,3163,-98427,24838,-157209,-130926,8154.0,,-4895484,3571842,939199,,-94376,24763,-780031,28089,16895.0,,2013年01月01日至2013年06月30日,10943570,11201012,,257442,-6087970,,-368391,582347,4609200.0,,46113.0,5156112,-6087970,,1888391,144183,2032574,17458905,53012,,14962964,3304580,-18124,,0.0,-8027,6670317,-429354,,11201012,-215691,-115152,0.0,-74297,0.0,-68607.0,,-26927,-820210,,119175
2013-11-08,3,2013,4537003.0,0.0,-174000.0,-24856696,2728638,,-1065661,18982,,,-42109.0,681628.0,,99769.0,,-59159.0,,660072,-838809.0,-67517,1381195,259027,-7070020,-100000.0,-20773406,-2780035,,0.0,,-16895.0,-40586,4567,-97760.0,,-641564,1299106,-47364,0,0.0,-3935,-203340,-166164,-182958,-192764,-15193.0,,-3908300,5384001,300631,,-165545,31794,-1243446,50383,,,2013年01月01日至2013年09月30日,10943570,12394519,,1450949,-4441917,,-90463,1429068,4609200.0,,387828.0,5190685,-4441917,-61067.0,2438605,-1104623,1333982,25435480,3662149,,20875878,3620000,-2340424,,0.0,-10392,5870985,-648523,,12394519,-386762,-257067,0.0,-65447,0.0,-22614.0,,-240786,-990480,,191537
2014-03-25,4,2013,1685386.0,0.0,-3174000.0,-37590112,20357,,-336455,373492,,-172248.0,,-114637.0,,15786.0,,-39120.0,,-2776472,-1028256.0,-106378,1858362,684135,-9716918,-100000.0,-30544178,-3723089,,0.0,,-16895.0,-46047,3336,,10787.0,-307063,3353992,303097,79831,0.0,-503,-269513,446020,-526911,-128955,-58482.0,,-1314241,7165304,503395,,-118794,41428,-1776042,82225,103926.0,,2013年01月01日至2013年12月31日,10943570,13631975,,2688405,-3014404,,-536004,1677246,9575092.0,,727928.0,3854515,-3014404,-61127.0,2712546,293718,3006264,34773573,8454913,359237.0,30706139,3815098,-3626768,1659213.0,0.0,-367078,4691650,-563423,,13631975,-623359,-362556,0.0,-111822,36129.0,,,-66260,-990488,,-6037
2014-05-06,1,2014,2266048.0,,,-6966897,214986,0.0,123567,-131342,,75461.0,,-238639.0,,-40166.0,,25971.0,,348123,0.0,-32795,434511,288009,-1931253,,-3109262,-2794427,,,,0.0,-2135,1282,,-1083.0,-245015,-1181050,-202160,500109,0.0,1487,-15905,-619129,165553,-54135,10983.0,,-1735464,1632001,4867,3029.0,52,7713,-361391,29563,15876.0,,2014年01月01日至2014年03月31日,13631975,10129604,,-3502371,-1486790,,-2211606,-1840348,0.0,,228795.0,156690,-1486790,,-1520936,-1098670,-2619606,6378125,447392,,3129482,2740098,-335092,,,-12379,-353558,-558242,,10129604,-55306,-40786,0.0,-2832,0.0,263418.0,,-219469,-4637,0.0,69493
2014-08-12,2,2014,3254688.0,,-2500000.0,-12800488,173877,,-33795,-527622,,-30938.0,,-648671.0,,-39493.0,,30608.0,,678959,0.0,-64381,867027,-28186,-3092965,0.0,-6274262,-5858858,,,0.0,-50000.0,-12784,5428,,4047.0,-451650,2189185,-67590,1000118,,-5804,-99983,-2038777,79157,-75926,23188.0,,-2232769,3257972,239976,3029.0,-119392,16395,-722332,59722,44579.0,,2014年01月01日至2014年06月30日,13631975,11587751,,-2044224,-870545,,-19889,1033947,0.0,,57551.0,236620,-870545,-1410.0,1656404,-3006600,-1350196,14669939,2087304,,6320346,6402679,-1481307,,,-13814,1904492,-605623,,11587751,-435805,-132911,,-20086,,242122.0,-291707.0,-231758,-851535,,-17034
2014-11-12,3,2014,5104173.0,,-2674000.0,-19390639,511467,,107755,-866444,,-221474.0,,-990842.0,,-38898.0,,30459.0,,518668,0.0,-101135,1332053,167676,-8380146,0.0,-13874262,-5258109,,,,-352181.0,-16803,8370,,1347.0,-464807,1655441,-62559,1016798,,9994,-221545,-2909549,65100,-90702,19519.0,,-4400268,4983015,206278,3029.0,-154516,24570,-1061680,96663,202879.0,,2014年01月01日至2014年09月30日,13631975,12029372,,-1602603,588463,,2798538,4099541,3850000.0,,434615.0,-168549,588463,-65783.0,2672823,-4265918,-1593095,17096680,6005098,,13905288,5545243,-1713243,,,-18756,3511078,-665519,,12029372,-538865,10389,,-20086,,280541.0,,-205794,-1018389,,1096725
2015-03-25,4,2014,6590013.0,,-2674000.0,-23425995,437551,,38402,-628111,,,-286284.0,-150989.0,,105366.0,,25829.0,,1139794,0.0,-155037,1774345,700796,-9378392,0.0,-21184278,-6617126,,,,-352181.0,-19869,6919,,-227115.0,306511,1898566,130444,260680,-340511.0,-503,-286275,-2019521,71717,-32662,45069.0,,-246045,6557493,-123339,3029.0,-138084,32076,-1560936,143367,202879.0,,2014年度,13631975,21683555,,8051580,1021996,,5780658,7562598,3850000.0,9190.0,,1816171,1021996,-66194.0,2519102,-2568513,-49411,24635975,10820819,0.0,21244915,6610890,-2786915,0.0,,-21612,6540602,-1087409,,21683555,-567250,209933,,-31975,37295.0,,,-143108,-1021577,,1056982
2015-05-08,1,2015,,,,-5995669,-412045,,106292,95592,,-103028.0,,0.0,1093058.0,-6057.0,,4661.0,,819597,,-55711,453240,-189794,-3934441,,-4802387,-900934,,,,,-14937,-492,,7098.0,190331,-617456,-145692,1499054,,-148,-88259,855614,4070,-3802,,,-2768046,1513504,21883,0.0,2135,7123,-445985,54759,12107.0,2672589.0,2015年01月01日至2015年03月31日,21683555,20993943,,-689612,279077,-11520.0,1825634,2301395,,240579.0,,442594,279077,,-1788549,1138278,-650271,4898023,135989,,4704926,941192,-117959,,,-3636,2022318,-589070,,20993943,-96642,-21791,,-2049,,76579.0,,-25410,-2271,,-118910
2015-08-12,2,2015,,,-2500000.0,-11556075,-196706,,138716,-4087,,-204152.0,,-951810.0,,,-8201.0,,7965.0,449947,,-116427,888341,-141033,-6214580,,-6132387,-1794527,,,,0.0,-20495,667,,29216.0,385458,98529,-380826,6397200,,3715,-195888,349700,-7821,65621,,,-6730906,3073110,193357,0.0,-35690,13442,-752423,141832,75053.0,3846318.0,2015年01月01日至2015年06月30日,21683555,19755917,-258102.0,-1927638,73446,-21064.0,3161289,3878854,,,979561.0,1783012,73446,-1231.0,-955948,915038,-40910,8893760,334909,,6135432,2057781,-209892,,,-4142,3805408,-514096,,19755917,-182027,-64683,,-23193,,110978.0,0.0,-67190,-182410,,-84216
