date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-13,1,2013,51973.0,216824,2406,13724,4919,365.0,-33282.0,,-8755.0,-5229,71,0,0.0,-198000.0,-34977,0.0,,,,0.0,,,0.0,,41.0,-162849,,-12181.0,-73998,,-98563,6993.0,-283,,-236015,12662,-33128.0,,-1299,33508,-71,,,,2013年01月01日至2013年03月31日,1195177,979791,-215386,159396,,32810,31801,,,0.0,-12181,159396,32138,,123787,-303355,-179568,,20456,,-7770,,,-29426.0,,-127595,,979791,-869,-3353,0.0,,0.0,-22696.0,,
2013-08-12,2,2013,6844.0,135979,-24483,-4999,17710,778.0,-171.0,,-8755.0,-6225,395,-292869,0.0,-198000.0,-61759,-42971.0,,-31973.0,0.0,0.0,,0.0,,46.0,,-148037,,-14837.0,172851,,-29144,,-351,,-428245,25363,,,-14714,65793,-72,,,,2013年01月01日至2013年06月30日,1195177,1397025,201848,429590,,644930,639848,,,0.0,-14837,429590,63820,,304609,-101195,203414,,190978,,-113015,,,0.0,,210258,,1397025,-1227,-6511,693.0,,0.0,83281.0,,
2013-11-11,3,2013,53825.0,208391,-3646,2426,698,1242.0,-7411.0,,-6572.0,-20861,585,-292870,0.0,-198000.0,-91850,-30792.0,,-31973.0,0.0,0.0,,0.0,,15.0,,-125294,,-14837.0,-28775,,-84891,,-228,,-358522,50049,,,-15515,92821,-100,,24000.0,,2013年01月01日至2013年09月30日,1195177,1332361,137184,591456,,670812,663909,-160269.0,0.0,,-175106,591456,95324,,183284,-164656,18628,,248843,,-143770,,,0.0,,72453,,1332361,-1346,-2389,4153.0,,0.0,,,56116.0
2014-03-28,4,2013,145190.0,298929,-13862,-1875,13516,,,-1039.0,-6572.0,-11402,794,-302446,-3000.0,-198000.0,-185435,0.0,,,0.0,0.0,,0.0,,,62.0,-384641,,-14837.0,468795,1395.0,-137504,,5,1437.0,-414879,74822,,37504.0,5057,124386,-148,,24000.0,,2013年01月01日至2013年12月31日,1195177,1835937,640760,723096,,1227245,1217324,-160269.0,3500.0,,-171606,723096,115111,,768681,-419643,349038,,214610,,-159171,,,18234.0,,494228,,1835937,-1284,-3203,5368.0,,0.0,,,65339.0
2014-05-13,1,2014,38954.0,1333,43389,-2428,-66764,,-47.0,,0.0,-8185,165,-583,0.0,0.0,-19927,18243.0,,,0.0,0.0,,0.0,,,-439.0,-260164,,0.0,-5177,0.0,-74141,,-76,0.0,53311,24995,,-10196.0,1135,36091,-3,,0.0,,2014年01月01日至2014年03月31日,1835937,1893181,57244,289691,,-31233,-33520,0.0,-3500.0,,35166,289691,21003,,-6272,-355893,-362165,,48268,,-28670,,,0.0,,-323211,,1893181,-181,-7927,347.0,,38666.0,,,12106.0
2014-08-12,2,2014,38691.0,51119,-9246,10160,-1248,436.0,-27408.0,,0.0,-5279,341,-1153,-10200.0,0.0,-65573,-65294.0,,,,,,,,,-394.0,-438323,,0.0,255246,-1395.0,-279081,,300,,65420,49901,,-41422.0,6888,77298,-18,,,,2014年01月01日至2014年06月30日,1835937,2031223,195286,585846,,98766,136208,,,-3500.0,31100,585846,40267,,315566,-803895,-488329,46.0,195230,-13.0,-131917,,,,,-449638,,2031223,-42778,-11213,12418.0,,34600.0,,,-7467.0
2014-11-11,3,2014,80094.0,167491,-13034,5003,-46974,1681.0,-18817.0,,0.0,-26187,733,-97387,-24200.0,0.0,-74245,-100688.0,,0.0,0.0,41638.0,,0.0,,,-294.0,-644523,1994.0,0.0,596424,-1395.0,-429016,,361,0.0,-8398,75033,,-80823.0,10390,117097,-248,,30000.0,,2014年01月01日至2014年09月30日,1835937,1812467,-23470,949531,,430241,477414,-521392.0,-3500.0,,-445313,949531,60915,,769204,-1321415,-552211,46.0,238907,-13.0,-149526,,,0.0,,-472117,,1812467,-53793,-10271,1923.0,,35947.0,,,-88589.0
2015-03-30,4,2014,150856.0,97643,2011,5191,-34356,,,-26967.0,0.0,-35231,1101,-103968,-24200.0,0.0,-119250,-187506.0,,,0.0,126178.0,,1020.0,,,-181.0,-1182412,3244.0,0.0,1540001,315.0,-367794,,155,888.0,-160157,100698,,-82012.0,12116,155028,-249,,30000.0,,2014年度,1835937,2603490,767553,1322170,,1285361,1329654,-521392.0,-3500.0,,-357651,1322170,79232,,1644633,-1788005,-143372,706.0,246602,-506.0,-160737,,,0.0,,7484,595.0,2603490,-54208,-13581,12736.0,,36799.0,,,-123597.0
2015-05-11,1,2015,,11470,65173,-1023,-75658,224.0,2545.0,,0.0,-7799,241,-39713,0.0,0.0,-9707,,0.0,,0.0,12727.0,,210.0,,,0.0,-687590,,0.0,-283841,0.0,94726,,175,,-33296,27811,,1297.0,-5227,38762,-15,,,59011.0,2015年01月01日至2015年03月31日,2603490,2050867,-552623,242957,0.0,-532264,-540383,,0.0,,12937,242957,6302,,-273170,-569181,-842351,,0,,0,,,,13564.0,-783340,,2050867,-215,-1079,0.0,,0.0,,,30151.0
2015-08-10,2,2015,,-61584,15893,-5180,-2864,437.0,25239.0,,,-14024,770,-129517,0.0,0.0,-18178,,0.0,,,12727.0,,210.0,,,306.0,-786156,,0.0,-1552202,-1710.0,93288,,-157,,815822,59005,,2317.0,-22918,66664,-319,,,103228.0,2015年01月01日至2015年06月30日,2603490,1502025,-1101465,301966,,-1914853,-1782376,,0.0,,-2434,301966,13075,,-1620239,-567331,-2187570,0.0,2208,0.0,713,,,,951242.0,-2084342,,1502025,-137486,1223,-1280.0,,-15371.0,,,85109.0
2015-11-10,3,2015,,38640,-6179,-5602,-12436,-43595.0,26010.0,,,-18668,1280,-202153,0.0,,-22967,,0.0,,,14785.0,,,-375.0,-221.0,,-702029,0.0,-5076.0,-1429975,-1710.0,192311,,-489,,792106,96002,,10052.0,-29485,90024,-603,20369.0,26400.0,165320.0,2015年01月01日至2015年09月30日,2603490,1294385,-1309105,445697,,-1379280,-1201633,-708844.0,0.0,,-721931,445697,20253,,-1442242,-370408,-1812650,300.0,2208,1677.0,713,4082.0,-967.0,,984457.0,-1647330,,1294385,-197413,5771,-1280.0,,-22421.0,,,122352.0
2016-03-11,4,2015,,-172957,4722,-5258,11042,,,23865.0,,-23136,1974,-256175,0.0,,-27078,,0.0,,0.0,22081.0,,-375.0,,,-819.0,-521873,0.0,-5610.0,-1554398,-1710.0,188356,,-420,,832845,139568,,-111948.0,-25512,112310,-1072,24992.0,26400.0,217488.0,2015年度,2603490,1254654,-1348836,489309,-40090.0,-1505770,-1332110,-708844.0,0.0,,-675911,489309,20253,,-1774413,-264494,-2038907,300.0,18504,1677.0,-8890,4082.0,,,1043766.0,-1821419,0.0,1254654,-197580,4805,-5561.0,,16837.0,,,165627.0
2016-05-09,1,2016,,16711,65275,7558,-47643,-12731.0,0.0,-2220.0,,-4741,342,-49125,,,-7477,,,,,6115.0,,3271.0,,-470.0,,228203,,,-372265,,201540,,916,,94023,51414,,86871.0,-2080,6969,-95,5016.0,,-30086.0,2016年01月01日至2016年03月31日,1254654,1659084,404430,146943,,301021,297880,,,,9386,146943,0,,-360727,541750,181023,,36200,,-43280,,,,117115.0,150937,,1659084,-1780,-38710,,,,,,6588.0
2016-08-10,2,2016,,69844,30326,13352,19134,-11708.0,2426.0,,,-9846,589,-82057,,,-12412,,,,,9342.0,82138.0,2771.0,,,-2921.0,373883,,,-278632,1196.0,207153,,70,,88056,108949,,26596.0,-2763,13549,-95,10949.0,,-118930.0,2016年01月01日至2016年06月30日,1254654,2020463,765809,335728,,683414,675008,,,,-5661,335728,0,,-205948,664158,458210,,161372,,-192424,,,,-36223.0,339280,,2020463,-2448,-36984,,0.0,-17774.0,,-21841.0,4570.0
2016-11-10,3,2016,,94849,24897,32784,-7053,-11439.0,2425.0,,,-13636,1054,-187791,-32000.0,,-21209,,-19278.0,,,18199.0,82138.0,2771.0,0.0,-907.0,,409604,,0.0,29889,413.0,-4069,,652,,95802,176537,,6596.0,-13657,23136,-313,12301.0,32309.0,-152635.0,2016年01月01日至2016年09月30日,1254654,1892484,637830,467358,,859907,853000,-321075.0,,,-317879,467358,0,-19309.0,146496,391781,538277,0.0,244038,0.0,-242529,0.0,-26410.0,,0.0,385642,,1892484,-5081,-37821,,0.0,-17774.0,,-1498.0,-41271.0
