date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-04-24,1,2013,35897.0,-10442,-48,1619,1,,,283.0,-5212,,851,-2063,0.0,,-115,,,,,,-2520,-200,-27882,0.0,29043,,530,-452.0,-1895,10403,,,134.0,21634,,4919,,,2013年01月01日至2013年03月31日,2651092,2716645,65553,46178,,66797,62370,,,-200,46178,9393,,-47460,27755,-19705,,,,,,16192,-10303,2716645,-492,-455,,,749
2013-08-01,2,2013,76945.0,5385,-118,-2510,1,,,205.0,-10679,,909,-4260,0.0,,-4045,,,,,,-6365,-1600,-19895,0.0,-43769,,-1853,-922.0,-8100,20915,,,358.0,43761,,10239,,,2013年01月01日至2013年06月30日,2651092,2754416,103324,106144,,112115,102896,,,-1600,106144,23367,,-5177,-75016,-80193,,,0.0,,-167.0,-3248,12765,2754416,-1020,-610,,,-22912
2013-11-11,3,2013,106823.0,-18890,-4658,11593,-558,0.0,,126.0,-15960,559.0,857,-4365,-48000.0,,-4040,,,,,,49325,-6750,-15950,0.0,-56201,,-1443,-1322.0,-53279,31227,,,358.0,65295,,17743,1794.0,,2013年01月01日至2013年09月30日,2651092,2631984,-19108,212882,,287197,271285,,-247133.0,-253883,212882,28470,-1794.0,-18934,-29486,-48420,1206.0,,-196.0,,-167.0,58403,5635,2631984,-1831,-969,,,-15951
2014-02-19,4,2013,145408.0,14709,-1569,4087,-127,0.0,,85.0,-20135,559.0,965,-4895,-50798.0,,-4048,,,37.0,,,82182,-7267,-9972,0.0,-68172,,-1929,-1743.0,-56302,41395,,,358.0,86762,,22174,2148.0,,2013年01月01日至2013年12月31日,2651092,2250066,-401026,277619,,423451,418071,-514740.0,-247133.0,-769140,277619,35775,-2148.0,725,-5681,-4956,1206.0,,-196.0,,-167.0,140452,-6356,2250066,-16794,-704,3872.0,,-16066
2014-04-25,1,2014,27073.0,-9446,1335,-991,128,,,-458.0,-4053,,-5,-1405,-360.0,,-293,-15237.0,,,,,27062,-150,-77331,,95428,,2957,-318.0,-17753,10079,,,0.0,7089,,3367,,,2014年01月01日至2014年03月31日,2250066,2437080,187014,119950,,204922,201890,,,-150,119950,6985,,-82303,137170,54867,,,,,,81940,5783,2437080,-335,-527,7500.0,,10260
2014-08-01,2,2014,58534.0,27910,1434,-402,120,,,-1376.0,-8327,439.0,-128,-4061,-40860.0,,-311,-14922.0,,,37473.0,,728,-300,-5340,,29891,,2220,-678.0,-101130,19837,-40000.0,,0.0,13968,-439.0,7407,,,2014年01月01日至2014年06月30日,2250066,2492817,242751,271023,,306836,330501,,,37173,271023,12816,,9481,-8537,944,400.0,,-12.0,,0.0,59478,-12009,2492817,-30633,-547,20360.0,-40000.0,-2930
2014-11-07,3,2014,84760.0,-13308,1299,-5634,51,30000.0,-179.0,0.0,-12494,606.0,8,-7117,-40860.0,,-343,-15225.0,,,41669.0,366.0,-778,-500,12411,,62486,,-2823,-982.0,-75319,28686,-130000.0,,0.0,20762,-606.0,11457,0.0,,2014年01月01日至2014年09月30日,2250066,2450182,200116,428049,,388394,430094,,-184502.0,-112967,428049,22577,-2613.0,-18015,-64700,-82715,405.0,,4.0,,0.0,2045,-10502,2450182,-52551,-747,27979.0,-12000.0,5065
2015-02-25,4,2014,127770.0,3349,2096,-2018,128,30000.0,-942.0,0.0,-16830,606.0,185,-12173,-52860.0,,-5092,-15835.0,,0.0,43035.0,366.0,-3850,-1220,-97461,,158737,,-914,-1276.0,-70218,34976,-169943.0,,0.0,27742,-606.0,15942,6279.0,,2014年度,2250066,2492709,242643,473882,,424997,490862,0.0,-184502.0,-112321,473882,32101,-6279.0,-99838,-10952,-110790,405.0,10000.0,5.0,-57.0,0.0,16980,-2432,2492709,-81201,453,55053.0,,2794
2015-05-08,1,2015,,-2296,20,-636,-85,,-19991.0,,-4180,,157,-1403,0.0,,-5,,,,1435.0,,7806,-100,-4836,,23760,,-1978,,-21399,4780,-260000.0,0.0,,7186,,4676,,16797.0,2015年01月01日至2015年03月31日,2492709,2368711,-123998,117136,-317.0,-104091,-108142,,,1335,117136,9489,,-9320,-232755,-242075,,,-173.0,,,-225278,-1235,2368711,-625,-305,0.0,,-2278
2015-08-10,2,2015,,13951,-13,-6049,-104,,-7620.0,,-8451,0.0,312,-9224,-20000.0,,-207,,0.0,,1435.0,,33650,-300,-58937,,56802,,-1028,,-36351,9441,-389357.0,,0.0,14382,0.0,9453,,59747.0,2015年01月01日至2015年06月30日,2492709,2322467,-170242,167165,-649.0,-135338,-111320,,,1135,167165,17823,,-55648,-282584,-338232,700.0,,-173.0,-643.0,,-278485,-3964,2322467,-33471,-262,27630.0,0.0,17466
