date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產減少,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-10,1,2013,5011.0,-1535,,4,19068,,,0,10101.0,-828,165,-1170,-283,-5994,-3072,-500,,,,0,-226.0,-982.0,0.0,-20275,0.0,,-14238,-698.0,,-5431,4872,33,1699,-166,646,,2013年01月01日至2013年03月31日,446508,441107,-680,-5401,9420,,2961,3127,,,-1761,9420,18370,-29674,-11304,,,3016,1738,,-217,,,-6293,441107,0,,,-5299.0
2013-08-14,2,2013,10820.0,-3074,,3,36675,2202.0,,-13108,,-1616,327,312,-2755,-5994,-3072,-1234,,,,-86,,-3145.0,,-33566,0.0,36744.0,-83640,-1686.0,,-16926,9271,352,3365,-327,1280,,2013年01月01日至2013年06月30日,446508,406729,-262,-39779,16753,,-20005,-15343,,,-3160,16753,71733,-114649,-42916,,,9006,2096,0.0,-265,,,-32096,406729,-4335,,,
2013-11-12,3,2013,17238.0,-4615,,-3,13643,-6839.0,,-13112,,-2375,474,3495,-4701,-5994,-4190,-3607,,,,204,,-6147.0,,-60505,0.0,21191.0,-11206,-2362.0,,-24838,13138,224,4743,-479,1811,,2013年01月01日至2013年09月30日,446508,376138,1270,-70370,31369,,-2064,2750,-42552.0,,-46963,31369,32472,-78329,-45857,,0.0,9006,2096,0.0,-12,,,-28619,376138,-4335,,,
2014-03-18,4,2013,25876.0,-6480,,-12,8993,9217.0,,-13567,,-3140,725,-1268,-47079,-13994,-4190,-4775,,,,-85,,-6056.0,,-22639,0.0,-10016.0,-25711,-2724.0,,-62284,17877,553,6187,-699,2809,,2013年01月01日至2013年12月31日,341418,272256,4539,-69162,43647,,22107,27184,-42552.0,,-27717,43647,-3747,-38592,-42339,21400.0,0.0,18727,2096,0.0,-312,3745.0,,-16463,272256,-4378,,,
2014-05-06,1,2014,5279,-2032,,-18,-7337,,,-454,,-746,248,-9159,-508,0,-668,-1413,-84241,,,363,0,-4802,,-16680,0,1841,36819,-625,0,-79820,4476,-193,1555,-220,907,,2014年01月01日至2014年03月31日,272256,204359,2762,-67897,7205,,22751,22971,,,-1669,7205,-6121,16608,10487,,11359,0,0,-3016,0,,,15766,204359,0,,,-3320
2014-08-12,2,2014,11843.0,-4067,,-289,-844,-2562.0,,-2532,,-1569,483,-9977,-1005,0,-668,-2782,-198563.0,,,541,,-5213.0,,-13239,,33483.0,22169,-1235.0,,-196485,8608,-745,2953,-455,1730,,2014年01月01日至2014年06月30日,272256,103791,4384,-168465,-2787,,41523,45794,,,-3526,-2787,31404,5334,36738,,11359.0,0,1189,-3016.0,0,,,48581,103791,-3816,,,
2014-10-30,3,2014,14170.0,-6108,,15,-8504,-3953.0,,8750,,-2430,712,-9295,-1308,-5000,-1347,-2982,-170462.0,,,549,,-533.0,,-30134,0.0,32587.0,20645,-1844.0,,-157852,12392,-104,3186,-689,2073,,2014年01月01日至2014年09月30日,272256,95424,3326,-176832,-2363,,12895,20515,-17021.0,,-22580,-2363,22239,-13531,8708,,11359.0,0,1598,-3016.0,0,,,22878,95424,-6931,,,
2015-03-27,4,2014,13263.0,-8155,,16,16332,-2565.0,,6172,,-3216,931,-5442,-4045,-31100,-1587,-4824,-49521.0,,,943,0.0,0.0,551.0,-43003,0.0,32590.0,8093,-2454.0,,-38858,16227,-176,3656,-908,3082,,2014年度,272256,237594,-1271,-34662,16498,,33871,38594,-17021.0,,-24233,16498,46468,-37635,8833,0.0,11359.0,29457,1598,-3016.0,-48,0.0,,22096,237594,-3815,,,
2015-05-12,1,2015,,-2053,,-18,-13195,,,0,,-729,207,-6663,-3527,0,0,-14,,-23046.0,,386,0.0,447.0,,-13607,0.0,-1355.0,6536,,0.0,-19895,3970,-39,617,-222,889,7000.0,2015年01月01日至2015年03月31日,237594,178793,3292,-58801,-10942,-650.0,-30576,-30354,,,-1667,-10942,-15200,-11212,-26412,,0.0,5356,0,0.0,-357,,,-19412,178793,0,,,-4084.0
2015-08-11,2,2015,,-4111,,-142,-6301,2504.0,,0,,-1359,403,-3664,-5530,0,-116,-1666,,-35603.0,,191,,-552.0,,-16785,0.0,-14774.0,10258,,0.0,-31322,8011,243,1483,-409,1590,9377.0,2015年01月01日至2015年06月30日,237594,165059,1257,-72535,-16261,-1307.0,-33629,-33188,,,-3920,-16261,-22382,-3922,-26304,,0.0,10357,198,0.0,-418,,,-16927,165059,-32,,,0.0
