date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款－關係人增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付投資款增加
2013-05-14,1,2013,154104.0,,,,,,1154,176519,,0.0,299157.0,-2187.0,,0.0,5722.0,,-1122,8087,1540,-7661,,,8006.0,,,15940,,,,-54553,77522,-3318,,-11532,-2251,357,3102,,,305224,65683,895879.0,,4329,,-563,,1122,,,2013年01月01日至2013年03月31日,1029406,2566661,1537255,-10590,,1223969,1224206,,11813,6522,-10590,3187,,75358,1005334,1080692,-5291.0,,,,,,,1234796,2566661,-796.0,58000.0,,
2013-08-14,2,2013,276669.0,-1900000.0,,,,,2167,229800,,0.0,296495.0,-134887.0,,,7363.0,,-1578,8723,-476,-52008,,0.0,7268.0,,,57796,,,,-7586,115087,-14530,,-143319,-3710,-4956,-14087,,,259118,132328,815762.0,,1429,400.0,-1199,,1578,,,2013年01月01日至2013年06月30日,1029406,464494,-564912,-36396,,1075108,1080014,,11921,-1898662,-36396,6376,,102724,737017,839741,-10583.0,,,,,,,1116410,464494,-5285.0,71195.0,,
2013-11-11,3,2013,300175.0,-1900000.0,,,,,173406,208739,,0.0,264087.0,-93644.0,,,3443.0,,-2033,9202,-975,-56911,,0.0,51260.0,,,22484,,0.0,25992.0,827,199675,-28974,,-219651,-53834,-17330,-17339,,,242701,199329,745561.0,,-1523,506.0,-1678,,2033,,,2013年01月01日至2013年09月30日,1029406,525634,-503772,-20542,,1158456,1177069,0.0,11921,-1903954,-20542,1235,,344107,553329,897436,-15875.0,,,-220.0,,,,1197611,525634,-18968.0,71195.0,,-45170.0
2014-03-20,4,2013,309998.0,-1900000.0,-20833.0,,,,94670,211064,,,260708.0,-117073.0,,,11256.0,,-3226,10405,2634,-42740,-100000.0,0.0,51260.0,,0.0,-43444,81190.0,0.0,26830.0,12663,216164,-70258,,-73273,-51139,-6159,-78720,-3464.0,,289600,270588,895812.0,,1141,562.0,-2881,,3226,1096.0,,2013年01月01日至2013年12月31日,1029406,729172,-300234,18142,,1316444,1358427,0.0,11921,-1908912,18142,3458,,237112,793175,1030287,,,,-681.0,,,,1340285,729172,-42328.0,71195.0,,
2014-05-06,1,2014,86730.0,,,,,-1048.0,13487,-20335,,-2241.0,0.0,-18204.0,,,9067.0,,-976,528,-1871,-6815,,,0.0,,,14329,,-1681.0,0.0,1824,-26149,2890,,128603,372,-4116,4577,334.0,,624,71248,-300256.0,,336,99.0,-528,,976,3342.0,,2014年01月01日至2014年03月31日,729172,598965,-130207,-1173,,-132585,-131416,,6000,3625,-1173,1166,,-9438,-207535,-216973,-2375.0,,,,,,,-130243,598965,-1617.0,0.0,,
2014-08-08,2,2014,149482.0,0.0,,,,-1048.0,1017,12029,,-18988.0,0.0,-13120.0,,,8286.0,,-2582,1054,-4954,-11494,,,0.0,,,18928,,,9378.0,46408,-24763,-14077,,103497,1735,3461,-4908,436.0,,-10524,136949,-350710.0,,-7501,279.0,-1054,,2333,3342.0,,2014年01月01日至2014年06月30日,729172,627683,-101489,-5357,,-104262,-94870,,23000,18251,-5357,2333,,-37387,-201608,-238995,-4749.0,,,22.0,,,,-89513,627683,-10671.0,0.0,,
2014-11-12,3,2014,213416.0,0.0,-7125.0,74010.0,,-1048.0,52091,15107,,-41777.0,0.0,101085.0,,,6124.0,5680.0,-3900,1514,-818,-28386,,,0.0,,-18016.0,21951,,-350998.0,0.0,58820,9410,-15627,,76357,9333,-110174,25375,539.0,,-430759,193510,0.0,,-9374,472.0,-1514,,2632,3342.0,,2014年01月01日至2014年09月30日,729172,757904,28732,26951,,442260,462683,-68836.0,20000,18049,26951,3499,,46413,175903,222316,,,,64.0,,,,435732,757904,-21541.0,0.0,0.0,0.0
2015-03-20,4,2014,275668.0,0.0,-9500.0,,,104467.0,104170,53294,,,-22438.0,-3095.0,,,18852.0,5680.0,-20321,5109,-5067,-486899,0.0,,0.0,,-18016.0,14323,,,17879.0,93235,-15966,-5374,,148488,4920,-166539,-16189,1122.0,,-338342,250200,0.0,,-5792,676.0,-5109,,20321,3342.0,,2014年度,729172,866609,137437,50473,,529182,524207,-68836.0,30000,-48336,50473,4666,,83952,114114,198066,,44471.0,,21127.0,,0.0,,473734,866609,-10237.0,0.0,,
2015-05-11,1,2015,,,-2375.0,,,0.0,66801,-22039,,0.0,8223.0,29389.0,,-9303.0,0.0,,-985,646,1425,-17112,,,,,,8269,,-388.0,,-93999,-17278,-24657,,66289,-3042,-4038,4239,,,-7308,62216,0.0,,-542,184.0,-646,,960,0.0,70311.0,2015年01月01日至2015年03月31日,866609,954935,88326,10783,-1177.0,80584,81582,,16000,13625,10783,490,,23689,-23201,488,,11272.0,,33.0,,,,70799,954935,-1312.0,,,
2015-08-12,2,2015,,,,,,-5789.0,30525,-12150,,10497.0,,-59765.0,,,-15528.0,,-3139,1253,24,-36604,,,,,,13784,,2139.0,,-65503,-59936,-17863,,39554,-15958,20740,34396,,,-33971,110615,0.0,,1984,396.0,-1253,,3135,0.0,125878.0,2015年01月01日至2015年06月30日,866609,824274,-42335,-20664,-1314.0,-27638,-2060,,24000,19250,-20664,981,,-48588,-58686,-107274,-4750.0,11314.0,,4.0,,,,18604,824274,-27460.0,,,
