date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,預付款項（增加）減少,預付設備款增加
2013-04-26,1,2013,78635.0,,198503,4407,26728,0.0,,-40024,10631,910,-31074,-21882,0.0,21685.0,,,-466.0,-368227,-595270,0,882030,-18256,,-64740,65119,,42909,-10138,38393,,,2013年01月01日至2013年03月31日,18122674,19105605,982931,1252455,,1488139,1457856,,,-452925,-441378,1252455,0.0,,-370039,496805,126766,,,,205401,19105605,-8110,,,,-3149,-11318
2013-07-29,2,2013,168172.0,0.0,-41864,10244,26298,0.0,,-80490,20481,1172,-54823,-51949,0.0,37815.0,,-497.0,0.0,-747735,-568996,1074959,-74428,8591,-2038.0,-136775,130447,,85528,-17259,82049,,,2013年01月01日至2013年06月30日,18122674,19592219,1469545,2795966,,2031712,2484939,,,-447120,-426564,2795966,0.0,,488359,-967558,-479199,,,,-311027,19592219,-535276,,12206.0,,-164230,-29506
2013-10-30,3,2013,240061.0,0.0,279505,-21441,5605,,,-122899,31479,268,-115299,-142578,0.0,70230.0,,-650.0,0.0,-1363654,-1249578,948431,175273,29705,-3048.0,-287200,196338,,132305,-28278,124329,9368.0,,2013年01月01日至2013年09月30日,18122674,17123605,-999069,4257758,,2893369,3308725,-3397138.0,,-250320,-3605506,4257758,0.0,-9368.0,-19085,-1170009,-1189094,,,,-949033,17123605,-539685,,12206.0,,10108,-38041
2014-02-24,4,2013,314604.0,0.0,-82024,38444,-947,0.0,0.0,-160927,42357,785,-154347,-167735,0.0,79146.0,,-1694.0,0.0,-499561,-1332875,993734,180324,6669,-4055.0,-356778,262294,,176380,-38059,160655,9368.0,,2013年01月01日至2013年12月31日,18122674,18292348,169674,5683286,,4880373,5266654,-3397138.0,,-998655,-4354706,5683286,0.0,-9368.0,-426167,-305069,-731236,22300.0,225.0,-8563.0,-416632,18292348,-546936,,12206.0,0.0,-30945,-64670
2014-04-23,1,2014,87309.0,,300170,-61215,1239,0.0,,-41273,12856,891,-11767,-17947,,0.0,,-91.0,,-1110137,658468,274288,-230282,23036,-876.0,-34305,67783,,39279,-12447,39070,,,2014年01月01日至2014年03月31日,18292348,20016708,1724360,1444409,,1445756,1411116,,,324465,312018,1444409,,,1233289,-1353891,-120602,,,,-33293,20016708,-4430,,8664.0,,24707,-4500
2014-07-28,2,2014,159907.0,,240338,-95527,5077,0.0,,-84592,25701,-537,-32561,-56242,,0.0,,-23.0,,-2042604,1045590,369362,-1568520,-1005,-1732.0,-98748,134181,,75953,-24191,86126,,,2014年01月01日至2014年06月30日,18292348,20876080,2583732,3450399,,992123,1586334,,,1715085,1690894,3450399,,,1658635,-3682607,-2023972,,,,-1864065,20876080,-680337,,8664.0,,25049,-9922
2014-10-30,3,2014,226075.0,12140.0,958460,-83097,8696,,-720.0,-129383,39854,1930,-103474,-89445,,0.0,,-131.0,,-2314199,1915821,561421,-3882517,23036,-2548.0,-187465,199542,,115229,-39298,129958,7111.0,,2014年01月01日至2014年09月30日,18292348,19082941,790593,5859862,,2710300,3316363,-3651069.0,1956195.0,0,-1734172,5859862,,-7111.0,3441850,-6211424,-2769574,,,,-2543499,19082941,-736021,,8664.0,,45353,-13666
2015-03-06,4,2014,296916.0,32152.0,934825,-100989,-5908,0.0,-720.0,-170244,51845,6237,-146000,-224150,0.0,0.0,,-1229.0,,-1798140,1461075,575453,-3315395,-8787,-3558.0,-344628,264914,,155898,-51494,170613,18111.0,,2014年度,18292348,20013371,1721023,8277477,,5748792,6318443,-3651069.0,13185.0,0,-3689378,8277477,0.0,-18111.0,2961887,-5217837,-2255950,0.0,160.0,0.0,-1959034,20013371,-740264,,13174.0,0.0,5474,-23512
2015-04-27,1,2015,,,252847,43596,2200,0.0,,-41851,8356,-2260,-28162,-153641,,,,0.0,191.0,-820209,-943621,30465,2006882,31823,,-181612,63871,,50110,-10618,39366,,80486.0,2015年01月01日至2015年03月31日,20013371,21822865,1809494,1935277,-1003.0,2669034,2633326,,0.0,-665050,-675668,1935277,,,-659112,1276675,617563,,,,698049,21822865,-3658,,0.0,,14583,0
2015-07-30,2,2015,,,-1506461,146702,10359,0.0,,-84004,16200,-14259,-669251,-160355,,,,0.0,265.0,-139083,-1244406,65810,2987491,31823,,-839675,126291,,102392,-19075,84601,,160879.0,2015年01月01日至2015年06月30日,20013371,20766650,753279,3645657,-1989.0,3235498,4155136,,0.0,-1609210,-1628285,3645657,,,-2676687,3025287,348600,,,,509479,20766650,-1004239,,0.0,,-1646,-10334
