date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他項目,其他預付款項增加,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-15,1,2013,122028.0,,-48532,-201276,,3759,,,24251,-784,2203.0,11477.0,,,,,0.0,,,101803,,-439,2953,-418,0.0,-18534.0,,-4504,,,,,-21555,119311,,-11171,212793,,-14980,-585.0,-18952,13273,627.0,1440,-7495.0,439.0,,2013年01月01日至2013年03月31日,171901,150012,-21889,-146620,,,67968,75721,-25630.0,,-73858,-146620,-73097,173410,100313,,,0.0,,,0.0,,,,222341,,,150012,-697,,1578.0,,8250,304.0,,-17300,,-5830.0
2013-08-14,2,2013,175206.0,,-104797,-180255,,-11373,,,-4414,-6854,10744.0,10500.0,,366.0,,,-38503.0,,,107811,,-967,-3399,-1888,,,,28510,,,,,114607,96465,,-6162,204722,,10212,-9504.0,-40391,24498,,2483,-16637.0,967.0,,2013年01月01日至2013年06月30日,171901,106667,-65234,-242187,,,143148,160009,,-60161.0,-164592,-242187,-101218,328208,226990,,,0.0,,178.0,0.0,1442.0,,,402196,,,106667,-1191,,0.0,,9958,0.0,1293.0,6394,,-8092.0
2013-11-13,3,2013,185957.0,,-221365,-173954,,-74770,,-682.0,-3928,-5547,131785.0,715.0,,228.0,,,0.0,,,99814,,-1506,-27265,-1791,0.0,,,16881,,,,,164067,270269,,1333,174578,,1711,-9692.0,-49020,34885,,4198,-23974.0,175.0,,2013年01月01日至2013年09月30日,171901,107685,-64216,-328878,,,214506,287974,,18700.0,-202437,-328878,211913,218982,430895,,0.0,,,-932.0,0.0,2444.0,-46547.0,,616852,,,107685,-49669,,0.0,,28610,0.0,1563.0,-41772,,-3900.0
2014-03-31,4,2013,181595.0,-299000.0,-169074,-107973,,11137,-18004.0,,822,-1435,0.0,,,269.0,,-7728.0,12551.0,,,25350,,-2047,-11355,-6191,0.0,,,60134,,,,,507170,51366,,2296,117892,,10395,-1555.0,245285,44650,,5605,-20470.0,2047.0,,2013年01月01日至2013年12月31日,171901,158042,-13859,-477501,,,303730,314120,,-83714.0,-551519,-477501,-42539,652565,610026,1085.0,0.0,,,135.0,0.0,4346.0,245568.0,,791621,,,158042,8033,,,,43422,,0.0,25410,,12505.0
2014-05-15,1,2014,-17361.0,,-49756,-55027,,-290,,,5112,-5660,0.0,0.0,,39.0,,,1981.0,,,-11133,,-2047,-2436,-502,,,,-13854,369.0,,,253.0,-24808,25289,,-33402,126200,,-5918,0.0,1965,7695,,1309,-4932.0,2047.0,,2014年01月01日至2014年03月31日,158042,118223,-39819,49700,,,-5360,3249,,15360.0,-33988,49700,-79308,50218,-29090,,,,,3.0,,666.0,233.0,,-46451,,,118223,-5724,,,,0,,0.0,-39306,,-21280.0
2014-08-14,2,2014,-6598.0,,-76608,79652,,12299,0.0,,-782,891,,,,,,,,1982.0,,10713,-6851.0,-279,3378,-1493,,-2159.0,,-25692,,-16.0,-8310.0,0.0,-117799,-14341,,-18996,180699,0.0,1875,-444.0,-15601,15055,1725.0,1717,-9711.0,279.0,,2014年01月01日至2014年06月30日,158042,98445,-59597,-25435,,,39020,78416,,-9770.0,-86394,-25435,52850,57599,110449,,3212.0,,,5.0,-292.0,,,,103851,0.0,-16566.0,98445,-29964,,0.0,,7016,0.0,,-22348,,7761.0
2014-11-14,3,2014,6694.0,,-96209,147478,,-672,0.0,,-27,5102,,,,,,,,1982.0,0.0,15776,,-301,-4571,-3832,,3049.0,,-38415,,-95.0,-1688.0,,-131155,102433,,-94247,137490,482.0,-4003,-763.0,-4453,26444,2435.0,2566,-14288.0,301.0,,2014年01月01日至2014年09月30日,158042,80656,-77386,-61515,,,22630,72578,5312.0,,-90992,-61515,122070,5329,127399,,3210.0,2589.0,,13.0,-1004.0,,,,134093,1028.0,-16566.0,80656,-35961,,0.0,,15746,0.0,,-3897,-7781.0,-33832.0
2015-03-30,4,2014,64499.0,0.0,-119158,188565,0.0,27960,0.0,,-1269,3050,,,,,,,,0.0,,20618,,-340,-19039,-3429,,0.0,,-15421,,-60.0,-2675.0,,18881,109908,,-95561,64109,15903.0,-6979,-1090.0,-11195,37631,11009.0,3340,-20618.0,340.0,,2014年度,158042,138190,-19852,-165049,,,147790,223138,,-18190.0,-137408,-165049,201597,122091,323688,25.0,3210.0,2589.0,,371.0,-1004.0,,-4367.0,,388187,20.0,-16566.0,138190,-55070,,0.0,,24861,0.0,,-833,-6548.0,1024.0
2015-05-14,1,2015,,,-25603,-13545,,516,,,3664,-7115,,,0.0,,,,,0.0,,4824,,-25,3063,-1587,,,6403.0,-17978,-8.0,,,2138.0,69366,-45410,,6331,76648,6189.0,4032,,7574,11644,-4518.0,8,,,-128.0,2015年01月01日至2015年03月31日,138190,114363,-23827,-81011,-353.0,3219.0,-2229,3219,,-6624.0,-32235,-81011,-69650,154008,84358,620.0,,,,-70.0,,,,,84230,2269.0,,114363,-997,-997.0,,,5987,,,4372,,-22606.0
2015-08-13,2,2015,,,-40293,7989,,-11318,0.0,,1151,-17817,,,,,,,,0.0,,-71903,0.0,-54,5508,-2362,,,0.0,-68415,,-18.0,2127.0,0.0,114231,-70314,-5278.0,7385,100185,47730.0,175,,7125,22944,-3030.0,25,-9026.0,54.0,-108511.0,2015年01月01日至2015年06月30日,138190,106113,-32077,-25794,-476.0,,7774,18491,,-12173.0,-52484,-25794,-74571,227367,152796,771.0,0.0,,,-17.0,0.0,,,6589.0,44285,1404.0,0.0,106113,-1745,,0.0,,11939,0.0,,-5819,0.0,-16432.0
