date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-09,1,2013,9778.0,,-13807,-160,-355,0.0,202.0,,-267.0,,-404,5.0,4196,-54,,,,-130,,,0,21290.0,,,,47.0,3364,,0.0,-1575,-4668,16383,2,,-404,2609,2979,1320,-5.0,400,,,2013年01月01日至2013年03月31日,873428,927123,53695,17203,,28613,28257,,21290,17203,3269.0,-20203,21479,1276,,,,,,,,11054,927123,-39,,1890,
2013-08-12,2,2013,14662,0,-14683,623,-510,,1543,,-659,,-1047,14,5550,-213,0,,,-203,,-7,0,21324,,,,1715,3211,,0,-669,-3003,16046,63,,640,5191,3481,2795,-14,1041,0,,2013年01月01日至2013年06月30日,873428,958886,85458,39102,,57944,57005,,21324,39102,3235,-17322,20563,3241,,,,,,,,17903,958886,-88,1000,620,
2013-11-04,3,2013,18196.0,0.0,-7237,701,-693,-63.0,1620.0,0.0,-659.0,,-2170,24.0,3817,-298,0.0,-3186.0,0.0,-203,,-9.0,0,21324.0,,,,1715.0,-2625,484.0,0.0,7327,-3031,11766,52,,-2147,7745,3756,4108,-24.0,2156,0.0,,2013年01月01日至2013年09月30日,873428,899870,26442,62490,,86473,89447,-83025.0,-61701,62490,3235.0,-2014,10775,8761,,,7.0,,,,,26957,899870,-5106,1500.0,944,
2014-03-07,4,2013,21831.0,0.0,-12653,1180,-899,-143.0,,0.0,-813.0,,-2112,52.0,5581,-330,0.0,,0.0,-203,,-486.0,0,21324.0,1345.0,,2215.0,,5786,484.0,0.0,-2389,-5960,11394,61,342.0,1207,10314,1783,5499,-52.0,2088,0.0,,2013年01月01日至2013年12月31日,873428,922873,49445,86419,,103013,106712,-83025.0,-60356,86419,3235.0,-21559,20021,-1538,29.0,,20.0,,0.0,,,20293,922873,-5735,3526.0,1743,-175.0
2014-05-09,1,2014,4263,0,-2118,606,-49,-40,0,,-284,,-663,,2079,-147,0,,,-154,,0,0,0,,,,31,3094,,0,1870,-69,-6642,39,100,-554,2523,1316,1087,,633,0,,2014年01月01日至2014年03月31日,922873,950710,27837,24174,,26312,25741,,0,24174,0,-266,-2430,-2696,,,,,,,,1567,950710,-62,0,513,
2014-08-08,2,2014,8310.0,0.0,-6343,-1228,3093,1.0,0.0,,-1555.0,922.0,-1454,,32,-292,0.0,,,-154,,0.0,1475,0.0,,,,51.0,-593,,,7362,3843,-2533,39,230.0,-1950,5041,1635,2166,,1432,,,2014年01月01日至2014年06月30日,922873,975099,52226,46946,,52669,57870,,1475,46946,0.0,8185,-5571,2614,,,,,,,,10924,975099,-6633,0.0,-1257,
2014-11-10,3,2014,13077.0,,-4935,-2530,2904,79.0,0.0,,-7335.0,1630.0,-2056,0.0,2301,-391,-22686.0,,,-155,0.0,0.0,4105,0.0,,,,16.0,-5692,0.0,,2682,1796,833,39,330.0,-30551,7558,2523,3422,0.0,2065,,,2014年01月01日至2014年09月30日,922873,875632,-47241,73431,,69892,81301,-92988.0,-88883,73431,0.0,2777,-7984,-5207,,,0.0,,,,,7870,875632,-13474,0.0,-713,
2015-03-13,4,2014,22169.0,,2062,514,272,139.0,,,-7590.0,2979.0,-2796,0.0,6118,-391,-22668.0,,,-278,,0.0,4105,568.0,0.0,,17.0,,-6077,0.0,,4667,287,-1478,-437,404.0,-30910,9797,3453,5351,0.0,2763,,,2014年度,922873,916368,-6505,96433,,106602,118699,-92988.0,-88315,96433,385.0,7692,-7595,97,0.0,,0.0,,,,,22266,916368,-14860,3000.0,-256,0.0
2015-04-29,1,2015,,,-1832,64,38,-62.0,,,0.0,,-739,,-1235,-20,,,,0,,,992,,112.0,,,0.0,639,,,-4342,-1003,5378,461,,1133,1684,2852,1632,,740,,5242.0,2015年01月01日至2015年03月31日,916368,933877,17509,10229,0.0,16507,15840,,1104,10229,,-7139,7508,369,,1153.0,,-187.0,,,,5611,933877,-73,,1028,
2015-08-13,2,2015,,,-3075,81,847,-20.0,,,0.0,138.0,-1564,,-2713,-20,,,,0,,,992,,-24.0,,0.0,,3774,,,-2672,1407,-12369,475,,18501,3367,4499,3063,,1574,,-2193.0,2015年01月01日至2015年06月30日,916368,956855,40487,40333,223.0,23731,25907,,968,40333,,-3270,-8963,-12233,,1761.0,,,-540.0,16760.0,-11156.0,-14426,956855,-3750,,-904,
2015-11-13,3,2015,,,-2266,-2813,2060,-64.0,,,-97.0,138.0,-3030,,3068,-162,-38994.0,,,0,,,992,,,-24.0,,0.0,-2517,,,2521,155,-5599,476,,-20732,5054,4499,4324,,3039,,-711.0,2015年01月01日至2015年09月30日,916368,859098,-57270,72403,335.0,55170,63538,-95744.0,-94776,72403,,2805,-10959,-8154,,1761.0,,,-540.0,16760.0,-11156.0,-8865,859098,-11407,,-442,
2016-03-07,4,2015,,,5607,452,-89,-8.0,,,-193.0,1601.0,-1369,,1285,-161,-39400.0,,,0,,,992,0.0,,-24.0,,1407.0,1560,,,-3505,2411,-8552,475,,-19683,6743,4499,5591,,1329,,7018.0,2015年度,916368,896535,-19833,98033,446.0,93341,103484,-95744.0,-94776,98033,0.0,4870,-6437,-1567,,1904.0,,,-577.0,16760.0,-11156.0,5451,896535,-11472,1686.0,-364,
2016-05-09,1,2016,,,-1555,-334,165,-52.0,,,,,-476,,-1455,-2325,,,,-123,,,0,,,0.0,,,-2003,,,1392,-3220,3783,0,,14572,1691,0,1248,,502,,97.0,2016年01月01日至2016年03月31日,896535,922330,25795,20293,-7407.0,12678,12194,,0,20293,,-10625,2429,-8196,48.0,16972.0,-48.0,,-2318.0,,,-8099,922330,-18,,1035,
2016-08-10,2,2016,,,900,-356,-575,-11.0,,,-720.0,0.0,-1070,,-2461,-2325,,,,-124,,,0,,,0.0,-4.0,,-2111,,,3050,-2728,12586,0,,16922,3467,0,2512,,1096,,1588.0,2016年01月01日至2016年06月30日,896535,956456,59921,41704,-7343.0,45460,46676,,0,41704,,-6696,10080,3384,48.0,20047.0,-48.0,,-3619.0,0.0,0.0,4972,956456,-2312,346.0,-28,
2016-11-11,3,2016,,,-12947,-495,-101,3.0,,,-720.0,0.0,-1985,,-5664,-2610,0.0,,,-191,,,0,,,0.0,-4.0,,-600,,,2344,-2793,10750,0,,37265,5232,0,3628,,2017,,2138.0,2016年01月01日至2016年09月30日,896535,872700,-23835,56134,-7277.0,41139,48259,-96575.0,-96575,56134,,-20774,10761,-10013,48.0,40742.0,-48.0,,-5035.0,0.0,0.0,-7875,872700,-9137,346.0,1103,
