date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債減少,停業單位稅前淨利（淨損）,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得無形資產,取得避險之衍生金融資產,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分避險之衍生金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產證券化款項,附買回票券及債券負債增加,附買回票券及債券負債減少,除列避險之衍生金融負債,非控制權益變動,預收款項增加（減少）
2013-05-09,1,2013,13379.0,,,,,,,,,-61096,,,-2396,,-89,,,,,,,,,,-1241.0,,-1904,34.0,980,,,-14999,,,-1441,,,-673,,,,,,,258.0,,-10601.0,244,,,,,26,,,3134,-195,-420.0,-17402,11616,,,4119,-34.0,1780,,2013年01月01日至2013年03月31日,1228324,1215567,-12757,51084,,14266,12727,,,,,,,,-10601.0,51084,,-52190,454,-51736,,21.0,,236,,,,,-38357,1215567,-207.0,-49.0,,,,,,9056
2013-08-13,2,2013,26855.0,,,,,,,,,-12112,,,-3843,9331.0,-1945,,,,,,,,,,-1057.0,,-4020,69.0,1512,,,-27734,,,-5084,,,-316,,,,,,,-1210.0,,-18138.0,469,,,,,4,,,-25962,-1317,-849.0,-35064,23272,,,7710,-69.0,4172,,2013年01月01日至2013年06月30日,1228324,1307834,79510,129605,,131200,140312,,,,,,0.0,,-18138.0,129605,,16919,-33067,-16148,,21.0,,236,,,,,10707,1307834,-13215.0,-96.0,,,,,,20076
2013-11-12,3,2013,40379.0,,,,,,,,,10141,,,-3073,-224.0,-3213,,,,,,0.0,,,,2711.0,,-6170,104.0,1360,,,-32757,,,-9807,,,557,5885.0,,,,,,285.0,,-18138.0,-1396,,,,,-4,,,-43028,974,-1280.0,-39547,34675,,,11121,-104.0,6245,,2013年01月01日至2013年09月30日,1228324,1239715,11391,215750,,209540,234319,,,-147709.0,,,,0.0,-159962.0,215750,,26530,-48340,-21810,,21.0,,236,,,,,18569,1239715,-30920.0,-144.0,,,,,,19293
2014-03-25,4,2013,52291.0,,,,,,,,,44307,,,-1006,17804.0,4074,,,,,6100.0,,,,,862.0,,-8455,126.0,2319,,,-34044,0.0,,-10433,,,108,45904.0,,,,,,2950.0,,-18138.0,-2974,,,,,201,,,-36173,3644,409.0,-34532,46010,,,14465,-126.0,8348,,2013年01月01日至2013年12月31日,1228324,1432549,204225,292451,,364071,387008,,,-147709.0,,,,-5861.0,-127633.0,292451,,71727,-29461,42266,,33.0,,225,,,,,94557,1432549,-31159.0,-188.0,,,,,-1829.0,11980
2014-05-08,1,2014,12690.0,,,,,,,,,-80368,,,-3543,-16318.0,-637,,,,,,,,,,-478.0,,-2324,6.0,-359,,,-1065,,,-768,,,627,,,,,,,2208.0,,0.0,158,,,,,18,,,10619,-1269,-393.0,-103,11029,,,3388,-6.0,2019,,2014年01月01日至2014年03月31日,1432549,1445996,13447,65309,,13909,15808,,,,,,,,0.0,65309,,-67361,5170,-62191,,0.0,,5,,,,,-49501,1445996,-3912.0,-41.0,,,,,,29542
2014-08-13,2,2014,25985.0,,,,,,,,,-20037,,,-4329,-3841.0,-1417,,,,,,,,,,738.0,,-4987,6.0,-1325,,,-14177,,,-6471,,,692,,,,,,,2217.0,,0.0,453,,,,,-193,,,-11488,-1423,-806.0,-17693,23187,,,7164,-6.0,4739,,2014年01月01日至2014年06月30日,1432549,1589048,156499,167751,,175517,196452,,,,,,,,0.0,167751,,21373,-18657,2716,,0.0,,5,,,,,28701,1589048,-25668.0,-82.0,,,,,,45797
2014-11-13,3,2014,41377.0,,,,,,,,,3396,,,-2152,-12486.0,-5413,,,,,,,,,,-906.0,,-8081,6.0,-55,,,-25285,,,-8856,,,1485,0.0,,,,,,-277.0,,0.0,-411,,,,,-168,,,-37917,-1758,-1201.0,-34190,35623,,,11204,-6.0,7987,,2014年01月01日至2014年09月30日,1432549,1494486,61937,292094,,294173,335255,,,-197991.0,,,,,-197991.0,292094,1425.0,49024,-47240,1784,,1134.0,,-162,,,,,43161,1494486,-49063.0,-123.0,,,,,,59894
2015-03-24,4,2014,49686.0,,,,,,,,,94351,,,4721,38.0,-1403,,,,,,0.0,,,,555.0,,-11488,6.0,-6064,,,-44880,,,-10465,,,667,0.0,,,,,,-47.0,,0.0,1135,,,,,28,,,-3714,-296,-1384.0,-23314,48781,,,15225,-6.0,11121,,2014年度,1432549,1716860,284311,370177,,511680,550009,,,-197991.0,,,,0.0,-197991.0,370177,4076.0,130838,-692,130146,,1168.0,30355.0,-143,,,-7284.0,,179832,1716860,-49444.0,-154.0,,,,,0.0,36670
2015-05-12,1,2015,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-136858,0.0,0.0,-583,-1947.0,381,,0.0,0.0,0.0,,,0.0,0.0,,-1503.0,,-3504,0.0,-367,0.0,0.0,-7475,,0.0,-2375,0.0,0.0,282,0.0,0.0,0.0,0.0,0.0,,417.0,0.0,0.0,1553,0.0,0.0,0.0,0.0,-215,0.0,0.0,5202,-1116,,-10936,13293,0.0,0.0,3956,,3411,16693.0,2015年01月01日至2015年03月31日,1716860,1699023,-17837,80894,-476.0,-6534,-7192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80894,2651.0,-108663,3884,-104779,0.0,,,15,,0.0,,0.0,-88086,1699023,,0.0,0.0,0.0,0.0,0.0,0.0,29280
2015-08-05,2,2015,,,,,,,,,,-79693,,,-1614,-525.0,-2207,,,,,,,,,,-69.0,119.0,-7338,0.0,-1070,,,-47245,,,-4817,,,509,,,,,,,176.0,,,66,,,,,-223,,,-23123,-3025,,-51955,28983,,,7712,0.0,7352,35303.0,2015年01月01日至2015年06月30日,1716860,1844967,128107,205366,-909.0,181132,178300,,,,,,,,,205366,5302.0,-32400,-29969,-62369,,,,16,,,,,-27066,1844967,-4520.0,0.0,,,,,,48884
