date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動
2013-04-26,1,2013,-13365.0,-13554,-5784,50110,,,,-837.0,0.0,-11399,0.0,86402,-2418,,-3489,-1174184.0,,,,,439007,-14392,,1718.0,-35720,,16.0,-1157735,1103,,900,0.0,4974,,,2013年01月01日至2013年03月31日,3506210,3159279,-346931,358637,,724402,766673,,,0.0,0.0,358637,,-31996,453397,421401,18219.0,,-3969.0,,,408036,3159279,-42271,
2013-07-23,2,2013,-29868.0,29936,-8512,11218,,,,-985.0,,-27388,0.0,106568,-5334,,-5489,-2272946.0,,,,,543302,-58363,,818.0,-102369,,-431.0,-2227167,2313,,3134,0.0,10073,,,2013年01月01日至2013年06月30日,3506210,2441622,-1064588,710699,,997261,1096430,,,0.0,58750.0,710699,,-36552,452151,415599,47514.0,,-7927.0,0.0,,385731,2441622,-99169,58750.0
2013-11-06,3,2013,-45262.0,18769,-63330,29209,,,,-925.0,,-45305,0.0,57064,-8365,,-5489,-1956752.0,,0.0,,,695469,-213881,,-42.0,-251407,,-760.0,-1894265,3747,,4535,0.0,22084,,,2013年01月01日至2013年09月30日,3506210,1813712,-1692498,1011274,,1006286,1180039,-920333.0,,0.0,-861583.0,1011274,,-259244,473271,214027,55182.0,,-8239.0,,,168765,1813712,-173753,58750.0
2014-03-19,4,2013,-63153.0,27020,-66618,-11364,,,,,,-65867,0.0,84695,-26650,,-5489,-1991323.0,,,-275.0,,161828,268133,,-713.0,-68811,,-530.0,-1932723,6101,,5602,0.0,35082,750.0,,2013年01月01日至2013年12月31日,3506210,2126236,-1379974,1267141,,1329637,1512933,-920333.0,,0.0,-861583.0,1267141,-750.0,227292,81653,308945,55182.0,,-8239.0,0.0,,245792,2126236,-183296,58750.0
2014-05-05,1,2014,-15984.0,-29339,-2515,17627,,,,,,-20800,,77129,-6236,,-1000,-608351.0,,,,978.0,215434,-487212,,-420.0,-10633,,458.0,-601159,4371,,445,,13450,,,2014年01月01日至2014年03月31日,2126236,1586177,-540059,288495,,-16029,-24089,,,,,288495,,-519028,222428,-296600,0.0,,0.0,,,-312584,1586177,8060,
2014-08-04,2,2014,-67915,-72261,-37614,-62121,,,,,,-45540,,5952,-139058,-30180,-1000,-557159,,,0,987,-100004,-630721,,840,203762,,914,-648998,8712,2997,723,,29547,,,2014年01月01日至2014年06月30日,2126236,930072,-1196164,269962,,-553118,-495158,,,,0,269962,,-738842,41637,-697205,47865,,-34807,,,-765120,930072,-57960,0
2014-11-04,3,2014,-79316.0,-53170,-40562,-66581,,,,,,-67492,,70105,-146748,-30180.0,-2143,0.0,,,497.0,,-137393,-663034,,420.0,-95938,,1371.0,255650,14210,7739.0,1034,,69591,,,2014年01月01日至2014年09月30日,2126236,514240,-1611996,422836,,-836112,-711367,-1101639.0,,,-1101639.0,422836,,-754975,-299912,-1054887,47865.0,,-34807.0,316768.0,,-1134203,514240,-124745,0.0
2015-03-11,4,2014,-86451.0,-111631,-14725,-11723,,,,,,-85008,,212218,-151766,-30180.0,-2143,0.0,,,1889.0,,-283614,-767236,,-420.0,-12528,,1828.0,212948,18304,13786.0,1240,,98839,0.0,,2014年度,2126236,610033,-1516203,567365,,-839730,-719135,-1101639.0,,,-1101639.0,567365,0.0,-892184,-307865,-1200049,47865.0,34.0,-34807.0,248444.0,,-1286500,610033,-120595,0.0
2015-04-29,1,2015,,-65575,26070,-13875,,,,,,-16518,,-41203,-1341,,-238,,0.0,,,987.0,627084,-313356,,0.0,117824,,,308032,3115,4094.0,190,,28289,,-9119.0,2015年01月01日至2015年03月31日,610033,1335757,725724,90397,777.0,455375,460227,,,,3520.0,90397,,-352084,731033,378949,,,,,280335.0,369830,1335757,-4852,3520.0
2015-08-05,2,2015,,-49070,-10705,29538,,,,,,-40937,1166.0,-91380,-6657,0.0,-238,,0.0,,,-434.0,1140932,-386593,,1260.0,87907,,,-619092,6159,8503.0,333,-1166.0,44086,,-24776.0,2015年01月01日至2015年06月30日,610033,1258305,648272,148621,26204.0,956390,963318,,400000.0,,402354.0,148621,,-418904,1258377,839473,0.0,,0.0,,-655849.0,814697,1258305,-6928,3520.0
2015-11-06,3,2015,,57466,51226,40797,,,,,,-51525,2437.0,144484,-17545,0.0,-10238,,,,-2874.0,0.0,491403,430757,,840.0,-160570,,,1988441,9415,12918.0,1004,-2437.0,68902,,-25751.0,2015年01月01日至2015年09月30日,610033,3690261,3080228,216498,1317.0,1066387,1103983,-460167.0,340000.0,,-119084.0,216498,,541606,371630,913236,0.0,,0.0,,1950196.0,887485,3690261,-37596,3520.0
2016-03-07,4,2015,,54992,584,20032,922.0,,,-1205.0,,-55798,3490.0,137427,-25977,0.0,-13951,,,,-1886.0,0.0,643388,232989,182481.0,0.0,-38860,-35679.0,,1980973,13472,16560.0,2161,-3490.0,73795,,-20115.0,2015年度,610033,3573662,2963629,332210,1757.0,1305366,1374701,-460167.0,,,-460137.0,332210,,473725,588881,1062606,0.0,0.0,0.0,,1950197.0,1042491,3573662,-69335,3520.0
2016-05-06,1,2016,,-159541,4425,44072,,0.0,-922.0,,24.0,-9266,,-75736,-4924,,0,,,,,20.0,5275,-129778,20596.0,,141293,26831.0,,2214,4345,753.0,1595,,7094,,-2573.0,2016年01月01日至2016年03月31日,3573662,3536950,-36712,86904,460.0,37732,37964,,,,-922.0,86904,,-263838,217471,-46367,,,,,0.0,-48940,3536950,-232,0.0
