date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收款項增加,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,長期應收租賃款增加,長期應收租賃款減少,預付款項（增加）減少
2013-05-07,1,2013,300142.0,-238822,,,4517.0,,25075.0,6753,16500,,,18.0,,,,-39054,-81306.0,23559,1695,-37653,,,6105,-104240,263079,-231947,0.0,-106570,225086,,,30236,-22817,,,2013年01月01日至2013年03月31日,685288,628743,-56545,-298765,-36309,-13387,,,176943,,84639,-298765,3891,,288154,-302918,-14764,130000.0,7872.0,50319.0,,,,,285378,628743,-105,,,,,26516
2013-07-31,2,2013,687382.0,-1646823,,,12528.0,,-17171.0,6514,15925,,,,-611.0,,,-50604,,46651,2057,-65604,0.0,-81306.0,9588,20143,321731,-183027,0.0,-134382,447882,,,51665,-46285,,,2013年01月01日至2013年06月30日,685288,644643,-40645,-438970,395322,441636,,,-172133,,-303642,-438970,7512,,304560,-111336,193224,1500000.0,,52129.0,,122559.0,,,880606,644643,-29,,0.0,,,45034
2013-10-29,3,2013,958284,-2656459,,,,,31067,-1018,15550,,,,-609,0,4353,-46115,,68984,1177,-158886,0,-81306,1671,-148954,712494,-638429,0,283455,671192,,,76835,-68885,,,2013年01月01日至2013年09月30日,685288,746141,60853,-367127,563312,632226,0,,354427,0,-787091,-367127,11002,,743561,-702492,41069,1500000,6062,52129,513232,122586,,,999353,746141,-29,,0,,,85909
2014-03-27,4,2013,1376300.0,-961683,77605.0,,,,,-16140,22875,,,,0.0,0.0,8808.0,-36515,,88883,1665,-240723,0.0,-65711.0,-702,-218865,430416,-664741,,221668,910379,,,96728,-89316,0.0,,2013年01月01日至2013年12月31日,685288,674609,-10679,-424104,603373,692923,0.0,,101423,0.0,-837385,-424104,16206,0.0,508021,-767294,-259273,,6062.0,52129.0,513232.0,120195.0,,,1117027,674609,-234,,128997.0,,,132452
2014-05-09,1,2014,228109,-1276860,,-200342,0,1068,-27299,15861,-150,,,,,,,6928,,19551,1266,-159991,,,-1614,-178157,14678,-259209,,-359265,175884,,,15878,-19906,,,2014年01月01日至2014年03月31日,674609,693876,19267,152272,-15631,4352,1000000,,669907,,392897,152272,11482,,-12621,-363408,-376029,,0,0,,,,,-147920,693876,-77,,,,,58097
2014-08-11,2,2014,442663.0,-774720,,-209909.0,0.0,-11498.0,7169.0,36302,-525,,,,,,,-8580,,33708,17,-447502,,0.0,7400,43056,-74275,-409219,,-661909,360173,,,32466,-34488,,,2014年01月01日至2014年06月30日,674609,710709,36100,238234,375787,410452,1000000.0,,97450,0.0,322205,238234,17028,,-67106,-203339,-270445,,,468.0,,0.0,,7000.0,172218,710709,-177,,,,,126522
2014-11-13,3,2014,682387.0,-996580,,-217489.0,0.0,16183.0,21131.0,-41789,-525,,,,,,,-4750,,49598,2169,-837860,-16911.0,-46579.0,9483,-167631,18367,325881,,-1102586,554830,,2573.0,49861,-50278,,,2014年01月01日至2014年09月30日,674609,802101,127492,147578,912909,963497,1000000.0,,0,-141895.0,315000,147578,23045,,39498,94034,133532,454000.0,70.0,459.0,0.0,-139.0,,,815919,802101,-310,,,,,-25000
2015-03-26,4,2014,899864.0,-1248237,13760.0,-219325.0,0.0,,,-45339,-525,-33000.0,,,,,3774.0,-2567,,67519,698,-1175340,-16912.0,-169201.0,17348,-102988,-94237,78928,,-1610004,748100,,-20473.0,61819,-67759,21860.0,,2014年度,674609,1058565,383956,152043,983008,1029147,1000000.0,,242016,,1010254,152043,29062,-21860.0,-80477,57717,-22760,1017000.0,,459.0,,-16.0,0.0,,877104,1058565,-240,,0.0,,,147589
2015-05-14,1,2015,,-612860,,-8550.0,,-8918.0,-34533.0,14535,0,,,,,,,23324,,18447,1866,-202599,,-61637.0,7961,-350758,191198,134169,,-281704,202558,,-43480.0,23091,-18328,,281343.0,2015年01月01日至2015年03月31日,1058565,635586,-422979,-149428,110430,129055,0.0,,-35711,,-253571,-149428,5962,,156665,-159525,-2860,395000.0,,,,,,,278483,635586,-297,,,,,86009
2015-08-10,2,2015,,-425720,,-23296.0,,-5612.0,21448.0,-11269,-450,,,,,,,23561,,36435,3900,-341715,,-90624.0,95575,-88329,184391,-66326,,-461247,407055,,-37866.0,42688,-36665,,615802.0,2015年01月01日至2015年06月30日,1058565,159166,-899399,-451649,197412,234405,0.0,,-293294,,-639464,-451649,10488,,205839,-135587,70252,80000.0,,,,,,0.0,686054,159166,-328,,,,,68203
2015-11-11,3,2015,,-603580,,-29969.0,,-10714.0,56904.0,12137,-900,,,,,,,-8407,,54234,-2092,-498190,0.0,-90624.0,226238,-44609,309464,-207455,,-629801,612977,72.0,-44011.0,48288,-54482,44777.0,909727.0,2015年01月01日至2015年09月30日,1058565,639539,-419026,-428911,677248,687937,0.0,-37151.0,97250,0.0,-464381,-428911,15153,-44777.0,366440,-159319,207121,80000.0,,,,,,,1116848,639539,-984,6021.0,,-304.0,0.0,124619
2016-03-11,4,2015,,-800440,,0,,,14839,-39306,-1050,0,8250,,,-30171,0,-5949,,70235,-1607,-579937,0,-99633,308864,-73393,420282,17160,,-701491,821495,,5721,35104,-70557,44777,1222958,2015年度,1058565,790365,-268200,-334017,1323391,1350106,0,-37151,0,-114952,-888493,-334017,20969,-44777,435121,26044,461165,65100,,,,,,,1684123,790365,-935,1906,15111,,,115862
2016-05-06,1,2016,,-3380860,,0.0,,-5959.0,-6373.0,-26877,-150,,,,,,,7761,,15337,-8962,-22814,,0.0,58,-235136,33693,174868,,-28773,222398,,9582.0,-47442,-17037,,199932.0,2016年01月01日至2016年03月31日,790365,912746,122381,255551,428545,445832,,,214381,,-268429,255551,1820,,27320,-36971,-9651,2898200.0,,,,,,,190281,912746,-250,,,,,40592
2016-08-09,2,2016,,-3380860,,0.0,,-56526.0,8569.0,-22458,-300,,,,,,,11669,,35545,-24082,-112324,,0.0,-49315,-263019,-187956,382435,,-168850,443283,,7583.0,-71668,-37238,,373046.0,2016年01月01日至2016年06月30日,790365,1033487,243122,332089,672149,710143,0.0,,176865,,-236095,332089,3532,,-179387,184395,5008,2968200.0,,,,,,0.0,378054,1033487,-756,,,,,79854
2016-11-04,3,2016,,-3706694,,0.0,,0.0,4260.0,2670,-600,-42315.0,,,,-22143.0,,110544,,57036,-22616,-180464,,0.0,-37934,-54121,-648407,760109,,-244922,658258,0.0,11456.0,-52837,-58732,33132.0,707227.0,2016年01月01日至2016年09月30日,790365,958921,168556,-36778,823463,850700,,0.0,199812,,-387369,-36778,5751,-33132.0,-644147,824398,180251,3120113.0,,,,,,,887478,958921,-1637,-459.0,,0.0,,104284
