date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-10,1,2013,108413.0,-7848,-91303,,,-21583,,,42942,-65645,0.0,,,-362,3262,7277,-211052,,,-709,,1138.0,10000.0,,-902.0,,-220425,0.0,48560,,7447,18511,,15032,8.0,-211443,110012,,,696,274,-2582,340,,2013年01月01日至2013年03月31日,1056172,1020463,-9376,-35709,-33661,,-215313,-213042,,850189,-469709,383770,-33661,,7654,-295448,-287794,0.0,1220,2067,-179381,1020463,-29,1840,,,-21338
2013-08-09,2,2013,228239.0,-18409,-87523,,,33519,,,4955,-29999,-24.0,0.0,0.0,-1138,6873,13743,-439399,0.0,,-1841,2853.0,1139.0,10000.0,,199.0,,-65103,0.0,-18045,,4834,-182624,,17014,-74.0,-439795,225165,,,757,556,-5381,1132,,2013年01月01日至2013年06月30日,1056172,735841,-9684,-320331,-103436,,-212057,-206564,,1509762,-1212942,317778,-103436,,-95853,-235514,-331367,28228.0,1270,2017,-103128,735841,-1244,840,,,-8321
2013-11-13,3,2013,366765.0,-29548,-51257,,,-12354,,-76.0,5941,-12006,-24.0,0.0,0.0,-1384,9786,12479,-595587,0.0,,-3570,4751.0,1139.0,10000.0,,0.0,464.0,-139189,-49057.0,304268,,8424,-252383,-76007.0,17669,-121.0,-596547,345239,0.0,-2580.0,939,871,-8429,1401,,2013年01月01日至2013年09月30日,1056172,678462,3913,-377710,-96568,,32520,40829,0.0,1963328,-1792512,173838,-96568,,267255,-496623,-229368,70488.0,2170,1434,137397,678462,-1281,1216,,,-19697
2014-03-19,4,2013,533978.0,-106026,-35140,,,-2137,,,-3531,13157,-48.0,0.0,0.0,-1747,12382,16080,-703348,0.0,-13800.0,-3840,12146.0,1139.0,0.0,-4000.0,0.0,1035.0,-128403,-49057.0,74001,,-5862,-209811,-59545.0,15050,-183.0,-717688,469155,,,1054,1193,-10702,1777,,2013年01月01日至2013年12月31日,1056172,552796,37645,-503376,-94530,,75809,86217,0.0,2879140,-2667360,122423,-94530,,29285,-382516,-353231,68587.0,2313,1290,180747,552796,-1483,860,,,-10827
2014-04-29,1,2014,178541.0,-31368,-76193,,,2144,,,2670,-6579,,,,-169,2934,5936,-151396,,,-3081,3709.0,0.0,0.0,,1387.0,,191705,,-113897,,-438,-17545,57546.0,57,-26.0,-153090,130846,,,823,475,-3834,156,,2014年01月01日至2014年03月31日,552796,521985,36798,-30811,4117,,213836,217522,,519431,-861221,-97493,4117,3792.0,-187884,222748,34864,275665.0,0,0,213405,521985,-8,-667,,,-4580
2014-08-04,2,2014,304773.0,-61318,-53401,-714.0,,29231,,-2232.0,2263,-29555,-23.0,,,-557,6781,4911,-192966,,-78353.0,-3681,3308.0,0.0,300.0,,6338.0,,197095,,-69209,,-54,-112139,58209.0,2409,-92.0,-268685,264362,,,1599,1018,-7857,558,,2014年01月01日至2014年06月30日,552796,571328,22523,18532,5319,,306845,314161,,1175321,-1450200,-24539,5319,6546.0,-121207,125276,4069,311358.0,0,0,308842,571328,-17,-807,,,-17742
2014-11-11,3,2014,428093.0,-186232,-30054,,,11212,,0.0,16119,-15066,-23.0,,13497.0,-1847,10387,13928,-254910,,-78353.0,-1874,1013.0,0.0,700.0,,,6314.0,380235,-151208.0,-135772,,-872,-201838,58570.0,4258,-138.0,-328846,396027,,0.0,1445,1535,-11823,1230,,2014年01月01日至2014年09月30日,552796,628488,-12377,75692,-93382,,390696,401326,,1881044,-1933976,-86,-93382,9743.0,-150717,217332,66615,389586.0,0,245,494708,628488,-37,746,7679.0,,-20039
2015-03-24,4,2014,549517.0,-240623,-73603,1625.0,,67866,,-3947.0,2734,-8831,-47.0,,22792.0,-4343,14722,35208,-281935,,-78353.0,-3154,6507.0,0.0,700.0,0.0,,6331.0,500983,-154239.0,-164482,1372.0,41369,219781,57542.0,-11548,-184.0,-357158,521415,,,5309,1992,-16140,3067,,2014年度,552796,979976,-41189,427180,-279981,,901353,915094,,2352191,-2507546,-152223,-279981,12622.0,-191169,836727,645558,397294.0,0,245,1195075,979976,-668,1138,8307.0,,14881
2015-05-08,1,2015,,-37141,-66432,844.0,-7598.0,-3236,-7598.0,-659.0,1143,-2478,,,,-1740,4273,-4107,-36606,,,-2466,6548.0,,,,-1.0,,75716,-74614.0,37836,-1372.0,-42222,51748,1947.0,-11058,,-49769,141163,,,8117,472,-4158,2291,192880.0,2015年01月01日至2015年03月31日,979976,833309,31905,-146667,-118015,-41.0,115470,117555,,477322,-573828,-208261,-118015,2798.0,-70244,112934,42690,0.0,4500,1685,235570,833309,-218,-2341,,,954
2015-08-03,2,2015,,-74281,-81342,1306.0,-7015.0,19118,-7015.0,-3083.0,5004,-21265,-24.0,,,-4678,8189,-10544,-146038,,-13016.0,-3443,23802.0,,0.0,,-4.0,,17218,-135902.0,88052,-1372.0,-42230,-24426,3105.0,-7848,,-172055,291719,,,17086,1162,-7862,5570,378770.0,2015年01月01日至2015年06月30日,979976,747378,36812,-232598,-308932,-79.0,9169,11981,,1060414,-909399,-59168,-308932,4938.0,-30661,-27196,-57857,0.0,4500,1685,320913,747378,-520,-1945,,,-10015
