date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-08,1,2013,83068.0,,,,-55550,-3259,-26136.0,19911,16571,-507,,,,260.0,,-3950.0,,,,-6484,4053,49522,-17509,,-3023.0,,-830,-3246,0.0,4598,,,-8871,,757,150166,,783,,,-117182,81873,269,,7224,-2765,9883,,,2013年01月01日至2013年03月31日,1922429,1812215,-110214,-8885,,163428,181513,,,,-206242.0,-205982,-8885,,,-43753,151083,107330,,3004,,,,-399,,190398,,1812215,-25203,,,47.0,,,-17538.0,-68738,
2013-08-08,2,2013,175824.0,,,,-65472,-13215,,20435,14780,-732,,,,161.0,,,2748.0,,-26136.0,-15706,7975,66668,-32673,,-3024.0,,-3549,-3090,0.0,31976,,,-58599,,1855,68168,,1002,,,-226910,176327,11865,,14442,-5216,17673,,,2013年01月01日至2013年06月30日,1922429,1806498,-115931,59001,,178558,224712,,,,-134408.0,-134247,59001,,,-101781,91668,-10113,,4426,,,,-412,,165711,,1806498,-58611,,,-3712.0,,0.0,-22176.0,-168702,
2013-11-08,3,2013,257181.0,,-259400.0,,-107786,-7699,,12945,15539,-367,,,,236.0,,,6207.0,,,-23253,15181,48959,-36256,,-3024.0,,-6584,-2294,90.0,57106,-26136.0,,-68072,,-878,82358,,-1677,,,-314301,258099,11619,,21336,-11947,22632,3861.0,,2013年01月01日至2013年09月30日,1922429,1826771,-95658,132682,,258317,355957,,-147571.0,,258012.0,-88633,132682,,-3861.0,-163791,129885,-33906,60000.0,4571,,6821.0,,-1264,-2274.0,223275,-542.0,1826771,-112186,,,-3947.0,,,-26994.0,-259900,
2014-03-21,4,2013,341611.0,40000.0,-260500.0,,-53372,-12742,,12984,15366,-604,,,,95.0,,7503.0,,,,-31508,19118,76241,-48574,,-3024.0,,-6825,-3783,90.0,23241,-26136.0,,-23565,,-7229,116833,,-1149,-582.0,,-377455,349499,9770,,28563,-15866,30583,5036.0,,2013年01月01日至2013年12月31日,1922429,1934850,12421,250903,,544533,637571,,-147571.0,116988.0,,-230898,250903,,-5036.0,-71764,116821,45057,60000.0,7425,,26146.0,,-2086,-8658.0,386668,-504.0,1934850,-112791,-3994.0,,,,,,-373970,-33894.0
2014-05-13,1,2014,78970.0,,,,-64003,-10481,,6801,-1296,211,,,,,329.0,0.0,16181.0,0.0,,-9146,4144,4123,-8830,,0.0,,0,2386,,36857,0.0,,-51020,,-2826,50461,,-1067,54.0,,-49663,88372,-2174,,6640,-4131,11237,,,2014年01月01日至2014年03月31日,1934850,2006517,71667,79525,,97069,104947,,,19809.0,0.0,20138,79525,,,-110994,57446,-53548,,1283,,31179.0,,599,-14025.0,25422,,2006517,-14984,,,,,,-15065.0,-89476,
2014-11-12,3,2014,83520.0,,0.0,,28664,-9814,,13255,-6335,329,,,,701.0,,,24054.0,,,-23780,10027,14649,-31872,,0.0,,-2934,-90,0.0,-7148,0.0,,34893,,4076,-156770,,-2175,54.0,,70557,266413,0,,17504,-10189,23260,0.0,,2014年01月01日至2014年09月30日,1934850,2062297,127447,510732,,419770,467807,12090.0,0.0,0.0,-390320.0,-377529,510732,3606.0,0.0,80942,-207387,-126445,0.0,2740,,361922.0,,811,-188009.0,-42925,0.0,2062297,-61108,,11460.0,-14422.0,,,-25474.0,-283353,
2015-03-27,4,2014,219010.0,28800.0,0.0,,44755,-9301,,-12211,-14064,-193,,,,907.0,,,24809.0,0.0,,-34381,12455,62680,-39964,,0.0,,-4233,-858,0.0,50840,0.0,-40733.0,-43808,,-2929,-31249,,-4003,-656.0,,18795,372084,-17086,,22872,-11842,34381,0.0,,2014年度,1934850,2229478,294628,564595,,682612,734439,12090.0,-86083.0,0.0,-355640.0,-469459,564595,9015.0,0.0,-14849,-34317,-49166,0.0,5637,,361922.0,10749.0,3623,-188009.0,169844,0.0,2229478,-74366,,11460.0,,,-25460.0,-9261.0,-332716,
2015-05-14,1,2015,,,,,-110426,11542,,297,7820,332,,,,142,,-4795,0,,,-9901,2416,-17022,-3744,,,-151131,-615,54,-500,-13720,,,-50387,,253,113231,,4467,,,-217681,100076,-348,-2012,5501,-2374,11679,,101381,2015年01月01日至2015年03月31日,2229478,2089294,-140184,36432,0,99920,93651,,,0,-35043,-5401,36432,3502,,-160263,116101,-44162,30000,3679,,0,,1745,0,57219,,2089294,-3036,,,,,,-7223,-61075,
2015-08-04,2,2015,,,,,-185455,9794,,2912,8228,757,,,,242.0,,-6184.0,,,,-18477,5229,-31183,-19717,,-49730.0,-151131.0,-865,1038,-1200.0,10931,,,-93930,,460,213247,,6275,,,-328246,189113,-294,-50.0,10802,-5809,23612,,197506.0,2015年01月01日至2015年06月30日,2229478,1609982,-619496,15240,0.0,168587,168922,,,,-457696.0,-428654,15240,6293.0,,-276013,232189,-43824,30000.0,3269,,0.0,,2787,0.0,153682,,1609982,-18138,,0.0,,771.0,,-16749.0,-103888,
2015-11-04,3,2015,,,,130000,-155875,9756,,-674,6874,65,,,,375,,,-9077,,,-25315,7015,32899,-28133,,-49730,-151131,-1075,336,-1740,-30414,,,-9659,,395,-5501,,6703,,,-811773,299208,-5673,-10809,16072,-7590,30335,,306652,2015年01月01日至2015年09月30日,2229478,1987524,-241954,126736,0,253864,248246,0,-147679,302100,,283056,126736,8938,,-165813,-19329,-185142,,5547,,0,,5853,0,121510,,1987524,-17127,,0,0,5354,-430147,,-148027,-1139
