date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產重分類淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-04-29,1,2013,23604.0,,-499670.0,,-334642,,101435,,,32260,,-700.0,-546956,,-7444,49708,-22211,-225064,-9875.0,,,,0.0,2673,1872412.0,718.0,,-219.0,0.0,-243592,,,-763194,1010700,1636554,484058,1646,13591,-48371,5954,,2013年01月01日至2013年03月31日,2992533,4443108,1450575,492148,321823,364240,,,,,10688.0,-485591,492148,8549.0,-947527,796015,-151512,0.0,0,,,,,,,,-127908,4443108,0.0,20452.0,48874.0,,,-3353.0
2013-08-02,2,2013,549423.0,,-785478.0,,-26263,,-2184,,,39315,-6627.0,,-546091,,-14783,89086,-41761,-350688,-9875.0,,,,0.0,3629,1872412.0,,726.0,,-1611.0,-288909,,17088.0,-440363,407539,1534441,976859,7123,22456,-88415,11435,,2013年01月01日至2013年06月30日,2992533,4706794,1714261,841730,990899,1085510,,,,,11805.0,-769318,841730,,-428883,123240,-305643,0.0,30830,,,,,,,,243780,4706794,-17631.0,,39927.0,-2315.0,,-34705.0
2013-11-04,3,2013,1104649.0,,,,-190527,,-2461,,,52110,-15324.0,,-536074,,-20181,126910,-21463,-489827,-9875.0,,,,0.0,3831,1872412.0,,715.0,,229.0,-213582,,,-500304,-202570,1398331,1472235,6905,31995,-126867,17546,,2013年01月01日至2013年09月30日,2992533,4044552,1052019,1039782,903705,1030657,,-225524.0,0.0,,304155.0,-1228554,1039782,25498.0,-654414,-459360,-1113774,-1349231.0,40716,,,,,,,21817.0,-9125,4044552,-17631.0,,38878.0,-24456.0,37500.0,-95318.0
2014-03-10,4,2013,1670558.0,,-1867121.0,,-153535,,22623,,,61481,,-13342.0,-595773,,-30233,165807,-32969,-669412,-9875.0,,37500.0,,0.0,4114,1872412.0,,1223.0,,1043.0,-126079,,,-725666,476181,1234461,1970885,13997,40900,-159430,26535,,2013年01月01日至2013年12月31日,2992533,4953611,1961078,1084896,2058878,2209404,,-225524.0,0.0,,750516.0,-1299292,1084896,88581.0,-856578,310528,-546050,,53635,,,,,,,,1124508,4953611,-17631.0,16394.0,,,,-101055.0
2014-05-12,1,2014,583210.0,,-2324536.0,141492.0,-79447,,79445,,,-21650,-17763.0,,11594,,-11877,42705,4739,-276769,,,,0.0,,26544,0.0,730.0,,128.0,,-311889,,,37886,218029,-144678,510334,9928,9569,-44313,10469,,2014年01月01日至2014年03月31日,4953611,4739018,-214593,23393,427039,460883,,,1995000.0,,-199431.0,-501693,23393,19917.0,19786,-165506,-145720,,8234,,,,,,,,437490,4739018,,-8960.0,-18098.0,,,-49996.0
2014-08-13,2,2014,1113374.0,1050.0,-2303769.0,526.0,-18149,,-13534,-546.0,,19830,,-31245.0,109,141492.0,-25814,73603,10256,-515703,0.0,,,,,28090,0.0,641.0,,,,-473230,,,277327,-282207,-395637,1021677,7796,20618,-54481,24988,,2014年01月01日至2014年06月30日,4953611,4843388,-110223,210131,793429,971459,,,1995000.0,,-238233.0,-518271,210131,56968.0,245644,-597690,-352046,,8243,,,,,,0.0,0.0,761328,4843388,-148537.0,-41583.0,,,,138463.0
2014-11-05,3,2014,1750175.0,1050.0,-3035002.0,1172.0,-188417,,-7977,-821.0,,29544,,-61980.0,-4260,141492.0,-34370,100642,24990,-997673,0.0,,25000.0,,,32929,0.0,1594.0,,,,-521501,,,558673,-674771,-900469,1533300,9291,35200,-71625,35808,,2014年01月01日至2014年09月30日,4953611,3633488,-1320123,573584,1441646,1628160,,-669201.0,1995000.0,,-236610.0,-1886290,573584,88705.0,362279,-1057878,-695599,,15470,,,,,,,0.0,1054576,3633488,-150697.0,21667.0,,,,109671.0
2015-03-10,4,2014,2350860.0,1050.0,-3143693.0,,-126233,,-25168,,,3384,,-85237.0,3351,141492.0,-40610,132388,33337,-2112821,0.0,-74022.0,25000.0,,,33649,0.0,,-291.0,,703.0,-747581,,,198543,-452850,-2096235,2046212,12694,52497,-92596,43560,,2014年度,4953611,5397182,443571,739407,1918900,2118092,2490000.0,-669201.0,1995000.0,,-142895.0,587569,739407,102592.0,47142,-1019317,-972175,,32600,,,,,,,,1378685,5397182,-150156.0,41736.0,,,,177730.0
2015-05-13,1,2015,,,0.0,0.0,-136451,,0,,,6896,-20334.0,,-17584,,-7669,24560,-5525,-186854,,,,,,6247,,0.0,,,584.0,-331379,,,-36597,336246,-202269,527111,2583,19300,-13770,7037,480609.0,2015年01月01日至2015年03月31日,5397182,5802358,405176,180851,605031,617111,,,0.0,,1692.0,7939,180851,22154.0,-167231,122882,-44349,,4335,,,,,,,,436260,5802358,-5347.0,-89846.0,5817.0,,,111119.0
2015-08-05,2,2015,,0.0,0.0,-827.0,-74336,,3731,0.0,,-42610,-33911.0,,-14681,0.0,-19446,47908,-1343,-368851,,,,,,6371,,2133.0,,,,-313602,,,-182466,439236,-351599,1054806,-1362,38260,-27282,19709,1078141.0,2015年01月01日至2015年06月30日,5397182,5775355,378173,225123,1197598,1285768,,,0.0,,-474987.0,-466483,225123,43039.0,-253071,235575,-17496,,87968,,-17986.0,-35978.0,,,,,1060645,5775355,-80597.0,-52397.0,,,,152551.0
2015-11-04,3,2015,,0.0,0.0,,-248583,111800.0,16551,44674.0,0.0,-135332,-44334.0,,-14681,0.0,-25547,67603,19265,-492888,,,,,,6381,,0.0,-772.0,-1322.0,0.0,-346735,-276656.0,,284289,174074,-125119,1576275,-3171,58117,-36882,25517,1595082.0,2015年01月01日至2015年09月30日,5397182,5050547,-346635,263235,1615211,1759055,,-660316.0,0.0,,-924629.0,-1855992,263235,48760.0,52257,-151519,-99262,,449403,,-170051.0,-35978.0,,,,,1495820,5050547,-132479.0,57777.0,,,0.0,
2016-03-07,4,2015,,0.0,-1250.0,,-1608,156391.0,19005,-7125.0,,-164571,-141762.0,,-18335,0.0,-32134,87214,16113,-624023,,0.0,,,,6793,,,-775.0,-992.0,0.0,-199640,-618001.0,,189661,175567,-311352,2080207,-10873,77278,-46073,32639,2031735.0,2015年度,5397182,5240128,-157054,304398,2336364,2503813,0.0,-660317.0,0.0,,-924629.0,-2198179,304398,53317.0,207058,-39378,167680,,416525,74878.0,-167090.0,-35978.0,,,,,2199415,5240128,-154015.0,-37849.0,,,0.0,
2016-05-11,1,2016,,,-1798750.0,0.0,-239673,-40250.0,-16992,-47614.0,,-22862,-7346.0,,204,,-5255,17610,-14705,-172071,,,,,,1185,,147.0,,,972.0,994,-501.0,,58756,585550,-54542,455076,844,22096,-7715,5298,364265.0,2016年01月01日至2016年03月31日,5240128,3990991,-1249137,-17849,618029,624325,,,,0.0,,-1797919,-17849,8998.0,-197909,475818,277909,,1130,,,,-68484.0,122773.0,,,642174,3990991,-3879.0,-66824.0,,,,
2016-08-09,2,2016,,,-1798750.0,,-211346,-8211.0,-45342,-100235.0,,-36571,-23725.0,,0,,-10407,29095,-20017,-275341,,,,,,1250,,140.0,,-17108.0,,168868,-320489.0,,124074,309451,-189343,860455,902,42918,-7957,10444,833169.0,2016年01月01日至2016年06月30日,5240128,3807786,-1432342,-135943,894867,897914,,,,,0.0,-2117849,-135943,16763.0,-132614,333302,200688,,4058,,-985.0,0.0,-68484.0,122773.0,,,1033857,3807786,-5534.0,-37088.0,,,,
2016-11-08,3,2016,,,-1798750.0,,-235787,,-38111,-162423.0,,-177133,-40358.0,,0,,-14417,40485,-43521,-385397,,,,,,1366,,786.0,0.0,-16330.0,,86262,-320489.0,,384156,414122,-311617,1209900,4418,62983,-8286,13996,1211179.0,2016年01月01日至2016年09月30日,5240128,3632465,-1607663,-158378,1228765,1230537,,-364203.0,,,0.0,-2481290,-158378,16933.0,110258,67478,177736,,7695,,-1157.0,0.0,-68484.0,122773.0,,,1388915,3632465,-7482.0,-39482.0,,,,-93350.0
