date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付設備款增加
2013-05-14,1,2013,37409,,,-12207,1058,4329,-12035,,2565,-550,1244,2553,-193728,-681,1503,,,-106,0,-13018,3369,14990,,0,3731,2265,-227373,19365,4623,-1124,550,,2013年01月01日至2013年03月31日,231921,252788,20867,27134,39067,42035,,,0,191630,,206620,27134,4895,-4509,-17999,-22508,,,3044,14901,,,252788,-2394,720,,-32858
2013-08-13,2,2013,77760.0,,,59032,-16822,-34893,-30491,,2110.0,-1073,2562,4185,-260950,-680,8509,,,,779.0,-72940,96718,14945.0,,,-26705,2292,-260713,36976,9200,-2562,1073,,2013年01月01日至2013年06月30日,231921,305320,73399,68693,109093,122644,,,0.0,205889,,220834,68693,9790,120857,-144666,-23809,,138.0,9686,53951,,,305320,-12062,0.0,,
2013-11-08,3,2013,114703,,,29247,-17123,-1936,-91918,,0,-1654,7854,3197,-256728,-680,14784,,,725,,-86861,66681,15002,,,-18483,1871,-337559,59011,11993,-7470,1654,,2013年01月01日至2013年09月30日,231921,312764,80843,108303,73925,104484,,-35157,0,361435,,341280,108303,13994,93992,-212514,-118522,,183,10701,-3819,,,312764,-24743,-1980,,-81059
2014-03-20,4,2013,168770.0,,-1100000.0,37661,-36604,4633,-54471,,0.0,-1883,22793,6903,-376227,-6158,12098,,,,1125.0,-20820,-42818,14982.0,,45.0,-7204,802,-474487,90191,15152,-18095,1883,,2013年01月01日至2013年12月31日,231921,662267,430346,124078,128981,174072,,-35157.0,0.0,-10876,,768949,124078,16819,-479,-118297,-118776,1900000.0,950.0,13900,49994,,,662267,-28879,-300.0,,-94177.0
2014-05-12,1,2014,56579.0,-331200.0,,-53326,24461,879,-18643,,,-1056,15584,-579,-21931,-230,-1741,,,-58.0,,6100,32067,-59945.0,,40.0,33557,712,-26446,34611,3161,-11498,1056,,2014年01月01日至2014年03月31日,662267,540917,-121350,5141,74698,87567,,,,222122,,-169023,5141,2912,-20340,46187,25847,,,0,82426,,4129.0,540917,-2427,-1021.0,,-4227.0
2014-08-05,2,2014,124413.0,-331200.0,,-40777,20637,302,-9796,,,-1878,32390,-3707,-26843,-230,8784,,,,722.0,-18559,55803,-59945.0,,55.0,17949,187,-35564,68272,6233,-29116,1878,,2014年01月01日至2014年06月30日,662267,612300,-49967,12506,130317,162720,,,,250132,,-141013,12506,5824,15383,10418,25801,,309.0,1680,150214,,4129.0,612300,-5165,-1021.0,,-9522.0
2014-11-13,3,2014,163756.0,-331200.0,,-31800,20117,4587,-1826,,-50.0,-2417,49097,483,-32104,-426,-6778,,10.0,,1120.0,-14141,74151,-59945.0,,38.0,26060,-128,-46783,101834,9242,-44133,2417,,2014年01月01日至2014年09月30日,662267,646740,-15527,40253,216698,281067,,-78225.0,,283435,,-185925,40253,8040,46976,30082,77058,,309.0,1680,240814,,4129.0,646740,-22653,-1021.0,,-15682.0
2015-03-27,4,2014,220358.0,-331200.0,0.0,8317,34329,21019,12388,,,-3193,65633,6778,-35765,-3745,-6979,10.0,,,1067.0,-16449,96322,-59945.0,,21.0,-15004,-586,-55570,135365,12179,-63817,3193,,2014年度,662267,865506,203239,85886,359843,446601,283002.0,-78225.0,,78546,,-107812,85886,12565,125679,14678,140357,0.0,309.0,1680,360715,,4129.0,865506,-26134,-1021.0,,-17436.0
2015-05-12,1,2015,,-514800.0,,-34140,5714,-5077,-2738,,,-292,13509,-1570,-57299,-1388,368,151.0,,-2949.0,,-13950,-11587,,0.0,209.0,71686,289,-63160,33971,2880,-12940,292,50765.0,2015年01月01日至2015年03月31日,865506,307919,-557587,25779,68910,86950,,,,-47118,,-561767,25779,858,-50595,61001,10406,,569.0,-529,61171,,0.0,307919,-5392,0.0,,-2093.0
2015-08-06,2,2015,,-514800.0,-95000.0,-18637,1509,-5321,-13843,,,-796,25759,-3233,-72136,-1510,5964,199.0,,,-2930.0,-36832,-14305,0.0,,-49.0,53996,543,-85421,69123,5532,-24988,796,106770.0,2015年01月01日至2015年06月30日,865506,325065,-540441,38837,75753,112668,,,,82061,,-527540,38837,1717,-38312,5373,-32939,,569.0,-529,73831,,0.0,325065,-12723,0.0,,-9414.0
2015-11-10,3,2015,,-514800.0,-1900000.0,2492,1853,11950,-10358,-20714.0,0.0,-1084,45939,6756,-122814,-1715,6980,,207.0,,-2747.0,-35886,-29951,,0.0,-66.0,11452,-1628,-152359,105856,8176,-45645,1084,167627.0,2015年01月01日至2015年09月30日,865506,320301,-545205,76299,127489,193784,,-48360.0,,2017349,-1886487.0,-527091,76299,2289,-15575,-34567,-50142,1805000.0,569.0,-529,117485,,0.0,320301,-21734,0.0,,-4938.0
