date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-04-26,1,2013,,2843440.0,,-1547,-151876,-12061.0,-761.0,10190,-15526,-90277.0,,,-17543.0,,13921,-36695,10623,-1707,-2792860,,-534600.0,-90000.0,-111404,39348.0,,64310,38098,-48664,-45164,46501,-951798,,-1471071,49983.0,,-8256,535370,-112735,15402,-3535.0,,-3043695,2192274,,,21482,384062,-7962,35191,,,2013年01月01日至2013年03月31日,11810538,13048051,1237513,3434293,,4340971,4317353,,,,-78383.0,-58056,3434293,,-1432595,-527785,-1960380,,8391,,526370,213769,-16190,,0.0,,,883060,-1826,13048051,-3611,-4218.0,102.0,0.0,,,2263,205840
2013-07-31,2,2013,,5640160.0,,-1547,491125,,,6985,-18155,-89142.0,,,-46092.0,,-16436,-81293,22914,66,-4820796,-50000.0,-653928.0,-120000.0,-271609,445131.0,,94151,69800,-94173,-1125644,80680,-543291,,-1267873,229827.0,,-19981,9497,-112062,18809,-7285.0,,-5767601,4346366,,,44041,765210,-14115,80473,,,2013年01月01日至2013年06月30日,11810538,21474130,9663592,7277908,,10529047,11452456,,4990303.0,,-275604.0,4902080,7277908,,-845462,-620150,-1465612,,16226,,821481,423633,-21556,,0.0,,,4174548,9277,21474130,-989767,4626.0,102.0,29566.0,64172.0,-5770.0,25052,-57710
2013-10-28,3,2013,,8632137.0,,-9315,660315,,,-88097,-2557,-96554.0,,,-74211.0,,-24520,-129716,58294,-618,-7185304,-50000.0,-653928.0,-172765.0,-457206,0.0,,165283,105065,-141733,-1164233,131614,-786117,-42758.0,-2146910,729616.0,,-16994,69633,-193402,23039,-10804.0,,-7778473,6441861,130385.0,100000.0,72009,1145893,-26227,129976,7655.0,,2013年01月01日至2013年09月30日,11810538,18064144,6253606,11196205,,15251264,17053173,-11497795.0,4990757.0,4649610.0,,-1218567,11196205,-4861.0,-1829303,-945866,-2775169,,28744,0.0,1302755,963192,-143123,,,481162.0,,5856968,15577,18064144,-1913313,9994.0,102.0,29439.0,83499.0,-5770.0,-186847,-242390
2014-02-18,4,2013,,11666103.0,,-9315,1168702,,,-46294,34341,-107383.0,,-95210.0,,,-18535,-165105,118018,1417,-9802919,-50000.0,-663928.0,-172765.0,-32024895,-129062.0,,165665,137904,-181993,-278901,211387,-1958845,-42758.0,-1342208,319806.0,,-21720,12928,-141521,13786,-13575.0,,-40426621,8600351,208688.0,100000.0,128365,1527870,-48814,174641,10067.0,,2013年01月01日至2013年12月31日,11810538,2821165,-8989373,14488219,,21901840,23692072,-11501151.0,19964179.0,864732.0,,9533991,14488219,-7273.0,-523613,-1938637,-2462250,,32869,,2501734,1310909,-224103,,,0.0,,9203853,17440,2821165,-1926126,11608.0,102.0,35039.0,224001.0,-5770.0,-108014,-285958
2014-04-25,1,2014,,2986139.0,,-5596,-440038,,,10273,-53681,0.0,6371.0,,-21160.0,,-8600,-14034,83829,-408,-3029814,,-10000.0,0.0,-166530,-347239.0,,79746,26594,-47200,-78565,62238,1282665,,-633475,149927.0,,31817,363842,164576,-4331,-2207.0,,-3474002,2212330,,,38507,382874,-9001,9227,,,2014年01月01日至2014年03月31日,2821165,6558327,3737162,3806556,,7397048,7397557,,,,-1288041.0,-185476,3806556,,-935868,1540730,604862,1000000.0,4506,,85031,240947,-447,,,0.0,,3591001,9141,6558327,-735,0.0,1385.0,,0.0,-30398.0,-212341,88621
2014-07-30,2,2014,,6027167.0,,-99483,160053,,,-22219,-62579,-92923.0,,,-41040.0,,-5735,-36939,167828,-2828,-5996752,0.0,-10000.0,-360000.0,-319803,-614163.0,,148625,55389,-83169,-164346,149585,1468608,,-486463,109980.0,,28708,-154160,157583,-13589,-1563.0,,-7215131,4428390,,,87465,806055,-82151,30518,,,2014年01月01日至2014年06月30日,2821165,17547115,14725950,8013304,,13818583,14890156,,0.0,,-1106351.0,8125326,8013304,,-333332,1183017,849685,9290000.0,27071,,166200,444911,-24877,,,0.0,,6876852,11101,17547115,-1019940,0.0,1385.0,0.0,10059.0,,-212846,-22949
2014-10-28,3,2014,,9082611.0,8348.0,-3289483,746058,,,-235385,-38531,-108421.0,,,-60920.0,,-1605,-56697,254933,259,-9143085,0.0,-60000.0,-360000.0,-489115,-820827.0,,245389,114555,-151979,-212066,190560,1443345,0.0,419867,1059715.0,,25799,-236834,135619,-26453,-6963.0,,-10677376,6549639,0.0,100000.0,107420,1333661,-94577,49113,4826.0,,2014年01月01日至2014年09月30日,2821165,7547387,4726222,11484897,,20329267,22399151,-12315034.0,0.0,384478.0,,-4925928,11484897,-639.0,1043396,788247,1831643,9290000.0,51030,,166200,656099,-26511,,,0.0,,10914254,24655,7547387,-2029246,0.0,1385.0,42740.0,19537.0,,-488899,69365
2015-02-13,4,2014,,12014477.0,8348.0,-5289483,1067294,,,-63866,-33075,-184085.0,,-111072.0,,,-18745,-74150,345337,3362,-12406322,-150000.0,-60000.0,-360000.0,-766192,-1088063.0,,263366,188177,-234566,-295658,261068,1172147,0.0,63334,10074.0,,4031,-504522,66409,-21895,-9127.0,-48260.0,-14678287,8618768,0.0,100000.0,167598,1928341,-323123,63335,5850.0,,2014年度,2821165,3853038,1031873,13984823,,25584888,27869801,-12317065.0,0.0,-1446127.0,,-9878090,13984823,-1662.0,1408286,462215,1870501,9290000.0,96417,,166200,859935,-26511,,,,,13884978,40278,3853038,-2030975,0.0,1385.0,31972.0,-925.0,,-216849,306342
2015-04-28,1,2015,,,,0,-773880,,,-257169,58630,,1302.0,2655.0,0.0,,-13575,-16179,152782,-879,-3042533,,0.0,,-195426,,-462940.0,71917,42000,-52089,-94898,94370,-62323,,-262693,0.0,-269943.0,17461,182355,45948,18674,,,-3634824,2001368,,,96874,585182,-57896,13679,,2948613.0,2015年01月01日至2015年03月31日,3853038,5791886,1938848,3635023,793.0,4251015,5435481,,,320913.0,0.0,1323536,3635023,,-1298477,150322,-1148155,1280000.0,8601,,56700,110212,-6700,,,,,1800458,10836,5791886,-1140249,,0.0,,,-33268.0,-92962,-33825
2015-07-30,2,2015,,,,0,-601711,,,-173624,81590,-94282.0,,,-7291.0,,-180,-35699,242675,-2044,-6377427,,0.0,-106000.0,-419501,,80719.0,139613,74229,-98338,-163278,162080,-27130,,-583305,110047.0,,-5105,-52085,74992,-5342,,,-6840141,4124411,,,168912,1354581,-138992,40114,,6384617.0,2015年01月01日至2015年06月30日,3853038,16518374,12665336,7460713,-4615.0,9862552,12528739,,,,266322.0,9644969,7460713,,-1439641,123050,-1316591,9300000.0,20848,,56700,470223,-34413,,,,,5068026,13433,16518374,-2567309,,0.0,,-45506.0,,51025,-84714
2015-10-28,3,2015,,,0.0,-3350000,-413399,,,-282235,33870,-2158967.0,,,-16545.0,,-28787,-52624,339996,-701,-8661168,,-166350.0,-106000.0,-606183,,746019.0,208875,114851,-148237,-211150,208843,571512,,-683647,5289638.0,,13205,-67572,92250,-17868,,,-10334036,6323449,,0.0,235159,2122611,-161822,57841,5927.0,9666408.0,2015年01月01日至2015年09月30日,3853038,15247292,11394254,11353723,-6841.0,16522694,20102650,-12296653.0,,,6329508.0,5206297,11353723,-1335.0,-1481044,563563,-917481,9300000.0,23619,,597301,641578,-66814,,,,,8748927,7459,15247292,-3481902,,0.0,-16265.0,-55700.0,,-48629,-115586
