date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款減少,預付款項（增加）減少
2013-05-03,1,2013,185038.0,-41004,-2609,-93259,,-191708.0,,-101917,-6954,2636,101168,-68718,,,0.0,4179,,,0.0,-78171,,,47467,-100015.0,,-48910,-18481,-16960,-333669,84414,208378,3123,87887,-2640,27524,,,2013年01月01日至2013年03月31日,2205152,2159239,-12524,-45913,161590,276390,334965,,12853.0,,-89802,161590,,-45056,33393,-11663,28674,,1200,-4573.0,,,173375,2159239,-86099,-2002.0,,27652,,31886
2013-08-12,2,2013,389367.0,-40769,6668,-192498,0.0,-210285.0,,-143535,-17279,5514,175419,-136466,,,-31794.0,3438,,0.0,,-73713,,,-32251,-99949.0,,44437,21680,-11274,-465824,174559,139488,10466,191728,-5472,36162,,,2013年01月01日至2013年06月30日,2205152,2245468,-13410,40316,258703,339899,497300,,96243.0,,-9178,258703,,-21915,-128855,-150770,42986,13270.0,3112,11830.0,,,238597,2245468,-193563,-768.0,0.0,20177,,-12538
2013-11-05,3,2013,595767.0,11564,-1886,-346869,,493191.0,,-206933,-28280,8554,139231,-184584,,,-40184.0,4312,0.0,0.0,,-157584,,,295789,-49978.0,,36032,-567012,-21317,110411,263057,142561,11717,303489,-8049,47723,,,2013年01月01日至2013年09月30日,2205152,2380566,1917,175414,472068,198708,373944,-305125.0,90216.0,,-272936,472068,,341499,-1035390,-693891,35651,13270.0,4794,7706.0,,,-98124,2380566,-222959,-3668.0,0.0,22169,,-85169
2014-03-25,4,2013,795213.0,115713,15661,-506217,,,443505.0,-269914,-37134,11635,207566,-245142,,-110.0,-50129.0,745,0.0,0.0,,-87690,,0.0,396320,59.0,,34309,-1095139,-56606,-118458,359582,43013,12350,400052,-11208,39098,,,2013年01月01日至2013年12月31日,2205152,2214103,-10840,8951,668118,38795,250185,-305125.0,197322.0,,-118952,668118,,562003,-1775149,-1213146,41116,13270.0,5993,26144.0,0.0,,-417933,2214103,-250488,,0.0,26686,-51054.0,-72510
2014-05-13,1,2014,175073,-111837,-4236,-97355,,-59625,,-25736,-12494,3847,54436,-19222,,,,1624,,,,-26227,,,-279395,,-108,50954,131973,48939,-92690,95192,75157,2949,95805,-3333,13215,,,2014年01月01日至2014年03月31日,2214103,2222450,-17260,8347,193628,109269,157493,,0,-59227,-62668,193628,,-344514,133306,-211208,11893,,871,,,,-36135,2222450,-61439,,,4539,,819
2014-08-12,2,2014,403013.0,-153409,-6513,-200040,,87019.0,,-10392,-25988,7019,-21203,-65875,,,0.0,841,,,,60495,,,-299860,-141.0,,5266,305002,79076,37134,187664,27902,7794,216469,-6797,25791,,,2014年01月01日至2014年06月30日,2214103,2163841,15637,-50262,282793,355750,546801,,-415005.0,,-421943,282793,,-454516,315511,-139005,26382,0.0,8630,-8486.0,,,264008,2163841,-216842,9174.0,,-15741,,43076
2014-11-11,3,2014,582900.0,-89149,-189,-300956,,,43206.0,-47997,-39342,9525,52232,-102446,,,0.0,1481,,,,-5292,,,-148410,49869.0,,9912,137492,83265,-75522,280463,30394,17728,318073,-9192,39060,,,2014年01月01日至2014年09月30日,2214103,2341182,-3552,127079,453332,564837,801527,-249018.0,-206127.0,,-414468,453332,,-227836,-6869,-234705,31715,0.0,9461,-10617.0,,,348195,2341182,-275750,7579.0,,-7899,,48228
2015-03-24,4,2014,770982.0,-60024,43006,-482664,,-41744.0,0.0,-115076,-51371,12698,245054,-145969,,0.0,0.0,19927,,,,62706,,,-287899,49881.0,,-19212,225893,95236,-270072,376280,-37397,19086,416211,-12226,34617,,,2014年度,2214103,2397352,-32619,183249,536016,619363,902073,-249018.0,0.0,-199733.0,-411096,536016,,-324129,-80796,-404925,32717,0.0,12963,0.0,,,366057,2397352,-317327,6055.0,,-8248,0.0,55430
2015-05-12,1,2015,,-27369,-39654,-69028,,-189605.0,,-58260,-9946,2897,-53774,-20805,,-28.0,,3331,,,,-73917,,,-62291,116.0,,-59468,703426,-1505,-259370,96047,103499,-4956,125303,-2968,20245,,265805.0,2015年01月01日至2015年03月31日,2397352,2536497,37513,139145,-28808,728872,740632,,,-273731.0,-276583,-28808,,-188782,692417,503635,9328,,16874,,,,769440,2536497,-32005,-6564.0,,5306,,29942
2015-08-12,2,2015,,-94837,-30923,-104441,,-412040.0,,-52701,-22067,4592,-91619,-70289,,-28.0,-23300.0,1805,,,,-26399,,,-309725,53.0,,-29244,1058970,-5438,-545535,189928,70975,-13294,214147,-4564,24985,,444400.0,2015年01月01日至2015年06月30日,2397352,2384194,51275,-13158,-30990,889480,966093,,,-260973.0,-265484,-30990,,-464729,1017412,552683,12823,,34902,,,,997083,2384194,-101598,-17108.0,,220,,23745
