date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得持有至到期日金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少
2013-04-29,1,2013,980533.0,,,-983803,8012,-150149,-1929004.0,,,-16599.0,,5199,,,-26414,93733,194289,-839315,,,,,,,49.0,,1034266,-2638954,-102929,-31426.0,1477056,-23872,0,-791598,868927,,,11948.0,24221,-44653,20769,,,2013年01月01日至2013年03月31日,8756464,6423097,-2333367,856650,-1785042,-1600039,,,125063.0,,48984,856650,,-3875835,438613,-3437222,,43498,,2919,0.0,0.0,,-2456689,6423097,-185003,,,-127845
2013-08-12,2,2013,1979680.0,,-2362500.0,-1121980,950206,45509,335433.0,,,,11555.0,10524,,,-58945,186795,148246,-1772345,,,-5703.0,,-20928.0,,-212.0,,443443,-1589301,-93649,-62748.0,1871883,1095960,0,-1673845,1774930,,,22051.0,46900,-91382,53116,,,2013年01月01日至2013年06月30日,8756464,9277799,521335,1878527,5059549,5818215,,0.0,,-3563557.0,-3012615,1878527,,-2759421,4719429,1960008,3088500.0,34041,,3128,0.0,0.0,,3939688,9277799,-758666,,,22504
2013-11-13,3,2013,3041316.0,,-3008748.0,-513561,932646,-12503,,-488142.0,,,29379.0,15866,,,-96370,281684,120859,-2809704,,,-5714.0,,-43014.0,,,32.0,-521503,1293343,-35468,-94603.0,-1099509,-480930,0,-3129202,2713956,,-3945.0,70230.0,60055,-135698,89504,3529.0,,2013年01月01日至2013年09月30日,8756464,8580561,-175903,3565360,5088688,5975078,-1406851.0,0.0,,-611566.0,-2256248,3565360,-3529.0,731811,-1363409,-631598,3044232.0,46200,,5138,0.0,0.0,,2409718,8580561,-886390,,,-190168
2014-03-25,4,2013,4522131.0,,-5067700.0,707492,420660,-42847,,337219.0,,,17630.0,21205,,,-129044,382761,240750,-4012255,,,10391.0,,-31512.0,,,-105.0,-354328,3817149,34170,-126435.0,-2589226,-5704469,-26040,-3468947,3658630,,-14712.0,87275.0,83127,-179633,124180,3535.0,,2013年01月01日至2013年12月31日,8756464,10015731,1259267,6069931,6073941,6987645,-1406851.0,0.0,,-265348.0,-1586477,6069931,-3535.0,4515964,-8120381,-3604417,5491002.0,51531,9318.0,38953,0.0,1764.0,,917714,10015731,-913704,24738.0,345866.0,147734
2014-05-12,1,2014,1044750.0,,-1980550.0,-1192260,400311,-12086,-2449.0,0.0,,-5416.0,,5445,,,-61514,126266,13659,-1093993,,,-83.0,434943.0,-11035.0,,,-421.0,883610,-4317139,-128334,-32464.0,3603372,4973715,-22519,-598120,981407,38751.0,10634.0,10967.0,36588,-69343,45047,,,2014年01月01日至2014年03月31日,10015731,13766598,3750867,1043424,5868819,6197809,,,,-2296662.0,-1533491,1043424,,-5611068,9720703,4109635,2856563.0,21720,,-2204,,,-52122.0,5154385,13766598,-328990,,,-125971
2014-08-13,2,2014,2118286.0,,-1941550.0,-712347,255288,-8115,-2145.0,500.0,,-38701.0,,5330,,,-134782,238799,-191285,-2236398,,,73.0,555617.0,-11403.0,,,-6829.0,58754,-3470937,-129254,-32042.0,303865,6913649,-44112,-1583795,1985402,,7356.0,10967.0,64003,-157982,119408,,,2014年01月01日至2014年06月30日,10015731,18843300,8827569,2090768,6428465,7247619,,8937705.0,,-5420857.0,4174184,2090768,,-4320653,7359218,3038565,2800313.0,22608,,616,,,-52122.0,5156851,18843300,-819154,,,-133437
2014-11-10,3,2014,3294137.0,,-1977300.0,-149016,283404,-1863,-2690.0,500.0,,-70435.0,,18405,,,-182997,372513,430873,-3805636,,,73.0,555617.0,-1904.0,,,-1970.0,-1630156,-712796,-21758,-32042.0,-2703798,7424685,11664,-3100942,3054980,,-11031.0,10967.0,69102,-224985,167186,3681.0,,2014年01月01日至2014年09月30日,10015731,16805842,6790111,4056114,8237333,9233218,-2215790.0,8937705.0,,-6114712.0,1222847,4056114,-3681.0,-885433,2768400,1882967,2851875.0,50115,,6897,,,-52122.0,5177104,16805842,-995885,,,-603678
2015-03-20,4,2014,4837962.0,,-1964200.0,-416060,24119,-5563,0.0,-5354973.0,,-161447.0,,25357,-235447.0,,-227863,497296,884231,-5344378,,,1692.0,555617.0,102133.0,,-1746.0,,-870980,1307966,167972,-32042.0,-5240735,8568050,3040,-10179623,4196155,,50725.0,10967.0,96697,-245826,223946,3681.0,,2014年度,10015731,17903172,7887441,7984006,14942590,16107425,-2215790.0,8937705.0,,-5198725.0,2240243,7984006,-3681.0,1054315,2231142,3285457,2856988.0,135124,0.0,15704,,,-3346.0,8123419,17903172,-1164835,0.0,228984.0,-303077
2015-05-12,1,2015,,,0.0,-1213567,439932,15937,34.0,-449709.0,,-2948.0,,8147,,,-174656,127356,-212112,-920706,,,0.0,0.0,,-9620.0,-22771.0,,946161,-4921431,-191054,0.0,5675843,2433563,-64058,-1292403,1146477,-37419.0,-10101.0,0.0,29679,-43322,96142,0.0,1148688.0,2015年01月01日至2015年03月31日,17903172,21841097,3937925,1732500,5188916,5832902,0.0,0.0,,306466.0,253524,1732500,0.0,-6347534,9299248,2951714,0.0,7589,,11685,,,0.0,4100402,21841097,-643986,,,-122126
2015-08-10,2,2015,,-51626.0,-2477600.0,-888229,722199,37423,40.0,-335156.0,,-38437.0,,16168,-61.0,,-392636,224598,-526847,-2781978,,,-1826.0,0.0,,-16374.0,-20856.0,,54600,-3507732,-188736,0.0,2438431,3266916,-56477,-2826024,2274129,-37419.0,-5703.0,0.0,58864,-93715,329795,0.0,2201794.0,2015年01月01日至2015年06月30日,17903172,21801442,3898270,3527639,6035178,7382830,,0.0,3855278.0,,1215963,3527639,0.0,-4584693,6238090,1653397,0.0,20669,,22497,,,0.0,3855191,21801442,-1347652,,,-181916
