date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-10,1,2013,16974.0,910,,-97,-9329.0,-41.0,-2168,,28076,-2360,-12454,29.0,902.0,-12.0,,-11652,31231,-5337,-19071,13936,940,,2071,,2013年01月01日至2013年03月31日,1032414,1043677,7057,11263,-20766,1356,1893,,902.0,-20766,1266,32044,-26359,5685,61.0,135.0,22659,1043677,-2608,-4221,,-4306
2013-08-08,2,2013,35550.0,2195,,524,-7160.0,-29.0,-4393,0.0,34592,-6146,-24196,0.0,1622.0,-174.0,,4784,-522,-22961,-34797,28144,1897,0.0,4306,,2013年01月01日至2013年06月30日,1032414,1012852,10847,-19562,-31785,-20979,-19404,,1622.0,-31785,3630,2197,-25366,-23169,61.0,139.0,12381,1012852,-5881,-4714,,-4342
2013-11-08,3,2013,45651.0,9187,,289,-11592.0,-15.0,-6477,0.0,20379,-8252,-30230,0.0,1797.0,-174.0,,58000,8537,-80941,-43763,42481,2836,0.0,6506,,2013年01月01日至2013年09月30日,1032414,958809,6676,-73605,-10471,15615,18645,-67633.0,-65836.0,-10471,5265,18013,-34548,-16535,62.0,140.0,29116,958809,-9536,-5270,,-5169
2014-03-28,4,2013,64202.0,-1934,,957,-3540.0,-10.0,-8427,1.0,29597,-10084,-35260,0.0,1818.0,-322.0,,93450,-11192,-41249,-50924,56118,3771,-1.0,8387,,2013年01月01日至2013年12月31日,1032414,1063400,7591,30986,17914,118128,118598,-67633.0,-65815.0,17914,7701,-12169,48651,36482,97.0,139.0,100684,1063400,-8856,-2692,,-5355
2014-05-08,1,2014,19838.0,6355,,-1151,433.0,8.0,-2212,,21523,-1414,-4032,0.0,0.0,179.0,,-5033,35601,-30451,-5408,12029,949,,2295,,2014年01月01日至2014年03月31日,1063400,1129177,6157,65777,22986,49662,48586,,0.0,22986,2873,40805,-35043,5762,0.0,0.0,25600,1129177,-1219,42,,-141
2014-08-12,2,2014,28285,9520,,-1129,23,16,-4443,0,-400,-2602,-8454,0,25,179,,-6167,20244,-44805,-11764,23799,1880,0,4526,,2014年01月01日至2014年06月30日,1063400,1110782,1657,47382,55011,59521,60998,,25,55011,5609,28635,-50933,-22298,0,22,5987,1110782,-6003,-239,,-887
2014-11-07,3,2014,45877.0,31862,,-2913,-705.0,21.0,-6571,0.0,21893,-4412,-10973,0.0,2079.0,178.0,,3039,19386,-823,-17217,35481,2652,0.0,6789,,2014年01月01日至2014年09月30日,1063400,1251073,4796,187673,85256,180918,181000,0.0,2079.0,85256,8584,48335,1532,49867,0.0,22.0,95744,1251073,-6871,913,,-2010
2015-03-19,4,2014,74290.0,41305,,2295,-3595.0,28.0,-8778,0.0,69206,-5127,-11165,576.0,2304.0,807.0,,-15804,48342,-76888,-21008,47377,5451,0.0,8724,,2014年度,1063400,1267680,17237,204280,123778,210228,193751,-56450.0,-54146.0,123778,12077,91942,-96259,-4317,0.0,55.0,69973,1267680,7753,295,,-5523
2015-03-30,4,2015,,14559,3005.0,-5285,,0.0,-9154,0.0,37434,-9938,-12326,-603.0,1556.0,148.0,,-42009,-33645,-9099,-30060,40752,15040,0.0,9198,59297.0,2015年度,1267680,1312932,-4273,45252,185235,145093,173125,-108771.0,-107215.0,185235,13273,-24371,-47036,-71407,488.0,2.0,-12110,1312932,-37230,4260,1067.0,-8432
2015-05-15,1,2015,,1513,,-2672,4389.0,0.0,-2323,,-14425,-1664,-568,,,-675.0,,-38814,-12222,97365,-8298,11803,3977,,2513,13762.0,2015年01月01日至2015年03月31日,1267680,1326022,-1892,58342,16086,81065,79407,,,16086,3707,-13381,62940,49559,,,63321,1326022,-855,-1510,,-5391
