date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他非流動資產減少,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少
2013-05-13,1,2013,10374.0,-46436,620,16227,,-12553,,,-1823,-2827,-1709,-9231,757,0.0,2.0,384,1923,35129,0.0,-10940,3421,8019,,1355,,2013年01月01日至2013年03月31日,1211458,1243740,32282,55446,46049,57790,55446,,-40455,32425,-8030,,0,2344,1243740,-13096,-3326
2013-08-06,2,2013,18929,-34135,620,7498,,-20052,-20,,-4041,-5063,-3121,-9322,330,,5,-4,2125,75227,0,-12463,6799,15841,,2761,,2013年01月01日至2013年06月30日,1211458,1317134,105676,99884,123202,147451,99884,,-44568,73206,28638,0,0,47567,1317134,-27010,-2646
2013-11-04,3,2013,27574.0,-2420,620,34649,305.0,-26586,-10.0,,-6266,-4547,-4099,-24194,269,,9.0,-4,3781,-22126,0.0,-28303,10219,23352,-47064.0,4265,,2013年01月01日至2013年09月30日,1211458,1244788,33330,169574,66180,183581,169574,,9420,-22987,-13567,0.0,0,14007,1244788,-74602,-1795
2014-03-10,4,2013,36661.0,15789,770,22046,305.0,-31298,0.0,,-8669,-6185,-9970,-24191,254,,9.0,-4,1338,-28648,-4.0,-34161,13963,31113,-47064.0,6308,,2013年01月01日至2013年12月31日,1211458,1418895,207437,367654,247783,386172,367654,,7871,-26014,-18143,0.0,0,18518,1418895,-97633,1554
2014-05-12,1,2014,8864.0,-49118,-15,-14881,0.0,10664,10.0,,-2089,1080,-1727,0,19,,0.0,0,5,35566,4.0,-1717,3701,7233,0.0,5834,,2014年01月01日至2014年03月31日,1418895,1543557,124662,156999,125299,143840,156999,,-53330,31307,-22023,0.0,0,-13159,1543557,-24375,-4248
2014-08-08,2,2014,16084.0,-9762,-2841,-24020,0.0,3048,-22762.0,,-4338,1106,-2946,-9320,32,,0.0,0,-230,56515,4.0,-35028,7226,10297,,8280,,2014年01月01日至2014年06月30日,1418895,1628674,209779,234110,243701,268363,234110,2867.0,-30964,49133,18169,0.0,0,34253,1628674,-32942,-4545
2014-11-10,3,2014,25423.0,19199,-285,-17930,0.0,10740,-28495.0,,-6505,-6157,-14346,-9975,24,,0.0,0,3316,-17365,4.0,-52816,10971,13766,-70696.0,10241,,2014年01月01日至2014年09月30日,1418895,1595589,176694,372969,235667,388067,372969,7167.0,15325,-25650,-10325,0.0,0,15098,1595589,-91945,-8004
2015-03-09,4,2014,37781.0,25859,-32,-15599,0.0,516,-26448.0,,-8735,-4020,-17598,-44942,-40,,0.0,0,-441,1225,4.0,-88988,14739,17704,-70696.0,12700,,2014年度,1418895,1655401,236506,478555,329514,504475,478555,14113.0,10335,-22196,-11861,0.0,0,25920,1655401,-116965,-23393
2015-05-04,1,2015,,-61166,1082,-1449,0.0,-114,-13.0,,-1999,-3395,-1498,-12514,7,,0.0,0,-20,58309,0.0,-14025,3712,6629,0.0,1751,16745.0,2015年01月01日至2015年03月31日,1655401,1644911,-10490,47291,6930,63586,47291,8396.0,-62749,62299,-450,0.0,0,16295,1644911,-58407,2908
2015-08-03,2,2015,,14471,2557,-21002,0.0,-44,-3091.0,,-4130,-9180,-7428,-21872,-28,,0.0,0,-137,57133,0.0,-32391,8089,13928,,4153,31685.0,2015年01月01日至2015年06月30日,1655401,1694728,39327,31139,80898,121766,31139,13826.0,-6712,65654,58942,0.0,0,90627,1694728,-45021,5964
2015-11-02,3,2015,,13863,2549,-26963,-355.0,27,0.0,6040.0,-6121,543,-36630,-32099,377,,0.0,0,-827,63290,0.0,-62565,12759,21861,0.0,5818,48624.0,2015年01月01日至2015年09月30日,1655401,1699358,43957,89886,105979,208451,89886,17717.0,-13900,83841,69941,124.0,2031,118565,1699358,-108290,18357
