date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產減少,其他項目,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失
2013-04-25,1,2013,3547.0,-737,,9786,,5767,-1789,-603,,,2730.0,-3564,19692,-2032,,,,,,,344,1103,,,,-119402,,-52228,,-11622,-1688,2379,20000,,81,,3500,,,2013年01月01日至2013年03月31日,3123259,3234812,,111553,253078,93549,121170,,253078,3563,,-100705,-34750,-135455,,,,,,,,-131908,14270,3234812,-31121,-1642,
2013-07-25,2,2013,6755.0,934,,9914,,-1752,-64129,-3114,,,,-7691,20592,-3334,,,,6462.0,,,534,882,,,,-53503,,-104065,,-5524,-2800,10227,180000,,162,,7679,,,2013年01月01日至2013年06月30日,3123259,3533372,,410113,474855,385859,464433,6462.0,474855,7126,,-34255,17078,-17177,,,,,,,,-10422,23180,3533372,-86253,-3069,
2013-10-28,3,2013,4952.0,46508,,10463,,199,-56989,-2697,,,,-12988,8001,-4255,,,5130.0,463.0,,,500,-2885,,,,-49847,,26540,,-7245,-3755,15367,744049,,243,-660455.0,12626,,,2013年01月01日至2013年09月30日,3123259,3783751,,660492,699673,650653,1422297,5593.0,699673,6439,,3739,713933,717672,,,,,,,,722624,9576,3783751,-123815,-4109,
2014-02-12,4,2013,11279.0,-16558,,-8051,,75329,-25873,-403,-21252.0,,,-20225,7427,-5363,,,7766.0,462.0,,,533,-468,,,,-123336,,24105,,-645,-4830,20403,804048,,286,-660455.0,18980,,,2013年01月01日至2013年12月31日,3123259,4066568,,943309,991855,932484,1718227,8228.0,991855,15224,,-56771,771864,715093,,,4.0,,,,,726372,8197,4066568,-144268,-4413,
2014-04-24,1,2014,-3614.0,-44450,,-5217,,-27475,3692,20,0.0,,,-10010,22253,-374,,,250.0,0.0,,-61.0,52,569,,,,-36869,,72408,,-8065,-383,4965,33920,,42,0.0,9407,,,2014年01月01日至2014年03月31日,4066568,4256980,,190412,209137,168292,211859,250.0,209137,1514,,-90971,97307,6336,,,111.0,,,,,2722,17803,4256980,-52974,-236,
2014-07-24,2,2014,-11956.0,-51540,,12678,,-39397,-2479,41,19040.0,,,-23804,68,-2836,,,753.0,0.0,,0.0,128,442,-22824.0,,,-27976,,126245,,-5005,-25532,9796,3921,,66,,23501,,,2014年01月01日至2014年06月30日,4066568,4343527,,276959,376124,301670,419880,753.0,376124,2311,,-99130,154842,55712,,,111.0,,,,,43756,19742,4343527,-141711,-436,
2014-10-27,3,2014,-17786.0,-20096,,13834,,-17221,-3405,61,23988.0,,,-35592,3867,-4495,,,1569.0,359.0,,0.0,400,-1134,-22824.0,,,-59197,600.0,151824,,-11652,-26919,14895,33983,,89,-701022.0,35933,,,2014年01月01日至2014年09月30日,4066568,3892435,,-174133,611684,-153009,739001,1928.0,611684,3406,,-62335,207438,145103,,,111.0,,,,,127317,33518,3892435,-226921,-695,
2015-02-11,4,2014,4275.0,13360,,10550,,358,-7432,6452,16788.0,10000.0,,-44605,21461,-109274,-33765.0,,4245.0,-274.0,,,673,1248,-22824.0,,,-22467,181.0,106754,,-5914,-154309,19992,-35017,,113,-701022.0,44903,,,2014年度,4066568,4061178,,-5390,883612,123487,1038483,3971.0,883612,4554,,63619,86977,150596,881.0,,-49.0,,,,,154871,65735,4061178,-258877,-893,25163.0
2015-04-29,1,2015,,-27038,,10193,,-20484,7804,39,3906,,,-8478,-21269,-727,,,1875,-868,,0,58,1180,,,,-14332,-181,36275,,1577,-669,5350,100427,,23,,8685,,-2987,2015年01月01日至2015年03月31日,4061178,4238849,,177671,126182,198602,226960,1007,126182,395,,-57597,161362,103765,,,0,,,,,100778,4399,4238849,-37043,-277,
2015-07-29,2,2015,,-87728,,13121,-6971.0,-30951,10210,-38,4466.0,,,-15553,-39407,-20809,,-458846.0,17427.0,208.0,,0.0,72,1805,0.0,,,-19098,-181.0,87840,,3237,-479583,10807,100459,12259.0,31,,15986,,38827.0,2015年01月01日至2015年06月30日,4061178,3923450,30965.0,-137728,279472,363627,400711,17635.0,279472,790,,-131755,214167,82412,,,0.0,,,,,121239,6241,3923450,-53070,-472,
