date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產證券化款項,非控制權益變動,預付投資款增加,預付款項（增加）減少
2013-05-09,1,2013,55684.0,0.0,-8938.0,-12398,-11965,,,1232.0,-8.0,141,,-9479.0,0.0,-489.0,0.0,-2101,4454,-535,-2274,,,,19.0,,-70.0,,-47447,135878,-7363,-93273,-671,20.0,-10107,51902,0.0,1395,-3988,2101,,2013年01月01日至2013年03月31日,675364,725977,50613,17387,,54672,54672,,19349,0.0,6583,17387,117369,-135768,-18399,104,,34,,,37285,725977,0,,,,,,17596
2013-08-08,2,2013,111106.0,,-17875.0,-5989,-10589,3321.0,-188.0,,,293,,-998.0,0.0,,,-4104,8559,-478,-20646,-29720.0,,-112.0,3542.0,-3392.0,-863.0,542.0,-119596,108945,-29,-33360,-352,-470.0,-47555,103846,,2798,-8902,4104,,2013年01月01日至2013年06月30日,675364,730260,54896,42229,,105716,111462,,23547,0.0,-2787,42229,105778,-147651,-41873,138,,34,,,69233,730260,-5746,-27.0,,,,,16434
2013-11-07,3,2013,160479.0,,-26813.0,4052,-10329,6475.0,-1525.0,,,267,,-2141.0,0.0,,,-6187,12642,-1086,-34087,-29720.0,,-479.0,3762.0,-3765.0,-1527.0,902.0,-60493,-15521,-86507,45745,321,-470.0,-60703,150097,,4217,-12561,6187,,2013年01月01日至2013年09月30日,675364,661641,-13723,18359,,71168,77775,-17730.0,33738,,-23102,18359,-91971,-9092,-101063,162,,35,,,59416,661641,-6607,-325.0,,,,0.0,17189
2014-03-25,4,2013,203804.0,,-35750.0,-14030,237,819.0,-1698.0,,,0,-353.0,-7428.0,0.0,,,-9328,16626,1433,-48544,-29720.0,,-480.0,,,-1871.0,1053.0,-33908,73356,-38943,10275,321,-5254.0,-77552,190750,,5622,-17016,9328,,2013年01月01日至2013年12月31日,675364,786818,111454,44689,,219373,224477,-17730.0,39049,,-31800,44689,15948,-39964,-24016,110,,134,,,179788,786818,-5104,,,,0.0,,-15191
2014-05-02,1,2014,34186.0,,-8938.0,-14031,-11691,2597.0,,,-75.0,611,,,-2436.0,,,-4205,4176,2790,-15929,,,-842.0,0.0,,,,-32030,38361,-3155,-92779,-40,-962.0,-15992,32795,,1420,-3691,3215,,2014年01月01日至2014年03月31日,786818,770879,-15939,42991,,-6595,-6595,,15876,,3858,42991,22810,-106582,-83772,0,,0,,,-49586,770879,0,,,,,,30033
2014-08-07,2,2014,65431.0,,-44688.0,766,-10701,6011.0,315.0,,,482,,0.0,4792.0,,,-8063,8501,982,-26053,0.0,,-1818.0,0.0,0.0,,,-85128,77495,25735,-95116,-4394,-1972.0,-9536,65108,,2681,-8505,5961,,2014年01月01日至2014年06月30日,786818,846628,59810,93705,,119568,131015,,1507,,-51204,93705,108035,-136156,-28121,7582,,-2796,,,37310,846628,-11447,0.0,,,,,58868
2014-11-05,3,2014,97133.0,,-44688.0,13693,-6437,8563.0,487.0,,,572,,0.0,3929.0,,,-12660,12793,9629,-43665,-21190.0,,-1817.0,2222.0,0.0,-504.0,1909.0,-80810,-47972,-29383,-10447,-1669,-2890.0,-42859,96341,,3519,-12329,10382,,2014年01月01日至2014年09月30日,786818,730330,-56488,73544,,46599,64691,-22163.0,1298233,-1291704.0,-69857,73544,-57989,-47997,-105986,8097,,-2860,,,-8853,730330,-18092,0.0,,,,,50879
2015-03-27,4,2014,127592.0,,-44688.0,-9612,5486,1902.0,179.0,,,846,0.0,0.0,5304.0,,,-16031,17242,46523,-55405,-21190.0,,-1818.0,2239.0,,-2394.0,1945.0,-27175,-219698,-46783,102908,-3499,-3794.0,-42098,127565,,4213,-16995,16031,,2014年度,786818,701448,-85370,53117,,-11749,6406,-22163.0,1745992,-1743277.0,-78046,53117,-277985,103682,-174303,15429,,-5397,,,-46711,701448,-18155,,,,0.0,,25783
2015-05-07,1,2015,,,0.0,-34056,-4397,29.0,,,-8978.0,0,-1230.0,0.0,825.0,,,-3469,4594,-16841,-11524,,-39101.0,-392.0,511.0,-511.0,-431.0,1370.0,4769,-51511,-31938,37545,1004,,-45768,30600,,580,-4546,3469,32728.0,2015年01月01日至2015年03月31日,701448,580607,-120841,-57261,-1066.0,-92664,-92664,,750077,-709869.0,34432,-57261,-118542,50411,-68131,16,,-16,,,-35403,580607,0,439.0,,0.0,,,20468
2015-08-06,2,2015,,,0.0,-14752,-16939,417.0,-6265.0,,,0,-1213.0,-5430.0,0.0,,,-5701,8837,-24643,-23543,,-39101.0,-628.0,509.0,-509.0,-2820.0,3762.0,66637,-61799,-49237,72410,2539,,-56034,60898,,1173,-9101,5701,65457.0,2015年01月01日至2015年06月30日,701448,491381,-210067,-144785,-2431.0,-83267,-76642,,1643129,-1678938.0,-46123,-144785,-127802,130488,2686,5789,,-273,,236.0,68143,491381,-6625,523.0,,,,,12106
2015-11-12,3,2015,,,0.0,-4181,-37064,4628.0,-244.0,,,0,-1238.0,-1912.0,0.0,,,-6822,12672,-2416,-58585,0.0,-100000.0,-628.0,509.0,-509.0,-3280.0,3932.0,-10441,70004,9561,53209,4012,,-102366,91486,,1767,-13439,6822,90508.0,2015年01月01日至2015年09月30日,701448,492155,-209293,-192458,-3869.0,-11973,1536,-26595.0,2508374,-2559640.0,-92538,-192458,76143,27343,103486,51049,,-8518,,236.0,193994,492155,-13509,-77.0,,,,,17871
