date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分備供出售金融資產,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,3788.0,,-8890,-1738,3813,72,,,8328,0,0.0,1245.0,-1041,,732,-636,,,-701,0.0,,,,,1794,4056,977,23090,-357,-149.0,-1337,1730,,758,1518,,,1290,,,2013年01月01日至2013年03月31日,612006,668933,56927,23930,,57170,56121,,362,23930,,625,27778,28403,,-53,32191,668933,-241,-369,,362,0.0,,-4540,,,1129,818
2013-08-13,2,2013,7583.0,416.0,-11380,69,14257,77,,,16320,3,0.0,2658.0,-2630,,963,-905,,,-2804,-6.0,,,,0.0,808,-14718,-950,46515,42,-303.0,-3293,3401,0.0,702,2821,,0.0,2843,,,2013年01月01日至2013年06月30日,612006,677669,65663,31268,,67496,69154,,497,31268,,-7131,37434,30303,0.0,-53,37886,677669,-4501,690,,494,0.0,,-28278,,,1881,5963
2013-11-13,3,2013,-134896.0,416.0,-14636,-2798,15560,86,,,29661,0,-6.0,4155.0,-3512,1.0,620,-963,,,-3457,-3.0,,,,0.0,4637,-4882,-1284,49155,116,-452.0,-4010,5078,-890.0,1368,3944,-1.0,,3795,146147.0,,2013年01月01日至2013年09月30日,612006,553469,-58537,178982,,235246,92031,-288841.0,-290393,178982,-146147.0,-3841,51786,47945,0.0,-163,-86951,553469,-6726,383,,-1552,0.0,,-29390,,,1209,1853
2014-03-26,4,2013,-185996.0,416.0,-9035,-2211,4635,85,,,19065,2,0.0,5652.0,-4550,1.0,886,-1101,,0.0,-3868,-3.0,,,,0.0,-29037,-9782,-1328,58071,-454,-1204.0,78072,6664,132.0,1398,4905,-1.0,,4753,146151.0,,2013年01月01日至2013年12月31日,612006,619698,7692,244275,,219015,74550,-288841.0,-290281,244275,-146151.0,-10756,27027,16271,82625.0,-53465,-169725,619698,-6438,-447,0.0,-1442,0.0,,-5489,,,-13135,5958
2014-05-14,1,2014,1335.0,,-4010,-1978,46,-32,,,-305,12,,842.0,-973,,505,-144,-1555.0,,-757,,,,,,39074,-7123,239,23532,295,-117.0,-2456,1414,-4683.0,170,788,,,1046,20.0,,2014年01月01日至2014年03月31日,619698,690556,70858,19801,,72694,71762,,115,19801,-20.0,-12278,62904,50626,,-317,51961,690556,-134,-569,,103,,,6079,,,922,-1313
2014-08-13,2,2014,-61923.0,0.0,343,-5433,-207,8,,,8656,-2,0.0,842.0,-2365,,-156,-1083,-1555.0,,-1838,0.0,490.0,,,0.0,40258,-9070,385,10766,164,48.0,78629,2752,-48820.0,446,1538,,0.0,2396,620.0,,2014年01月01日至2014年06月30日,619698,721658,101960,86800,,23140,26643,,347,86800,-620.0,-8918,10684,1766,88105.0,-63535,-60157,721658,-6519,-981,,-141,,-5000.0,3635,,,1450,-417
2014-11-12,3,2014,-199425.0,0.0,-164,-2361,4389,-263,,,8548,8,0.0,842.0,-3153,0.0,534,-1210,-1555.0,-5000.0,-2455,0.0,3286.0,-262.0,,,29836,-4320,85,17114,429,67.0,93997,3998,-48009.0,713,2256,0.0,,3381,128583.0,,2014年01月01日至2014年09月30日,619698,604433,-15265,222743,,153676,31199,-265734.0,-263472,222743,-128583.0,1267,6614,7881,104689.0,-76191,-191544,604433,-9487,693,,-770,0.0,,-12512,-472.0,,13832,1210
2015-03-25,4,2014,-199081.0,0.0,3776,-1938,-10304,-198,,,10783,88,,842.0,-4307,0.0,1956,-2831,-1555.0,-5000.0,-3096,0.0,3286.0,-621.0,,,6826,-1826,-128,20722,530,-429.0,91612,5119,-73009.0,1227,2955,0.0,,4487,129554.0,,2014年度,619698,576682,-43016,244024,,126785,2326,-265734.0,-263369,244024,-129554.0,-18609,-24008,-42617,104689.0,-76022,-241698,576682,-9582,659,,-388,,,-686,-595.0,,12962,-9698
2015-05-06,1,2015,,,-7314,-891,6595,102,,,-7153,-96,,0.0,-822,,-255,-146,0.0,,-515,,,-293.0,,,11436,-8740,-5,-1486,-535,,-1161,1260,0.0,715,692,,,861,0.0,1539.0,2015年01月01日至2015年03月31日,576682,584936,8254,19989,2.0,10213,9484,,-543,19989,0.0,-5798,-6246,-12044,,0,-10505,584936,-132,-306,,-154,,,-8607,-500.0,,888,3664
2015-08-12,2,2015,,,-17625,-16946,3403,112,,-10000.0,64,0,,0.0,-2417,,-515,-583,0.0,,-1780,,0.0,-307.0,,,19092,-3846,16,-14514,-43,,81735,2947,-1958.0,1218,1412,,,2429,1200.0,-63577.0,2015年01月01日至2015年06月30日,576682,667913,91231,93294,-62.0,10626,11929,,-615,93294,-1200.0,-11766,-6022,-17788,94792.0,-65211,-81365,667913,-4932,-326,,-308,,0.0,7354,-694.0,,817,6348
