date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅
2013-04-24,1,2013,358219,,,,141788,9983,394908,122658,2454,,,5314,-94698,40460,251010,-97580,,-10194,-3507318,,-385000,9653,-6154,,-7277,,587051,-229929,-2563753,952,-3622267,317157,-124161,647,11856,-14010,74356,,2013年01月01日至2013年03月31日,16652338,17735060,66082,1082722,1696316,,-27604,397133,,,4487737,,4481583,1696316,183558,-1840960,-1657402,,0,,2497,-102,,,385102,-1299183,17735060,-485083
2013-08-08,2,2013,648736.0,0.0,,-242275.0,-2116,80027,270108,-21380,,,4968.0,,-230327,91491,759586,-338775,,-14949,-4488976.0,,-1630000.0,-18781,0.0,-11472.0,,-593.0,1204313,-4175156,3316045,1903.0,-4837772,637941,-381799,-9645,24075,-38206,184070,,2013年01月01日至2013年06月30日,16652338,21983007,141725,5330669,2762665,,3412959,3693701,,,6249643.0,,5995896,2762665,-4287060,4569360,282300,,0.0,,3165,-553.0,,,1630553.0,931036,21983007,-426606
2013-10-24,3,2013,794898.0,,,-244368.0,-395106,104550,-26603,352530,,6361.0,,,-374634,141555,564619,-446714,-2680000.0,-18846,-172686.0,,,-11030,0.0,-10817.0,4719.0,0.0,411352,-3755552,5230999,2854.0,-618097,965403,-264589,-5695,36390,-72936,308010,,2013年01月01日至2013年09月30日,16652338,21251042,41386,4598704,4210941,,6153116,6660579,-3611862.0,,2366113.0,0.0,-1500934,4210941,-4438996,6093736,1654740,,8041.0,2681028.0,-3144,-1028.0,,,,2449638,21251042,-742537
2014-03-20,4,2013,1152921.0,,,-489674.0,231367,89390,-441864,319240,,-318712.0,,10023.0,-510373,181752,845457,-382437,-2680000.0,-5160,1264105.0,,,-11445,0.0,-12507.0,3411.0,0.0,-265367,-535209,2008548,3806.0,571800,1300981,-252089,-3817,49801,-104844,501166,,2013年01月01日至2013年12月31日,16652338,25512189,125315,8859851,6547783,,8365559,8854709,-3611862.0,,1998878.0,0.0,-922965,6547783,-993989,2147994,1154005,1192200.0,9565.0,2681028.0,7895,-1028.0,,,,2306926,25512189,-885472
2014-04-25,1,2014,241934.0,,,,48181,9507,534767,-92346,,-45668.0,,2585.0,-157091,49371,303440,-66753,0.0,-75,10195.0,,,-47978,5947.0,0.0,0.0,397.0,1522226,-4926350,4806460,1186.0,-101904,343894,234858,4973,13312,-15414,164569,,2014年01月01日至2014年03月31日,25512189,30063903,33391,4551714,973733,,3220624,3359129,,2996953.0,0.0,-2963651.0,1129554,973733,-4107358,6250820,2143462,1090305.0,,0.0,4450,0.0,,,,2385396,30063903,-287660
2014-07-31,2,2014,544483.0,,,-251071.0,203468,12507,984173,-75907,,-36140.0,0.0,5139.0,-348338,111046,-253088,-219200,0.0,-17889,-1945532.0,,,-36447,2855.0,0.0,1624.0,0.0,1599558,-5968530,5901521,2373.0,-2217137,680095,186548,3507,27371,-37576,308603,,2014年01月01日至2014年06月30日,25512189,32912511,99287,7400322,1896730,,4714074,5290431,,2996953.0,68349.0,,5156473,1896730,-4591968,7441186,2849218,2339387.0,,0.0,6330,0.0,,,,3393701,32912511,-847384
2014-11-06,3,2014,736252.0,,,-858510.0,239367,14874,96051,-136615,,-435128.0,,7684.0,-529347,185013,175160,-322874,-935000.0,-19140,-1938181.0,,,-36991,3273.0,0.0,,602.0,622379,-3286217,4511987,3560.0,-2714310,1013457,117012,-5123,40882,-78239,471456,,2014年01月01日至2014年09月30日,25512189,27839761,48393,2327572,3092015,,5189406,6005542,-3255191.0,2996953.0,0.0,-2146191.0,-322684,3092015,-2830227,5007502,2177275,2936982.0,0.0,935411.0,7572,-411.0,,,,2913527,27839761,-1209353
2015-03-19,4,2014,1074383.0,,,-1691110.0,438529,425,116943,15403,,-360526.0,0.0,10315.0,-686279,251508,1306348,-942880,-935000.0,-38439,-2142910.0,,,-43724,4928.0,0.0,,680.0,1055402,-3633245,3331598,4747.0,-3450017,1381244,-121470,-3288,53863,-139762,681989,,2014年度,25512189,29080031,118814,3567842,4790394,,6266534,7069821,-3255191.0,2996953.0,0.0,-1785554.0,-555023,4790394,-3194496,4399540,1205044,3174951.0,33647.0,935411.0,-10947,-411.0,0.0,,,2279427,29080031,-1345514
2015-04-29,1,2015,,,,-110291.0,-940531,9492,241713,-23490,,-921001.0,,2683.0,-151820,61364,-312927,-317803,0.0,-2202,,-370950.0,,7538,0.0,-3517.0,,326.0,150205,-3333776,5158217,,-1608387,405670,-38791,-3455,14124,-21659,120382,271301.0,2015年01月01日至2015年03月31日,29080031,30215868,-68327,1135837,452031,1125.0,1781387,1944041,,0.0,1389572.0,0.0,1275764,452031,-4070260,5290969,1220709,0.0,3243.0,0.0,69,0.0,,0.0,,1492010,30215868,-261377
2015-07-30,2,2015,,,,-649498.0,-866792,10562,716617,-207441,,-1377116.0,,5315.0,-299656,126827,-832215,-771444,-300000.0,-2639,,-2283003.0,,13297,0.0,-1544.0,-1650.0,0.0,-215549,-2853341,5066377,,-4432300,799006,44696,4344,28064,-73321,299082,611223.0,2015年01月01日至2015年06月30日,29080031,27869154,-61512,-1210877,554734,2250.0,2729824,2867680,,0.0,1741676.0,,1323814,554734,-2956570,4658293,1701723,233180.0,3285.0,300267.0,149,-267.0,,,,2312946,27869154,-363617
