date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-07,1,2013,,220.0,,,,-7447,0,,230,,,,,,,,,,-2507,1793,,-44476,,-166250.0,,2843,,-153,,1240,,-167,13741,1637,-84,,-44611,10842,,-12889.0,2973,,2507,,,2013年01月01日至2013年03月31日,1184620,2663397,1478777,84254,87657,86115,,,663000.0,,1435731,84254,,3695,-2054,1641,,18,,0.0,8,,,,1861,2663397,-37,0,,936156.0,-4847,-2662
2013-08-12,2,2013,,-5192.0,,,,-8543,-304,,12,,,,-536.0,,,,,0.0,-8605,7650,0.0,-77819,,-166250.0,-60.0,5503,,157,,-4092,0.0,-137,7544,1414,-1025,0.0,-78216,23547,,-36449.0,5694,,8605,,,2013年01月01日至2013年06月30日,1184620,3663205,2478585,172199,128428,150165,,1200000.0,453000.0,,2428373,172199,-7577.0,-13038,-3804,-16842,,42,,,13,0.0,,0.0,-22034,3663205,-26475,2640,7895.0,936156.0,203,-11914
2013-11-11,3,2013,,-186.0,,,,2990,-81,,286,,,,,,,-764.0,,,-15063,14522,0.0,-217503,,-166250.0,-100.0,7650,,535,,-4852,0.0,6878,-12762,1645,2303,0.0,-217776,38357,,-47139.0,8357,,14938,54777.0,,2013年01月01日至2013年09月30日,1184620,3620424,2435804,240201,229079,217679,0.0,1200000.0,447000.0,,2424501,240201,-7577.0,-14613,-7723,-22336,,56,,,22,0.0,,0.0,-22522,3620424,-53393,-1560,9895.0,936156.0,-6738,-12005
2014-03-07,4,2013,,-11393.0,,,,-3436,0,,-107,,,,,,,-993.0,,-2757.0,-19947,21983,0.0,-331218,,-166250.0,-543.0,9439,,122,0.0,-10889,0.0,26774,-12263,-5442,2412,0.0,-332547,53606,-1190000.0,-59643.0,11037,,19870,54777.0,,2013年01月01日至2013年12月31日,1184620,2319848,1135228,333813,-867167,-882241,-154132.0,1200000.0,510000.0,,2334942,333813,-7577.0,3441,-1208102,-1204661,,85,,0.0,22,0.0,,,-1216054,2319848,-53987,-18012,9895.0,936156.0,-4183,-7527
2014-03-26,4,2014,,-47023.0,7593.0,,,6753,5855,-250.0,525,-330.0,,,,,,0.0,,-1399.0,-10948,29915,0.0,-497574,,0.0,-5769.0,8152,,0,-6284.0,-15522,-1317721.0,12200,-15879,-31288,7873,-1623.0,-1819958,73877,1282779.0,-46252.0,15233,,10487,67226.0,,2014年度,2319848,3288863,969015,421098,1708753,1681527,-211932.0,0.0,40000.0,,1080220,421098,-14126.0,52947,1254505,1307452,1244000.0,47,,0.0,13,,-15583.0,,1260429,3288863,-47830,-83647,5894.0,0.0,5138,50971
2014-04-24,1,2014,,17752.0,,,,-9251,-9605,,34,,,-216.0,,,,,,-261.0,-3430,6962,,-98584,,0.0,-5120.0,1370,,-401,,-2000,,-304,-12637,-4210,1578,,-104078,16050,,-10572.0,2752,,3352,,,2014年01月01日至2014年03月31日,2319848,2248101,-71747,72776,75979,73671,,,0.0,-45000.0,-43648,72776,,-4942,-11915,-16857,,27,,,2,,,,895,2248101,-260,6249,,0.0,2538,17216
2014-05-05,1,2015,,,,,-10000.0,-18163,1852,,-116,-187.0,-324.0,0.0,,,,,,-617.0,-4053,12383,0.0,-222679,-1000000.0,,-116.0,3444,,-2450,,-16751,,-19969,-46672,-4880,-1142,,-1225235,35220,,0.0,12149,-5952.0,3954,,63957.0,2015年01月01日至2015年03月31日,3288863,2096010,-1192853,127047,77938,80306,,,,-39000.0,-45556,127047,,-84739,-25959,-110698,,10,,,-5,,,,-46741,2096010,-370,8880,,,-4851,505
2014-07-21,2,2014,,72304.0,,,,-3324,-138,,447,,,-431.0,,,,,,52579.0,-6112,14001,,-170104,,0.0,-5617.0,2886,,-1502,,-338,,-1994,718,9825,-1717,,-177196,33138,-750000.0,-26586.0,5771,,5881,,,2014年01月01日至2014年06月30日,2319848,1438884,-880964,160772,-521618,-501496,,0.0,0.0,-185000.0,-182150,160772,-14126.0,8918,-743490,-734572,,27,,,11,,,,-662268,1438884,-24935,13628,0.0,0.0,-691,13071
2014-11-10,3,2014,,-6218.0,,,,-917,-399,-250.0,424,,,-644.0,,,,,,-782.0,-8079,20630,,-333952,,0.0,-5747.0,5164,,0,-2304.0,-13191,,25593,3764,11970,-1604,,-342212,50876,-448598.0,-40081.0,8767,,8104,67226.0,,2014年01月01日至2014年09月30日,2319848,1644414,-675434,272563,-118332,-144086,,0.0,0.0,-220000.0,-214890,272563,-14126.0,44409,-454840,-410431,,41,,,15,,,,-416649,1644414,-47670,-23438,0.0,0.0,-2374,15545
2015-07-30,2,2015,,,,,-105000.0,-15880,1723,-4609.0,-108,-582.0,-200.0,-467.0,,,0.0,,7.0,-1234.0,-6443,24076,0.0,-404507,-1500000.0,,-116.0,7119,,0,204.0,-34329,,17631,-55621,-31993,-978,,-1909004,74179,,0.0,24296,,6791,53100.0,55528.0,2015年01月01日至2015年06月30日,3288863,1360342,-1928521,309430,211364,228681,,,,-377000.0,-230881,309430,-53100.0,-66464,-69813,-136277,244000.0,17,,,-6,,,,-80749,1360342,-65155,-6240,,,-3187,-12286
