date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加,預付設備款減少
2013-08-13,2,2013,-9974,,18226,,,107,-2667,-5703,,,,,-4406,88,2183,-11911,,,,-132429,,1543,,-138,0,1932,-3602,0,30326,,43117,2664,-144106,7866,,412,-88,4274,,,2013年01月01日至2013年06月30日,246099,368813,-2242,122714,227348,275708,299735,,,,,-10933,-11071,227348,,,45885,36476,82361,,,,-13235,,,0,,72387,368813,-28213,,,,,,-1805,
2013-11-12,3,2013,-3433,,46963,,,120,969,-10582,,,,,-6708,357,1313,-16936,,,,-102106,,1408,153,,,1905,-72402,0,-14894,,-45682,2669,-118571,11771,,660,-357,6686,,,2013年01月01日至2013年09月30日,246099,232386,1409,-13713,340375,202383,243983,0,-93650,,,-5341,-98838,340375,0,,33038,-125997,-92959,,,,,,,0,,-96392,232386,-47929,,,0,-12330,,-1554,
2014-02-10,4,2013,-14798,,62130,,,100,10148,8785,41,,0,,-9174,657,1339,-18081,,,,-253881,,770,0,-432,0,1932,-101011,0,-66806,,94175,2210,-271064,15602,,885,-657,9039,,,2013年01月01日至2013年12月31日,246099,272639,-3305,26540,450034,405361,444908,0,-93650,,0,-15014,-109096,450034,,,5513,4159,9672,,,,,,,0,,-5126,272639,-47929,,,0,-20233,,-1134,
2014-05-07,1,2014,14144,,-11585,,,0,-12500,-6794,-36,-3000,,,-2184,31,278,-10134,,,,0,,-14,,,,1,-161324,,-14863,,-43351,-880,189698,3447,,217,-31,2347,,,2014年01月01日至2014年03月31日,272639,1094962,-4531,822323,97998,-137106,-139191,778240,,,,-5787,769453,97998,2741,,-38984,-212349,-251333,,959,,,,,198872,,-237189,1094962,-231,,,14437,,,0,
2014-08-11,2,2014,16506,,-3968,,,0,-14238,-6340,-15,-3000,,,-4872,31,-1177,-14856,,,-1600,0,,175,,0,,14,-277333,,67872,,-238212,-4159,-7906,6266,,556,-31,5009,,,2014年01月01日至2014年06月30日,272639,438305,1289,165666,243896,-262053,-215991,778240,-332651,,,-5787,436802,243896,2741,,49651,-526044,-476393,,959,,,,,5872,,-459887,438305,-51040,,,10320,0,,1705,
2014-11-07,3,2014,11449,,-9497,,,-50035,-13313,-7748,-36,-3000,1983,,-6798,31,715,-15301,-40000,,-1600,0,,473,,0,-1390,0,-244010,13233,202719,,-512179,-189,70044,9419,,883,-31,7032,,,2014年01月01日至2014年09月30日,272639,546196,-11519,273557,418421,-234004,-154383,778240,-332651,,,-5787,436802,418421,2741,,179873,-764126,-584253,,959,,,0,,165806,,-572804,546196,-86622,,,14236,0,,-1628,
2015-02-09,4,2014,3250,,47283,,,0,-5643,9741,31,-3000,3467,-145353,-7144,31,2634,-18029,-40000,,-1600,0,,490,,0,-1918,0,-123037,-235378,466659,-6103,-1010304,-1375,152244,13192,,1388,-31,7509,,,2014年度,272639,717488,-32356,444849,703854,4879,84356,778240,-332651,,,-5787,285092,703854,2741,,502227,-1124975,-622748,,959,,,,,596912,,-619498,717488,-86955,,-151710,21441,0,,-3349,
2015-05-12,1,2015,,-39000,-28719,,,,5734,-35526,958,0,,,-1183,1438,-3510,-401335,,,-1787,,,4758,,,,1585,69811,,-73273,-1146,261766,-5060,-368551,6642,,18159,-1438,1156,,41087,2015年01月01日至2015年03月31日,717488,1196523,5750,479035,254839,490096,490471,0,,,,0,361000,254839,0,,-96446,290991,194545,400000,0,,,,,,36988,235632,1196523,-93,,,5523,,,-4002,
2015-08-11,2,2015,,-400000,6892,,,,4551,-31700,1508,0,12620,,-3496,4199,-1428,-415603,,,-3296,,-158114,927,615,,,1685,15845,,241318,-910,75217,-1010,-520241,13740,,36543,-1991,3353,,39896,2015年01月01日至2015年06月30日,717488,1269162,98,551674,554008,800729,905615,0,-412082,794422,,0,272614,554008,0,,253359,58352,311711,400000,0,50889,,,-19965,,0,351607,1269162,-106248,-4800,-110341,30,,,,4198
2015-11-06,3,2015,,-400000,27782,,,0,17461,-31932,1508,0,12620,,-6485,7302,8562,-421816,0,,-3296,,-157033,3765,615,,-5168,,-3284,8976,439090,-1182,-125729,-948,-660026,20870,,54756,-1995,6275,7249,38877,2015年01月01日至2015年09月30日,717488,1470571,-12159,753083,944645,1131933,1306288,0,-412082,794422,,0,272614,944645,0,-7249,484659,-161893,322766,400000,0,50889,,,-19965,,0,361643,1470571,-185884,-3482,-110341,-11096,,-137541,0,4963
