date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-07,1,2013,523904.0,-224328,-36521,,23428,26403,-25959,,174.0,,5960,683,,,-3825,26517,40684,-791740,0,-160099.0,,,7459,-3560,-3,2573,-282953,75482,,,-2059,45794,95887,-1449715,499674,0.0,5045,-26911,3825,,2013年01月01日至2013年03月31日,1603038,1815168,-5002,212130,481627,881275,925207,,1044689,-1124374,739886,481627,63305,-143629,-80324,1040000,10306,812,,,,443580,1815168,-20846,0.0,0.0,0.0,,-516712
2013-08-09,2,2013,1067262.0,-311156,84206,,19769,43353,-16747,,347.0,-8715.0,5960,661,,,-6839,54525,112837,-1129754,-4415,-269667.0,,8800.0,7463,-4736,-1912,2608,-495405,67477,,-99495.0,92261,-293163,-1899,-2152123,1005836,0.0,10511,-54554,6839,,2013年01月01日至2013年06月30日,1603038,1622712,-20939,19674,945165,1332128,1512626,,1833168,-1738412,726832,945165,287297,-787098,-499801,1040000,78447,-1749,,106933.0,,567461,1622712,-132783,0.0,0.0,16456.0,,-931608
2013-11-07,3,2013,1715057.0,-514235,50059,,-6567,20145,-39679,,519.0,-8633.0,5960,3775,,,-9905,82403,45161,-1467472,-5703,-414752.0,,8800.0,21248,-4767,-1916,3908,-499069,-60481,0.0,-99495.0,116088,-105642,-59772,-2666818,1520303,0.0,16380,-82751,9905,,2013年01月01日至2013年09月30日,1603038,1937293,-31212,334255,1219621,2031667,2350279,-497449.0,3752456,-2773513,924245,1219621,125811,-710210,-584399,1040000,100796,-2585,,274999.0,,1130658,1937293,-245766,0.0,0.0,127098.0,,-1154005
2014-03-24,4,2013,2319029.0,-603750,301213,,-20128,104987,-100295,-296888.0,-268.0,-25573.0,5960,4867,-1223.0,,-12337,111383,66203,-1925667,-7782,-425955.0,,8800.0,26988,-8747,-1913,2962,-611393,-131923,200830.0,-100504.0,143440,-363828,-12314,-3741149,2044273,0.0,21977,-106896,12337,,2013年01月01日至2013年12月31日,1603038,2131332,-39287,528294,1676719,2690353,3008351,-497449.0,5117075,-4061556,1512887,1676719,120829,-1108226,-987397,1440000,115818,895,,385749.0,,1331632,2131332,-223439,0.0,0.0,178458.0,,-1863525
2014-05-08,1,2014,550208.0,-166250,-70104,-17697.0,36498,-16604,-36796,,0.0,-15361.0,25573,1208,,24613.0,-2916,34676,61283,-251207,-127,-109083.0,,3511.0,0,-3995,-100250,101618,-3371,139291,,,-162346,-104503,96153,-1093825,544615,,5283,-35136,2916,,2014年01月01日至2014年03月31日,2131332,2039225,-26895,-92107,538021,924256,966447,,1881624,-1695200,16179,538021,-109763,-12019,-121782,0,59624,-4126,,127263.0,,428426,2039225,-9971,,,,-5148.0,-938791
2014-08-07,2,2014,1119678.0,-879188,-57109,-17697.0,2175,-19459,-70273,,0.0,-9836.0,25728,2479,,24613.0,-5517,66571,8782,-344312,-435,-157607.0,,3511.0,3318,-8033,-100250,101612,9686,167591,,0.0,-40099,-199846,103309,-1714057,1049393,,10231,-67052,5517,,2014年01月01日至2014年06月30日,2131332,1868753,11923,-262579,1000627,1693899,2016280,,3580163,-3158774,-251203,1000627,50924,-154949,-104025,211311,88826,-10313,,136332.0,,1015653,1868753,-260846,,,0.0,-8600.0,-1461031
2014-11-13,3,2014,1614707.0,-985438,-41937,,14123,-16719,-90801,,0.0,-31490.0,25650,3826,,24613.0,-8652,97196,31558,-464839,-954,-201264.0,,3511.0,9102,-8132,-100250,103109,-30603,65341,,0.0,-28847,-44781,95964,-2406233,1532456,,15865,-98799,8652,,2014年01月01日至2014年09月30日,2131332,1897484,-13573,-233848,1486770,2515171,3023217,-663266.0,6428001,-5474021,-374344,1486770,-22162,-56098,-78260,319410,93310,-15022,,259002.0,,1536447,1897484,-417899,,,0.0,-900.0,-2113120
2015-03-26,4,2014,2130987.0,-1764833,113975,,11723,36486,-67900,-303056.0,832.0,-97529.0,36772,4882,0.0,24613.0,-12405,138747,72399,-702419,-2251,-514296.0,,-6009.0,10524,-10096,-107948,109680,-126388,124192,0.0,-199821.0,3648,7823,114695,-3435731,2032979,,21046,-133222,12405,,2014年度,2131332,2529063,-52202,397731,2089633,3588212,4136650,-663266.0,9049510,-9753492,172851,2089633,-24755,-59215,-83970,3504325,87447,-11438,22.0,403686.0,,2047017,2529063,-427621,,,15365.0,,-2673486
2015-05-07,1,2015,,-650546,-162401,0.0,4161,-1790,-7656,,,-38638.0,52904,1336,,0.0,-2618,39819,-16469,-165544,-94,,0.0,0.0,12118,-5559,0,1531,-75330,55870,,,-246058,54462,-9534,-637131,510820,,4625,-39610,2618,575036.0,2015年01月01日至2015年03月31日,2529063,2250360,16488,-278703,339187,487733,525947,,3568944,-3085078,-112836,339187,-354379,-33897,-388276,47285,13846,-2134,,,143816.0,186760,2250360,-1222,,,6700.0,0.0,-644952
2015-08-10,2,2015,,-699858,-136394,0.0,12389,-6506,-8139,,,-40242.0,114467,2646,,0.0,-6647,80045,-27935,-343152,-2566,,-157709.0,0.0,15584,-5561,-3,3246,-244269,67084,,,-19424,-44390,21059,-1508500,1032693,,9574,-79441,6647,1146442.0,2015年01月01日至2015年06月30日,2529063,2253811,2936,-275252,757750,1210314,1545602,,6186356,-6048316,50869,757750,-95240,-263350,-358590,602664,19301,-3166,,,270610.0,787852,2253811,-262494,4550.0,,23811.0,0.0,-1372452
