date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,金融資產減損損失,長期應收租賃款減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,83102.0,,,-149080,-28691,,,-16934,,-105,81782,-241470.0,,,,,-4183,17847,52179,,-259909,-47983,,,,-124,10700,0.0,,9837.0,,-133470,,,-83656,245939,-29963.0,,5773,-3281,50769,-30623,-428.0,-426538,79858,,,-35970,14176,-16839,5790,1500.0,,2013年01月01日至2013年03月31日,1061274,1599433,3075.0,538159,233416,,362936,400171,,,,221457,0,549582,233416,,-1500.0,135410,-51757,83653,520765,79702,2023,0.0,-1093,,,-73,,,166755,,1599433,-27686,-1607.0,,,29792,-13597,-1301,3173.0,,1594.0,-3422
2013-08-06,2,2013,180101.0,,,-678310,56383,-15883.0,,-25574,,4850,-5193,-293399.0,,,-8360.0,,-10370,36575,57760,,-428019,-68925,,,0.0,-126,18027,-2870.0,,33300.0,,-136112,0.0,,143241,261768,-199804.0,,5068,-575321,79924,12217,-850.0,-621440,163049,,,-59279,26802,-33498,10436,5176.0,,2013年01月01日至2013年06月30日,1061274,2005685,2080.0,944411,449992,,211363,335876,,,0.0,1133091,-314917,1296728,449992,,-5176.0,355842,-650059,-294217,1065465,19368,53859,10847.0,-3058,,,-4988,,,-114116,,2005685,-106627,-2078.0,,,60015,309956,20106,-1589.0,,0.0,-114618
2013-11-08,3,2013,288163,,-206586,-232410,144774,,-15883,-76131,,1469,24481,-244302,,,0,,-15463,54558,28515,,-632839,-89006,,,0,-1086,12837,-2870,,36388,,-153064,0,,47123,-61930,-229751,,4326,-628002,107756,15727,-1271,-890225,256194,,,-81517,40520,-52107,16218,16670,,2013年01月01日至2013年09月30日,1061274,1291439,0,230165,685766,,113566,299023,,,-216742,2018050,-868609,978309,685766,,-7190,34327,-709233,-674906,423154,19914,53966,17478,-1845,,,-5094,10000,-2510,-386743,3625,1291439,-166238,-1405,-19600,,90675,309956,55053,0,-146143,-5270,-100164
2014-03-20,4,2013,474966.0,,-206586.0,-235410,59157,,-15883.0,-24266,,6097,17189,-254569.0,,-4065.0,,-26201.0,-20105,71394,7739,,-762865,-101499,,-13657.0,0.0,-1615,17270,-397.0,,25869.0,,-201194,-425547.0,,-6518,28283,-229751.0,,71,-817612,125790,28596,-1754.0,-1278939,360278,,,-109313,55318,-68912,20096,27537.0,,2013年01月01日至2013年12月31日,1061274,1059987,-428.0,-1287,684245,,52297,256161,348960.0,,-216742.0,2408900,-1480687,1217616,684245,2121.0,-7190.0,-31553,-871497,-903050,425504,27141,68956,17478.0,862,,4359.0,-7996,10000.0,-2510.0,-428084,3625.0,1059987,-182585,-1404.0,-19600.0,,121777,429006,158845,0.0,,,-116889
2014-05-09,1,2014,84665.0,,,-305700,-16580,,,-11333,,-4280,-4027,58923.0,,3939.0,,-969.0,-2767,18021,31435,,-57826,-20080,,,,-3275,18196,,,-5028.0,,64702,-282954.0,,-187039,-77103,249986.0,,41,256868,33025,43026,-336.0,-188684,104855,,,-31982,14492,-17587,3455,1550.0,,2014年01月01日至2014年03月31日,1059987,1629160,0.0,569173,118626,,295153,312608,,,,1136291,-999308,431269,118626,,-1550.0,-272944,382261,109317,350000,1209,84857,,-437,,,-11755,,-25379.0,193982,,1629160,-4873,0.0,,,31551,0,3940,0.0,,,12353
2014-08-06,2,2014,349659.0,-12984.0,,-307870,-55117,0.0,,-376,-60841.0,-3406,-74621,58939.0,,,1259.0,14688.0,-6479,38708,-10622,,-198141,-45180,,-180.0,,-33836,30148,0.0,,15595.0,,51700,-233225.0,,-21222,4502,149965.0,,-25,-342024,38800,49013,-625.0,-295096,278302,,,-67118,29957,-36749,6751,1550.0,,2014年01月01日至2014年06月30日,1059987,1226336,,166349,130986,,32765,180778,,,,1842364,-1745796,439302,143970,,-1550.0,-22359,-277508,-299867,500935,6409,130366,0.0,12629,,,-26133,,-25379.0,49792,,1226336,-119565,0.0,,,63559,-116,71886,,,,53534
2014-11-06,3,2014,673575,-12238,0,-510280,27704,,0,-24265,-59057,-3678,-73296,6829,,,-675,27550,-8945,59477,61127,-1814,-445313,-55218,-5000,-240,,-35081,155420,,0,18930,,129,-233225,,135622,-46704,270000,,-70,-618152,36832,16865,-869,-837342,446963,,,-104283,48281,-57725,9168,13790,,2014年01月01日至2014年09月30日,1059987,1167668,,107681,114758,,43852,259167,,,-246186,4307156,-3841735,840044,126996,,-13790,132721,-661887,-529166,500640,3376,147584,0,10834,,231994,-40779,0,-25379,144409,0,1167668,-180548,1871,0,,-180492,130509,116355,,0,,20716
2015-03-25,4,2014,897331.0,-12326.0,0.0,-830620,73235,,0.0,-6838,,-2651,-91032,-122074.0,,-4664.0,,21140.0,-15718,83003,18044,,-664463,-77389,-5000.0,-240.0,,-38537,178126,,0.0,16767.0,,-21588,-292087.0,-133850.0,163955,-2665,69880.0,,99,-481946,43551,-9139,-1707.0,-1141938,618877,-3246.0,,-150559,63180,-80292,17066,35962.0,,2014年度,1059987,1189846,15598.0,129859,289298,,637773,859020,0.0,,-246186.0,1543038,-2062589,615980,301624,,-13790.0,239383,-566992,-327609,1562240,7025,183882,5408.0,10399,,442956.0,-41301,0.0,-25379.0,569722,0.0,1189846,-193983,2838.0,0.0,,-150806,271351,150917,,,,12363
2015-05-13,1,2015,,-6.0,,-3000,-66283,,,10800,,-3204,423,,164876.0,,2806.0,-7380.0,-5505,23431,34565,,-251450,-60793,,,,-190,5097,,,,64408.0,-81427,0.0,-27184.0,-239259,-99573,0.0,,3041,268617,216,-18964,,-5170,160729,,,-29245,16376,-24199,5214,0.0,152460.0,2015年01月01日至2015年03月31日,1189846,1679601,-4751.0,489755,262066,-217.0,184411,204851,,,,1004708,-1328631,275949,262072,,0.0,-389340,179665,-209675,0,1488,43568,,492,,254190.0,-6545,,-7.0,-57215,,1679601,-1455,-333.0,,,30117,375866,101,,,,16155
2015-08-05,2,2015,,-17.0,,-368500,83080,,,-8222,0.0,-2301,-17658,,162271.0,,-27542.0,-6937.0,-11558,44315,10838,,-377620,-193471,-1757.0,0.0,,-986,31682,,3500.0,,44800.0,-18947,0.0,-27184.0,-253365,-127665,9.0,,-259,696116,-26243,27484,,639,356307,,,-54496,32243,-44568,11275,25384.0,-339347.0,2015年01月01日至2015年06月30日,1189846,1785674,-1513.0,595828,999471,-446.0,998173,1019800,,,,1294325,-1926029,-413822,999488,,-1470.0,-292854,652530,359676,0,9032,84287,,938,240957.0,254190.0,-6545,,-898626.0,20329,,1785674,-13718,,,,60668,355867,176313,,,,8102
2015-11-05,3,2015,,-16.0,,-2441254,193280,,,-44550,0.0,-2924,-7585,,189938.0,-89031.0,,-9011.0,-16626,63939,40985,0.0,-654043,-312349,-1757.0,0.0,,-1130,58333,3500.0,,,40941.0,-127775,0.0,-190702.0,-25352,-135371,0.0,-5.0,-259,314927,-24435,41594,,-315587,467443,,,-110942,41239,-62026,16483,112492.0,-133569.0,2015年01月01日至2015年09月30日,1189846,1883387,,693541,1049537,-680.0,1133830,1108642,,,-269422.0,3284713,-3068415,-165687,1049553,,-16057.0,40498,152176,192674,1905742,10591,166541,2094.0,1876,240957.0,254190.0,-8343,,-898619.0,59105,,1883387,-41761,-467.0,,84797.0,91661,355966,208869,,,,11804
2016-02-24,4,2015,,-12.0,,-3593826,148440,,,51663,,-3720,-5811,80066.0,,-21361.0,,-8897.0,-21706,84035,72481,,-830288,-336774,-2000.0,0.0,,-3846,46298,3500.0,,,44745.0,-123314,0.0,-534578.0,-5197,-116543,99997.0,,-259,191087,-26996,25426,,-495037,582382,0.0,-11645.0,-168169,49659,-83285,21536,157267.0,-71369.0,2015年度,1189846,1414141,-5714.0,224295,1318593,2877.0,1414473,1400558,,,-269422.0,2128600,-2526700,-767622,1318605,,-16057.0,52924,100410,153334,3376461,10575,197694,2094.0,1913,240957.0,254190.0,-10127,,-898619.0,81965,,1414141,-81603,-1329.0,,84797.0,123101,294156,332103,-121938.0,,,27326
