date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-02,1,2013,,24161.0,,-1749,24041.0,-2929,,-16797.0,-1097,,,,-313.0,,-2208,1590,19816,-20911,,,-43.0,,,-41320,10978,6058.0,12196,-700,-1557.0,927.0,-29303,25119,-2370.0,,2996,-1588,2208,,,2013年01月01日至2013年03月31日,844004,839335,-4669,67422,,65644,75969,,,-59077.0,-60826,67422,,25207,-40821,-15614,,6488,,-98,,,28.0,8547,839335,-10945,-3223,,,,,-3044.0,-14567,
2013-08-12,2,2013,,55391.0,,-3506,35807.0,-559,,-17199.0,-16820,,,,-2553.0,975.0,-5303,2786,33084,-59985,-5998.0,,2804.0,,,-35360,70530,624.0,-69513,632,-1636.0,1886.0,-74674,51768,-4538.0,2571.0,5621,-1501,5303,,,2013年01月01日至2013年06月30日,844004,975988,131984,150773,,148552,190899,,,28528.0,25022,150773,,91648,-106913,-15265,,13810,0.0,879,,,44.0,40126,975988,-46149,-6754,0.0,,,,20881.0,-19948,
2013-11-11,3,2013,1130.0,85009.0,,-5269,-6236.0,-8878,,1596.0,-5920,,0.0,,-5261.0,,-7069,4225,40400,-90985,-5997.0,,3304.0,,,13733,44401,-110.0,-153194,206,-6599.0,2824.0,-118532,79413,-28650.0,2752.0,8287,-2343,7069,,,2013年01月01日至2013年09月30日,844004,926454,82450,253013,,152435,203995,-215000.0,228416.0,,8147,253013,,42475,-176502,-134027,0.0,17193,24977.0,-1256,0.0,,44.0,-49018,926454,-56286,-5821,,,,,12800.0,-58459,
2014-03-28,4,2013,1342.0,101372.0,,-7036,,-1654,,41160.0,-4623,,0.0,14047.0,,-4521.0,-11501,6822,38904,-134450,,-3750.0,,1036.0,,14069,108881,,-161640,682,,3760.0,-175712,107848,,2979.0,130,-4352,11501,,,2013年01月01日至2013年12月31日,844004,1058583,214579,349988,,385813,466042,-215000.0,187610.0,,-34426,349988,,153801,-139119,14682,0.0,18287,0.0,2732,,-5997.0,,116054,1058583,-87378,-4459,,,,,,-50838,
2014-05-13,1,2014,338.0,27595.0,,-1774,,4382,,-552.0,8460,,,-630.0,,,-5448,1981,-1821,-15455,,,,-1264.0,,-34839,-25052,,31025,-519,,-323.0,-136267,29602,0.0,196.0,100,-1413,5448,,,2014年01月01日至2014年03月31日,1058583,991890,-66693,104095,,100945,113642,,,-27776.0,-29550,104095,,-25927,7879,-18048,,5246,,182,,,10.0,9547,991890,-16732,634,,,,,,-124794,
2014-08-12,2,2014,457.0,56318.0,,-3558,15644.0,10991,-232.0,,0,,,,,,-9633,3709,-20373,-42565,0.0,,,-1446.0,,-34381,27545,,-77839,-397,,123.0,-185549,59640,-860.0,438.0,198,-2621,9633,,,2014年01月01日至2014年06月30日,1058583,963414,-95169,227342,,192794,233226,,-78483.0,,-82041,227342,,43312,-93746,-50434,,6432,,903,,,,5884,963414,-47444,606,,,,,,-147738,8740.0
2014-11-11,3,2014,456.0,79750.0,,-5345,,4949,,3342.0,2977,,,,-5108.0,,-16823,5289,4095,-82356,0.0,,,,,-54987,52630,,-263911,-549,,510.0,-219848,90633,5829.0,668.0,295,-3753,16823,,,2014年01月01日至2014年09月30日,1058583,975893,-82690,383870,,152194,214410,-135344.0,121558.0,,-19131,383870,,56482,-305692,-249210,,16509,0.0,999,,,,-169460,975893,-75286,-1767,,,,,,-148893,
2015-03-19,4,2014,478.0,109632.0,,-7133,,9945,,13195.0,-1564,,,,,-4587.0,-20457,7369,32149,-150026,0.0,0.0,,-5746.0,,-44924,35833,,-282485,700,,1644.0,-261971,125285,3072.0,850.0,389,-5455,20457,,,2014年度,1058583,1140417,81834,508495,,271825,353543,-135344.0,182308.0,,39831,508495,,50672,-315256,-264584,,25411,,1129,,,,-154952,1140417,-96720,-824,,,,,,-131610,
2015-05-07,1,2015,,,,-1809,,1477,,-6968.0,-74533,0.0,,,,-1713.0,-4227,2016,-9607,-25253,,,,-3283.0,,-10994,-31308,,72374,333,,,-29081,33824,5029.0,133.0,94,-1792,4227,,30188.0,2015年01月01日至2015年03月31日,1140417,1182010,41593,85833,-673.0,52121,70758,,29969.0,0.0,28160,85833,,-38949,-6314,-45263,,7123,,243,,,,-15075,1182010,-21072,-182,,,,,,-7668,
2015-08-06,2,2015,1845.0,,-600.0,-3627,,-522,0.0,8480.0,-71105,,,978.0,,,-11585,4129,-42393,-50309,,,,-3240.0,,5202,-60286,,131413,-836,,,-53684,67535,,226.0,188,-3785,11585,,59818.0,2015年01月01日至2015年06月30日,1140417,1187874,47457,175205,738.0,218186,249085,,,-70425.0,-74652,175205,,-51068,65130,14062,,12222,,238,-4578.0,,,73880,1187874,-38699,1820,,,,,,-12357,
2015-11-05,3,2015,2256,,-600,-5454,,-155,,-14866,-4081,,,-6839,,,-17894,6056,-1998,-120576,,,,-12754,,-1690,-122347,,310904,-1617,,,-132201,101602,,578,281,-5712,17894,2390,95364,2015年01月01日至2015年09月30日,1140417,1510664,370247,149953,1108,366128,405734,-229714,938629,-563471,138318,149953,-2390,-136105,296522,160417,,21812,,722,-2782,,,255781,1510664,-54178,6935,,-1072,,,,-20683,
2016-03-24,4,2015,4481.0,,-600.0,-7300,-51765.0,-1267,,,10218,,,,,,-26050,8426,-7029,-187959,,,,,-6500.0,-33048,-92690,,342618,-3460,,,-186975,136266,12911.0,2083.0,375,-8082,26050,2390.0,125494.0,2015年度,1140417,1259664,119247,269355,1515.0,464637,579881,-229714.0,571118.0,-483818.0,-151386,269355,-2390.0,-142940,327972,185032,,25904,,960,768.0,,,310526,1259664,-135602,575,,-1072.0,,-13230.0,,-5190,
2016-05-05,1,2016,845.0,,,-1854,-21123.0,-3740,,,4672,,,,,-993.0,-4406,1915,-2017,-42336,,,,0.0,211.0,26625,-5004,,35047,2129,,,-63274,33864,-11762.0,0.0,94,-1915,4406,,40518.0,2016年01月01日至2016年03月31日,1259664,1273728,14064,39848,405.0,81209,107615,,120000.0,-120000.0,-1854,39848,,-25722,52971,27249,,7983,,7864,,,,67767,1273728,-28897,1335,,,-26657.0,,,-2475,
2016-08-04,2,2016,1219.0,,0.0,-3726,1239.0,3722,,,-9872,,,,,-4581.0,-7224,3909,-19970,-96281,,,,0.0,138.0,29437,1045,,32839,1769,,,-128502,66394,-7325.0,0.0,188,-3909,7224,60.0,70213.0,2016年01月01日至2016年06月30日,1259664,1200599,-59065,133340,807.0,179294,257214,,170000.0,-256161.0,-89887,133340,-60.0,3091,50570,53661,,9689,,8016,,,,123874,1200599,-81295,2352,,,-36797.0,,,-5251,
2016-11-03,3,2016,1294,,0,-5613,20511,-1525,,,-13181,,,,,-4504,-9138,5671,-46649,-160661,,,,0,615,4776,74336,,-63221,2178,,,-189160,96368,-3253,0,281,-5671,9138,2283,97244,2016年01月01日至2016年09月30日,1259664,1096891,-162773,234860,1213,247264,353938,-23481,400000,-545134,-174228,234860,-2283,96060,-74226,21834,,14138,3228,8564,,,,119078,1096891,-112424,756,235,0,-41430,0,,-5050,
