date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-08,1,2013,229444.0,,-919173.0,-1931298,-133812,,-11665,,-16954,-12248.0,0.0,0.0,,,2452.0,-3635,12265,32609,-7225,0.0,0.0,,-2000,,,4614,3675.0,,-44952.0,93158,-199361,-61194,,,,162688,-26307,,-487.0,847488,214819,,1585.0,3874,-18020,3635,,,2013年01月01日至2013年03月31日,2861665,2046012,-2904.0,-815653,-189899,,-83211,-68314,,2034257,-800000,-1612539,-189899,-976.0,,-411808,303949,-107859,0,685.0,919051.0,33,-10039.0,,,,121585,-1483.0,2046012,-512,8839.0,,326.0,,,97997.0,-18071.0,
2013-08-05,2,2013,469062.0,919051.0,-919173.0,-2072000,-144648,3095.0,-49132,-59.0,-4361,,0.0,,-56202.0,107336.0,,-11206,30107,53392,-173812,,0.0,,-2332,-8000.0,,4615,4053.0,,,-149816,-308826,213970,,,2079.0,218893,-8999,624.0,-982.0,798300,431775,0.0,1585.0,7696,-20704,21606,,,2013年01月01日至2013年06月30日,2861665,2042530,4772.0,-819135,-390303,,66961,69254,,2419744,-1170412,-1737788,-390303,-976.0,,-239673,230168,-9505,0,12259.0,,33,-5869.0,,0.0,,459557,-1483.0,2042530,-3195,8013.0,0.0,-4170.0,,,222827.0,,
2013-10-30,3,2013,684879,,-919173,-2085378,-3946,2854,-121969,-75,20602,,0,,-37810,183141,,-11585,39924,24925,-303924,,-8340,0,-2428,-96770,,2401,0,-3673,,-91721,-66778,304710,199283,,19772,-375293,-219700,-9864,-1460,666128,641827,0,4403,12776,-32468,23465,679,,2013年01月01日至2013年09月30日,2861665,1856162,-4113,-1005503,-521749,,-100913,-59352,,4107226,-2893928,-1595643,-521749,-976,-679,275754,-498236,-222482,0,13208,919051,206,-5869,,0,,462397,-1483,1856162,-33237,8047,0,-4170,,,324556,,
2014-03-06,4,2013,920167,,-919173,-2224000,252417,11568,-35481,-12,10052,-68,0,,0,146806,,-8095,46352,72162,-316450,,-8340,0,-6974,-80060,,-4003,0,-15046,,-19352,157102,351192,200000,-100272,73580,-760504,-204707,-93239,-1937,658898,865242,0,6825,15236,-44620,20205,679,,2013年01月01日至2013年12月31日,2861665,2347006,-1846,-514659,-557978,,721227,777549,,5334677,-4243132,-1966946,-557978,0,-679,849804,-434444,415360,0,315,923580,60,-5890,21,0,,1335527,-1483,2347006,-32586,8448,-4170,0,,0,,,678919
2014-04-29,1,2014,231975.0,,-76741.0,-13500,-252295,-231.0,-10781,-3758.0,1605,1.0,,,-88038.0,,,-3509,11945,31849,-24043,,,,0,-153561.0,,-293,307.0,,,3486,227962,405540,,-99728.0,6431.0,-357973,18650,-179284.0,-584.0,-265642,221092,,1300.0,3716,-8963,2876,,,2014年01月01日至2014年03月31日,2347006,3323215,,976209,77950,,330796,341898,,1657957,-989089,879206,77950,0.0,,388428,-356455,31973,400000,0.0,0.0,0,0.0,,,,263948,730.0,3323215,-5015,-3006.0,,0.0,,,,,173204.0
2014-08-11,2,2014,465482.0,,-76741.0,-168700,-280940,-7424.0,75191,-7949.0,-11596,-6.0,,,-93280.0,0.0,,-11291,27571,-18790,-38910,,,,-2644,0.0,,-280,1084.0,,,214918,-42806,-168509,,-99728.0,-26369.0,80755,293177,65394.0,-1164.0,-104135,440361,,2000.0,7840,-23518,8585,,,2014年01月01日至2014年06月30日,2347006,3319749,1761.0,972743,51597,,844659,871466,,2843221,-2648127,251009,51597,0.0,,-538808,893195,354387,400000,205.0,0.0,-205,0.0,,30494.0,,819869,730.0,3319749,-11874,-3005.0,,0.0,,,171715.0,,
2014-11-06,3,2014,718465.0,,-84941.0,-198900,22536,-10423.0,50375,-8035.0,-20831,-54.0,,,-193610.0,0.0,,-14721,37143,20056,-53135,,0.0,,-4544,0.0,,5837,1434.0,0.0,,203633,65881,-224229,0.0,-99728.0,-32384.0,355142,253270,86563.0,-1749.0,-220781,659118,,2000.0,11969,-36323,13641,0.0,,2014年01月01日至2014年09月30日,2347006,3439269,9297.0,1092263,125482,,1517157,1553800,,4361558,-4603592,-224169,125482,0.0,0.0,-201199,911052,709853,400000,205.0,0.0,53,0.0,,30303.0,,1428318,799.0,3439269,-13961,-3005.0,0.0,,,9975.0,-29842.0,,
2015-03-20,4,2014,955414.0,,-84941.0,-448600,33614,-12171.0,65080,-4686.0,-744,-101.0,,,-198567.0,0.0,,-19117,44354,68530,-101893,,0.0,,-6324,0.0,,8934,,-4975.0,,93503,-188233,-461183,0.0,-99728.0,-50167.0,1003133,200510,87162.0,-1885.0,-282560,880056,,2000.0,16125,-44424,19176,0.0,,2014年度,2347006,2965908,7234.0,618902,95502,,1754973,1795310,,4719741,-5498038,-922041,95502,,0.0,-680769,1425163,744394,494500,206.0,0.0,59,0.0,0.0,24018.0,,1699808,799.0,2965908,-15089,-3005.0,0.0,,17975.0,,-19438.0,,
2015-04-28,1,2015,,,0.0,-320200,-137371,1217.0,-12843,3867.0,379,59.0,,,-2642.0,,,-3506,6732,-16572,-66867,,,,-2100,,-156454.0,-493,5071.0,,,-39302,100533,24067,0.0,,23504.0,46976,-192798,6696.0,,-228063,222766,,0.0,3658,-6401,3490,,229214.0,2015年01月01日至2015年03月31日,2965908,2935475,,-30433,-43031,-405.0,-5669,4079,,670000,-435000,219871,-43031,,,11924,-194028,-182104,300000,,,57,,,,,47110,0.0,2935475,-6837,0.0,,,,,-6683.0,,
2015-08-04,2,2015,,,0,-577900,-105775,-78,15191,34,4591,165,,,0,11104,,-7248,13816,-27347,-114670,,,,-2400,,,-8681,264,,,151916,127328,12045,,0,-9836,-316411,-75522,6701,,-97792,446609,,0,7120,-13268,7063,,451673,2015年01月01日至2015年06月30日,2965908,3522210,0,556302,4190,-808,247172,259263,,1185000,-925000,434269,4190,,,27467,-224067,-196600,751905,0,,57,,,,8174,255073,0,3522210,-5886,0,,,,,-6141,,
