date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-14,1,2013,2269.0,0.0,-12626,357,,45.0,,,,,-1507,0,111720,,,-33102,-4516,,126985,,3776,,,1507,,2013年01月01日至2013年03月31日,2765719,3197929,432210,282219,320490,359086,,,,0,282219,-17142,91740,74598,,,76867,,3197929,-40103,,,-2545
2013-08-07,2,2013,4074.0,0.0,-32979,357,,92.0,,,,,-3568,0,170577,,,-29491,-21337,,-12100,,7642,,0.0,3568,,2013年01月01日至2013年06月30日,2765719,3422373,656654,649500,486077,556397,,,,0,649500,-54316,-42861,-97177,,,-93103,,3422373,-73888,,,-1719
2013-11-11,3,2013,5917.0,0.0,-7790,-236,,,,,139.0,-199013.0,-5920,0,121724,-22728.0,,-35701,-167891,,-23821,-221741.0,11698,,0.0,5920,,2013年01月01日至2013年09月30日,2765719,2403035,-362684,1027977,257498,461555,,-520165.0,,-520165,1027977,-175681,-396658,-572339,,,-566422,,2403035,-209977,,,-336900
2014-03-25,4,2013,8976.0,0.0,-18699,-1915,,,,,185.0,-199345.0,-8490,0,198183,-26243.0,,-27354,38807,,-145738,-223987.0,16117,,0.0,8490,,2013年01月01日至2013年12月31日,2765719,3077702,311983,1425567,857952,1131637,0.0,-520165.0,,-520165,1425567,20108,-323014,-302906,1601.0,1164.0,-293930,,3077702,-282175,,,-148007
2014-05-05,1,2014,5138.0,,29228,2272,,,-5000.0,,48.0,0.0,-2714,1697,-19122,0.0,,-9427,-7341,,137341,0.0,4547,,,2714,,2014年01月01日至2014年03月31日,3077702,4725342,1647640,362955,471762,591847,0.0,0.0,1200000.0,1195000,362955,21887,201867,223754,0.0,0.0,228892,,4725342,-122799,1560.0,,71681
2014-08-12,2,2014,14372.0,,27897,2272,,,-5000.0,,94.0,0.0,-6126,6804,-116138,-488126.0,,55478,-7661,,-81537,-488126.0,8560,,,6126,,2014年01月01日至2014年06月30日,3077702,4322083,1244381,764473,653645,873256,0.0,0.0,1200000.0,1195000,764473,20236,74175,94411,0.0,0.0,108783,,4322083,-225737,5040.0,,97962
2014-11-11,3,2014,20025.0,,57457,1736,,,-5000.0,,141.0,0.0,-9343,9553,25023,-488524.0,,1390,-94996,,156557,-488524.0,12834,,,9343,,2014年01月01日至2014年09月30日,3077702,4299761,1222059,1125720,968386,1340502,0.0,-477826.0,1200000.0,717174,1125720,-37539,232296,194757,0.0,0.0,214782,,4299761,-381459,6840.0,,72613
2015-03-30,4,2014,23109.0,,80517,1952,,,-5000.0,,189.0,0.0,-12803,12419,206429,-491804.0,,25715,-19733,,-93820,-491804.0,17184,,,12803,,2014年度,3077702,4599851,1522149,1544905,1090350,1557270,0.0,-477826.0,1200000.0,717174,1544905,60784,-71528,-10744,0.0,0.0,12365,,4599851,-479723,6120.0,,-5375
2015-05-06,1,2015,,,10025,320,,,0.0,,49.0,,-4138,2951,-60860,,,-45568,21375,,291239,,4245,,,4138,5507.0,2015年01月01日至2015年03月31日,4599851,5163959,564108,338699,624968,698754,0.0,0.0,0.0,0,338699,31400,323148,354548,,0.0,360055,,5163959,-77924,2400.0,,77157
2015-08-11,2,2015,,,9801,320,,,0.0,,96.0,0.0,-8065,5937,-145821,0.0,,6687,35386,,21848,0.0,8416,,,8065,14424.0,2015年01月01日至2015年06月30日,4599851,5098404,498553,749935,644374,842833,0.0,0.0,0.0,0,749935,45187,33287,78474,0.0,0.0,92898,,5098404,-206524,8040.0,,4432
