date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債減少,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售非流動資產,取得投資性不動產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延貸項增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產證券化款項,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債增加,附買回票券及債券負債減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產,預收款項減少－處分資產
2013-05-10,1,2013,,42467.0,,,,,,,,,,,24208,,0.0,,,5411,,,,11513.0,3598,14826,,,,,6575.0,,2271.0,,,-5659,,1270.0,-20551.0,,,,30985,,,-25414,,,,,,,,,,-48,,,,470,,,,,319.0,,-154.0,0.0,-37456,,,,,,95380,,,,0.0,17670,,,-174520,,,-3362,,,-31320,39898,,,,,,,,1020,-6831.0,,,,,2013年01月01日至2013年03月31日,939670,813013,,,-126657,58363,,,,,-26506,-10418,,,,,,,-85023.0,-99816,58363,,,133226,-244474,-111248,,2191,,,,,-191,,,,,,,,,,,,,,,,-68781,,813013,-9257.0,,,,0,,,,,,,,,-15112,,,,,-51644,,227,,-7630,,
2013-08-13,2,2013,,75968.0,,,,,,,,,,,26449,,0.0,,,7803,,,,,6348,-6609,,,,,,,21112.0,,,-14845,,662.0,-56618.0,,,,12581,,,-62878,,,,,,0.0,,,,-47,,,,-4609,,,,,524.0,,-283.0,0.0,-49416,,,,,,55838,,,0.0,,17841,,,-163564,,,23479,,,-128042,78003,,,,,,,,2248,-12654.0,,,,,2013年01月01日至2013年06月30日,939670,876219,,,-63451,129535,,,,,108367,128022,,,,,,-41769.0,,-56357,129535,,,116899,-194380,-77481,,5331,,,,,-336,,,,,,,,,,,,,,,,-1513,,876219,-7001.0,,,,11750,,,,,,,,,-15112,,,,,-29205,1298.0,0,2020.0,-1327,,
2013-11-13,3,2013,,116869.0,,,,,,,,,,,34031,,0.0,,,7344,,,,,6183,-8512,,,,,,,-41586.0,,,-7039,,828.0,,,-9887.0,20546.0,6118,,,-122374,,,,,,0.0,,,,-48,,,,-11057,,,,,516.0,,,-163.0,-68132,,,,,,60751,,,0.0,,-2207,,,-107173,-65780.0,,19942,,,-168515,116250,,,,,,,,3155,-19842.0,,11706.0,,,2013年01月01日至2013年09月30日,939670,780319,,,-159351,154557,,,,,118909,155332,,,,,,-81126.0,,-115863,154557,,,123045,-239139,-116094,,18492,,,,,-2966,,,,,,,,,,,,,,,,775,,780319,-28287.0,,,,11643,,,,,,,,,-35253,,,,,-44266,,8397,3244.0,12644,,
2014-03-28,4,2013,,178177.0,,,,,,,,,,,52582,,0.0,,,4129,,,,,915,-7879,,,,,,,-44150.0,,,-4957,,1057.0,-65796.0,,-15382.0,29791.0,7534,,,-292220,,,,,,-230.0,,,,-123,,,,-2295,,,,,263.0,,-164.0,,-79753,,,,,,179664,,,,-30000.0,-20718,,,-179867,,,9736,,,-289487,157401,,,,,,,,9858,-26713.0,,17201.0,,,2013年01月01日至2013年12月31日,939670,780068,,,-159602,173759,,,,,235251,267913,,,-20141.0,,,,-47910.0,-112900,173759,,,229469,-313492,-84023,,56536,,,,,-3807,,,,,,,,,,,,,,,,94154,,780068,-23150.0,,,,11632,,,,,,,,,-15112,1554.0,,,,-15708,,17467,,5394,,
2014-05-13,1,2014,,40960.0,,,,,,,,,,,-27596,,,,,-9,,,,,-674,-8759,,,,,,,128904.0,,,0,,70.0,0.0,,-1402.0,5851.0,6403,,,-65118,,,,,,,,,,0,,,,-1779,,,,,295.0,,806.0,0.0,5642,,,,,,-94027,,,,,23399,,,51284,,,3049,,,-79826,37792,,,,,,,,2465,-6265.0,,3005.0,,,2014年01月01日至2014年03月31日,780068,829033,,,48965,71935,,,,,158209,160103,,,,344715.0,,,-366939.0,-35821,71935,,,-109484,156692,47208,,8224,,,,,-1442,,,,,,,,,,,,,,,,88168,,829033,1366.0,,-595.0,,0,,,,,,,,,-13892,,,,,-23419,-23738.0,0,,-10586,,
2014-08-12,2,2014,,89571.0,,,,,,,,,,,-3253,,,-11199.0,,1213,,,,,269,-12183,0.0,,,,,,69981.0,,,0,,278.0,0.0,,-4451.0,14682.0,-4067,,,-124866,,,,,,-500.0,,,,0,,,,1961,,,,,300.0,,0.0,715.0,2390,,,,,,-75510,,,,,14331,,,-25463,,,-3163,,,-166381,75584,,,,,,,,4713,-14519.0,,5357.0,,,2014年01月01日至2014年06月30日,780068,790301,,,10233,146800,,,,,169231,194206,,,,344715.0,,,-319673.0,11450,146800,,,-44395,2230,-42165,,8979,,,0.0,,-1844,,,,,,,,,,,,,,,,47406,,790301,-15813.0,,-1352.0,,-119,,,,,,,,,-13892,,,,,-30545,0.0,-39510,,19887,,
2014-11-11,3,2014,,133588.0,,,,,,,,,,,-24440,,,-11408.0,,-4728,,,,,205,-43873,,,,,,,66021.0,,,-291,,-6633.0,0.0,,-8098.0,23353.0,4405,,,-171237,,,,,,-500.0,,,,-77,,,,3604,,,,,305.0,,-14676.0,,-8368,,,,,,-111465,,,,,2062,,,90327,,,875,,,-357444,115986,,,,,,,,6605,-20792.0,,10144.0,,,2014年01月01日至2014年09月30日,780068,868239,,,88171,187660,,,,,219143,258031,,,0.0,344715.0,,,-109061.0,222067,187660,,,-130991,67774,-63217,,9590,,,,,-264,,,,,,,,,,,,,,,,70371,,868239,-28240.0,,-965.0,,-178,,,,,,,,,-13892,,,,,-32480,,-168845,,2825,,
2015-03-26,4,2014,,177776.0,,,,,,,,,,,-11103,4137.0,0.0,-11869.0,,2505,,,,,-10686,-26906,,,,,0.0,80749.0,,,,-1035,,-6817.0,0.0,,-14101.0,30716.0,20237,,,-403753,,,,,,-500.0,,,,-5799,,,,3177,,,,,604.0,,-18155.0,,-17538,,,,,,-103611,,,,0.0,2744,,,24898,,,-1369,,,-394287,159835,,,,,,,,9149,-25188.0,,15523.0,,,2014年度,780068,873255,,,93187,212033,,,,,217905,244612,,,-40282.0,344715.0,,,-45950.0,249332,212033,,,-113630,-31567,-145197,,27855,,,,,-4783,,,,,,,,,,,,,,,,32579,,873255,-17042.0,,-1358.0,,-239,,,,,,,,,-13892,1958.0,,,,-13157,,-61780,,9265,,
2015-05-12,1,2015,,,,,,,,,,,,,-19648,,-4108.0,,,-1953,,,,,-218,-15068,,,,,,1318.0,0.0,,,-668,,0.0,0.0,,-3732.0,5851.0,-6504,,,-85579,,,,,,,,,,-61,,,,-191,,,,,6218.0,,0.0,11965.0,-97826,,,,,,8914,,,,,3293,,,12767,,,-6762,,,-58092,45372,,,,,,,,2165,-4609.0,,3726.0,,49829.0,2015年01月01日至2015年03月31日,873255,934007,,,60752,70427,,,-2120.0,,-63953,-47236,,,,0.0,,196774.0,0.0,189301,70427,,,-20717,-146775,-167492,,3144,,,,,-93,,,,,,,,,,,,,,,,-117663,,934007,-15834.0,,457.0,,0,,,,,,,,,-9583,,,,,-37933,0.0,11789,,-10938,,
2015-08-12,2,2015,,,,,,,,,,,,,-2031,,-4108.0,779.0,,6099,,,,,-320,9533,0.0,,,,,-60890.0,0.0,,,-1785,,0.0,0.0,,-9600.0,13896.0,-16039,,,-144579,,,,,,0.0,,,,-268,,,,3850,,,,,-309.0,,0.0,14519.0,-55214,,,,,,-25156,,,,,3879,,,16901,,,-31481,,,-176320,91733,,,,,,,,4308,-12282.0,,9034.0,,103610.0,2015年01月01日至2015年06月30日,873255,955350,,,82095,144325,,,-11416.0,,91369,139857,,,,0.0,,198650.0,,183085,144325,,,-44274,-63804,-108078,,2754,,,0.0,,-863,,,,,,,,,,,,,,,,-4468,,955350,-45240.0,,286.0,,-123,,,,,,,,,-11148,,,,,-9642,0.0,13150,,-9107,,
