date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損迴轉利益,預付投資款減少,預付設備款增加
2013-04-30,1,2013,31039.0,-53681,,2279,-27192,-2336,,63665.0,,,,-227,18520,,-21109,,0.0,,0.0,7.0,-3.0,-19414,-11963,,-48623.0,-49975.0,,44022,-70522,246951,196410.0,-160.0,42713,11474,,-15227,153,,2013年01月01日至2013年03月31日,53399,103862,-143.0,50463,82465,,,422940,422956,,,,-329194,,-415190,82465,,-43916,353368,309452,32887,,,340491,103862,-16,1415,,,,
2013-08-08,2,2013,50629.0,-35445,,-705,-25568,1964,,12222.0,,,,-844,28721,,-82580,-2634.0,0.0,,0.0,-46.0,0.0,192708,33145,,-139563.0,-49942.0,,10789,21790,37144,123954.0,-248.0,-71987,23002,,-29642,731,,2013年01月01日至2013年06月30日,53399,93985,,40586,144740,,416298.0,416298,450779,,,,1915159,-2203050.0,-303725,144740,,-121445,376855,255410,99195,320.0,-140.0,306039,93985,-34481,-110,,,,
2013-11-04,3,2013,79391.0,-68286,,-875,-5055,-454,,,62982.0,,,-972,41987,,-145034,-2634.0,0.0,,-10.0,-120.0,,198379,9612,,-130262.0,-109920.0,,80707,-224849,54866,165453.0,-369.0,-83622,35726,,-43643,864,,2013年01月01日至2013年09月30日,53399,65690,,12291,218221,,,391088,444765,220000.0,,,2707318,-3162792.0,-295175,218221,3210.0,-45367,192520,147153,162158,320.0,-140.0,226544,65690,-53677,-420,,,,
2014-03-11,4,2013,104637.0,-104041,,18934,-26321,4582,0.0,0.0,214690.0,,,-1250,54286,,-154497,-2919.0,0.0,,0.0,-120.0,0.0,356016,-72314,,-145977.0,,-109920.0,81765,21027,86688,,-515.0,58897,48928,44328.0,-54786,1423,,2013年01月01日至2013年12月31日,53399,132768,,79369,216196,,,580529,689046,220000.0,-41625.0,0.0,3575949,-4326277.0,-560057,216196,3210.0,-163362,531575,368213,225857,320.0,-140.0,472850,132768,-53731,-397,,,,
2014-05-09,1,2014,22014.0,-15371,,78,3653,-127554,,11793.0,,,,-69,9055,,-15785,,,,,0.0,-971.0,23075,208501,-16840.0,,0.0,,-143050,3758,-117494,17486.0,-145.0,-4901,13028,,-9557,62,,2014年01月01日至2014年03月31日,132768,57589,0.0,-75179,46727,,,-89352,-79791,,,,393262,-507894.0,19074,46727,,52119,-200651,-148532,149077,,,-126518,57589,-4,0,,,,
2014-08-08,2,2014,45903.0,-96602,,75,7791,-51810,,-10590.0,0.0,,,-343,20037,,-37705,0.0,,,,-527.0,,-40143,379359,27420.0,,9986.0,,-182260,-101611,-458658,-39904.0,-306.0,-507874,26031,,-20130,340,,2014年01月01日至2014年06月30日,132768,55351,,-77417,80400,,-376558.0,-376558,-333744,,,,1983200,-1350246.0,807015,80400,,232004,-692051,-460047,260677,0.0,0.0,-414144,55351,-22684,178,,,,-459392.0
2014-11-11,3,2014,74622.0,-488174,,90,98454,-32197,,,123189.0,,,-471,36395,,-800170,0.0,,,0.0,-79451.0,,-194501,328109,12337.0,,0.0,,-242976,115505,-686721,39384.0,-481.0,-755940,39358,,-45940,492,,2014年01月01日至2014年09月30日,132768,99208,,-33560,70927,,,-500071,-417448,0.0,-145536.0,,2296587,-2508561.0,1222451,70927,0.0,195443,-758440,-562997,2068135,0.0,0.0,-488375,99208,-36683,-660,,,,
2015-03-19,4,2014,98981.0,-510895,,51,33617,-13788,,0.0,161154.0,,,-711,53953,,-836800,0.0,-7022.0,,14.0,-78887.0,,9854,83839,2922.0,,,0.0,-237050,30677,-578122,,-658.0,-752816,52986,-175802.0,-62836,707,,2014年度,132768,83546,,-49222,82891,,,-762130,-662588,0.0,-145536.0,,2499315,-3225509.0,1465724,82891,0.0,-117330,-727130,-844460,2841698,1010.0,53.0,-745479,83546,-36706,-278,6637.0,,,
2015-04-30,1,2015,,-444341,,-10577,7069,-93940,,22964.0,,,,-92,17432,,-32840,,,,80.0,25.0,0.0,-27832,238351,-15500.0,,,,3454,157608,206362,-188012.0,,-9757,14010,,-16895,94,32085.0,2015年01月01日至2015年03月31日,83546,476905,,393359,5303,-375.0,,296020,313996,,,,582733,-364674.0,107096,5303,,232999,43609,276608,200000,,,308693,476905,-1081,735,133298.0,,,
2015-07-30,2,2015,,-703132,-43889.0,-50,-13243,-92882,,-5819.0,,-210728.0,1301.0,-357,34226,-1825.0,-39364,,44898.0,80.0,,0.0,78829.0,-25991,50312,12063.0,,0.0,,-28599,-1091,334214,71620.0,,-220622,27858,,-34338,349,100137.0,2015年01月01日至2015年06月30日,83546,256754,,173208,10182,-477.0,380275.0,380275,416195,,,,1155477,-802031.0,15380,10182,,20056,285820,305876,200000,,,406013,256754,-1582,-129,164986.0,-7660.0,,0.0
