date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分投資利益,處分投資性不動產利益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,74753.0,-489218,355405,335010,285151.0,,,1284445,49859.0,528260.0,1544517,0.38,0.38,,,341165,,205492.0,151905,,221917,2013年01月01日至2013年03月31日,1999624,3284069,1413035,1911110,,2026729,314060,20990175,24114047,3123872,3123872,1097143,23654.0,,11268,,,0.38,0.38,863958,1999624,2340789,,,,,430158.0,,528260,,,586589,1372959
2013-08-13,2,2013,,82027.0,-2136407,-113347,373833,187887.0,,,-1221944,45031.0,,818972,0.7,0.7,,,806669,,87318.0,207637,,270217,2013年04月01日至2013年06月30日,3802105,2580161,2586787,949640,154149.0,4588992,19782,23048175,28670184,5622009,5622009,1033017,8173.0,,11078,,,0.7,0.7,751722,3802105,4608774,140915.0,,,,122829.0,0.0,448341,,,1215318,1630521
2013-11-12,3,2013,,,1649359,0,842310,,23052350.0,,1425980,,,-139049,0.97,0.97,,,1173759,,-70575.0,292232,,248458,2013年07月01日至2013年09月30日,5344662,6770642,3594193,5025600,,5910634,607787,23052350,30106839,7054489,7054489,1143855,-13755.0,,10419,,,0.97,0.97,884978,5344662,6518421,,,,,,,526755,,30106839.0,1750469,1745042
2014-03-27,4,2013,,810355.0,1908817,185044,1968187,1077473.0,,-68042.0,6121882,198029.0,,3480277,2.72,2.72,,,3485773,,353156.0,585550,,1019186,2013年01月01日至2013年12月31日,15118683,21240565,10026731,14336481,,17775975,828481,93275950,116098947,22822997,22822997,5047022,47427.0,,43663,,400247.0,2.71,2.71,3984173,15118683,18604456,692685.0,,,521353.0,468757.0,5289.0,1910300,93275950.0,116098947.0,5091952,6904084
2014-05-09,1,2014,,291616.0,2318385,-153671,230627,174400.0,,,1841792,56227.0,482195.0,-501010,0.5,0.5,,,759611,,17020.0,271861,,233190,2014年01月01日至2014年03月31日,2791235,4633027,1833139,4015175,,3684224,-133378,21852093,26716227,4864134,4864134,1179910,7397.0,,10271,,,0.5,0.5,936449,2791235,3550846,,,,137849.0,96.0,,482195,,,958096,617852
2014-08-13,2,2014,,,-3081800,-21318,474257,,,,-4396675,,,-1153962,0.86,0.86,,,1457502,,-151297.0,365369,,227869,2014年第2季,4828695,432020,3195746,-754894,,5938317,347880,24732219,31873459,7141240,7141240,1202923,-9616.0,,8987,,,0.86,0.86,966067,4828695,6286197,,,,,,,470428,24732219.0,31873459.0,1632949,1186914
2014-11-13,3,2014,,47047.0,-787040,-69844,736932,62644.0,,,1171991,76676.0,,1757546,0.87,0.87,23216.0,,1161937,,186357.0,360453,,238759,2014年第3季,4934486,6106477,3215834,3621052,0.0,5544164,552259,23421140,30094955,6673815,6673815,1129651,15128.0,,10163,,,0.87,0.87,880729,4934486,6096423,597612.0,,,,419.0,,475282,,,1718652,2485425
2015-03-27,4,2014,,403723.0,826077,-240371,2238549,1096352.0,,,3225651,309383.0,,2106968,2.93,2.93,,,4614844,,331223.0,1250088,,964818,2014年度,16583876,19809527,10828868,13340699,,19857669,1341051,93453214,118325809,24872595,24872595,5014926,21883.0,,38678,,-72678.0,2.93,2.93,4011430,16583876,21198720,832814.0,,-12178.0,163222.0,130.0,,1907215,,,5755008,6468828
2015-05-13,1,2015,,84484.0,114595,-144414,222029,95662.0,,,-772223,126367.0,,-789178,0.22,0.22,60065.0,-772223.0,495349,,,181127,-72913.0,227338,2015年01月01日至2015年03月31日,974518,202295,808778,349121,,1693508,-223641,18579134,21440142,2861008,2861008,1167500,,-24727.0,6399,,,0.22,0.22,933763,974518,1469867,,,,135.0,,,482383,,,165740,-146826
2015-08-12,2,2015,,228138.0,-1061188,-137577,652071,139792.0,,,-2139392,88841.0,,-983216,0.61,0.61,-89579.0,-2139392.0,514664,,,228634,-96511.0,229300,2015年第2季,2727845,588453,2243129,512044,,2917631,324878,21076772,24994185,3917413,3917413,999782,,1523.0,4508,,,0.61,0.61,765974,2727845,3242509,423438.0,,,982.0,,,418250,,,484716,76409
2015-11-11,3,2015,,152495.0,-2989773,-1182086,618097,167132.0,,,-290116,109978.0,,2374207,0.26,0.26,1031230.0,-290116.0,181884,,,221674,322462.0,199106,2015年第3季,989427,699311,948745,-255288,,1996477,-825166,19378040,22683975,3305935,3305935,1309458,,2988.0,10487,,,0.26,0.26,1099865,989427,1171311,340987.0,,,1639.0,,,482851,,,40682,954599
2016-03-30,4,2015,-543370.0,512116.0,-5141341,-2078936,2207830,818956.0,,,-7518044,430757.0,,-1828277,1.56,1.56,1570026.0,-6974674.0,1740389,-1476.0,,737161,6015.0,859723,2015年度,6925626,-592418,5775989,-806454,,9673699,-1007684,79151059,93679076,14528017,14528017,4854318,,-11071.0,6895,-652832.0,,1.56,1.56,3987700,6925626,8666015,958117.0,-110938.0,,3206.0,,,1873739,,,1149637,214036
2016-05-11,1,2016,,75196.0,-48530,-67081,216835,138347.0,,,-828511,78488.0,,-670131,0.06,0.06,-8115.0,-828511.0,183320,,,149029,-99757.0,186039,2016年01月01日至2016年03月31日,94527,-733984,220995,-333525,,483889,-206042,16138503,17724112,1585609,1585609,1101720,,-10093.0,5503,,,0.06,0.06,910178,94527,277847,,,,,,,504825,,,-126468,-400459
2016-08-10,2,2016,,100165.0,-1127880,-599724,539412,223173.0,,,-3473063,69472.0,,-2218612,0.54,0.54,528558.0,-3473063.0,759266,,,223903,-127424.0,174822,2016年第2季,2708932,-764131,2003745,-464462,,3770663,-302465,17880863,22942147,5061284,5061284,1290621,,853.0,4696,,,0.54,0.54,1111103,2708932,3468198,246767.0,,,28999.0,,,466056,,,705187,-299669
2016-11-11,3,2016,,152297.0,1131470,-263135,691231,61147.0,,,-1868415,75730.0,,-2747322,0.63,0.63,113176.0,-1868415.0,741847,,,285827,-252658.0,173775,2016年第3季,3283221,1414806,2321292,1617077,,3780535,244533,17390791,22350039,4959248,4959248,1178713,,95.0,5777,,,0.63,0.63,999161,3283221,4025068,554354.0,,,2338.0,,,469390,,,961929,-202271
