date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估價之利益（損失）,重估增值,金融資產重分類損失,金融資產重分類淨損益,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,-3279,4402,3347,,-3660,,,,-454,0.12,0.0,,693,,,,,,,,,,,24097,2013年01月01日至2013年03月31日,0.0,32045,28385,,21013,17561,25590,7148,726907,810335,83428,83428,57838,,,,,0.12,33741,32045,32738,,-73.0,,,601,,,,,,,,,11032,10824
2013-08-09,2,2013,,,-6529,-3702,4981,,-5266,,,,1506,0.04,,,3539,,,,,,,,,,,25618,2013年04月01日至2013年06月30日,,-10843,-16109,,6882,926,-7494,190,804768,842278,37510,37510,45004,,,,,0.04,19386,-10843,-7304,,243.0,,,1089,,,,,,,,,-17725,-17035
2013-11-11,3,2013,,,17737,-2036,6008,,17662,,,,-89,0.19,,,5929,,,,,,,,,,,26590,2013年07月01日至2013年09月30日,,43560,61222,,33585,51288,45911,3578,868733,962964,94231,94231,48320,,,,,0.19,21730,43560,49489,,-14.0,,,394,,,,,,,,,9975,9934
2014-03-24,4,2013,,,24476,-1215,16422,,26666,,,,1909,0.32,,,7812,,,,0.0,,,,,,,118244,2013年01月01日至2013年12月31日,,40442,67108,,57271,83081,36530,11724,3293454,3535821,242367,242367,205837,,,,710.0,0.32,87593,40442,48254,,429.0,,,3483,,,,0.0,,,,0.0,-16829,-15973
2014-05-08,1,2014,,,1639,-925,3942,0.0,1479,,0.0,,-191,0.12,,,4260,,,0.0,0.0,,,,,,,30672,2014年01月01日至2014年03月31日,,23778,25257,0.0,21153,22719,26889,1149,676842,752609,75767,75767,48878,0.0,,,0.0,0.12,18206,23778,28038,,-31.0,,0.0,1868,0.0,,,0.0,,,,0.0,2625,2538
2014-08-08,2,2014,,,-7302,2670,3320,0.0,-7115,,0.0,,223,0.11,,,3630,,,0.0,,,,,,,,35724,2014年第2季,,14581,7466,,19148,11931,13224,4987,739534,807569,68035,68035,54811,0.0,,,0.0,0.11,19087,14581,18211,,36.0,,0.0,1003,0.0,,,0.0,,,,0.0,-4567,-4465
2014-11-12,3,2014,,,-9017,-343,7423,0.0,-9108,,0.0,,-108,0.1,,,1912,,,0.0,,,,,,,,44061,2014年第3季,,10819,1711,,17137,8079,6125,6606,852468,937806,85338,85338,79213,0.0,,,0.0,0.1,35152,10819,12731,,-17.0,,0.0,474,0.0,,,0.0,,,,0.0,-6318,-6368
2015-03-20,4,2014,,,-11490,-580,29048,,-16439,,0.0,,-1188,0.3,,,10303,,,0.0,0.0,,,,,,,129337,2014年度,,41867,25428,0.0,53469,37575,29533,22637,3509161,3769955,260794,260794,231261,0.0,,,-4762.0,0.3,101924,41867,52170,,-1001.0,,0.0,5831,0.0,,,0.0,,,,0.0,-11602,-12147
2015-05-11,1,2015,0.0,0.0,8900,4977,3490,,8850,0.0,,0.0,-60,-0.01,,8850.0,-1064,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37826,2015年01月01日至2015年03月31日,,-3834,5016,0.0,-1573,7304,-12725,7827,787147,837271,50124,50124,62849,,0.0,0.0,,-0.01,25023,-3834,-4898,0.0,,-10.0,,640,,0.0,,,,,,,-2261,-2288
2015-08-11,2,2015,,0.0,-11063,-1764,4061,,-10682,0.0,,0.0,454,0.17,,-10682.0,5837,0.0,0.0,,,0.0,,,,,,30007,2015年第2季,,18393,7711,0.0,30797,19907,24138,92,682472,764209,81737,81737,57599,,0.0,0.0,,0.17,27592,18393,24230,0.0,,73.0,,2205,,0.0,,,,,,,-12404,-12196
2015-11-11,3,2015,0.0,0.0,-7799,13285,6738,,-9458,0.0,,0.0,-1979,0.32,,-9458.0,10045,0.0,0.0,,,0.0,,,,,,28555,2015年第3季,,65702,56244,0.0,57098,48767,56737,19010,711339,828448,117109,117109,60372,,0.0,0.0,,0.32,31817,65702,75747,0.0,,-320.0,,1013,,0.0,,,,,,,8604,7477
2016-03-21,4,2015,0.0,-3446.0,-9010,5879,18484,,-11258,0.0,,0.0,1428,0.67,,-7812.0,24140,0.0,0.0,,,0.0,,,,,,120314,2015年度,,107121,95863,0.0,119407,107454,112071,19190,2928477,3275779,347302,347302,235231,,0.0,-4147.0,,0.67,114917,107121,131261,-701.0,,230.0,,5173,,0.0,0.0,0.0,3275779.0,3275779.0,3275779.0,0.0,-12286,-11591
2016-05-12,1,2016,,0.0,-7544,1290,4034,,-11407,0.0,,0.0,-4607,0.19,,-11407.0,7220,0.0,0.0,,,0.0,,,0.0,,,25251,2016年01月01日至2016年03月31日,,38904,27497,0.0,32881,24005,41415,4709,552415,646025,93610,93610,52195,,0.0,0.0,,0.19,26944,38904,46124,0.0,,-744.0,,615,,0.0,,,646025.0,646025.0,646025.0,,6023,3492
2016-08-09,2,2016,0.0,0.0,855,3225,3177,,4727,0.0,,0.0,4618,0.31,,4727.0,10711,0.0,0.0,,,0.0,,,,,,24577,2016年第2季,,58037,62764,0.0,54140,56330,63364,5384,660390,782528,122138,122138,58774,,0.0,0.0,,0.31,34197,58037,68748,0.0,,746.0,,1018,,0.0,,,,,,,3897,6434
2016-11-11,3,2016,0.0,0.0,15817,-8442,8121,,16964,0.0,,0.0,1368,0.23,,16964.0,8726,0.0,0.0,,,0.0,,,,,,25973,2016年第3季,,26072,43036,0.0,41321,57533,35814,-1016,600125,694109,93984,93984,58170,,0.0,0.0,,0.23,32197,26072,34798,0.0,,221.0,,695,,0.0,,,,,,,-15249,-14497
