date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-5709,199,62997,8035,-3198.0,13513,7236,19387,0.76,0.77,,56305,,-2777.0,-3348.0,571.0,,4521,,,,,,170762,2013年01月01日至2013年03月31日,352668,366181,324554,338092,346365,68317,2601766,3201923,600157,600157,250594,10578,,,0.76,0.77,69254,358377,414682,,3296.0,,7236,2601766,3201923,28114,28089
2013-08-07,2,2013,,-2588,-667,22177,11256,-3906.0,6338,7541,8307,0.35,0.36,,45897,,110.0,-189.0,299.0,,9547,,,,,,216709,2013年04月01日至2013年06月30日,166695,173033,156658,163015,179741,35439,3514060,3988361,474301,474301,290654,9452,,,0.35,0.36,64493,169283,215180,,1412.0,,7541,3514060,3988361,10037,10018
2013-11-11,3,2013,,-5723,588,-25816,8461,-2963.0,-166,7146,-8521,0.29,0.3,,30079,,6318.0,6623.0,-305.0,,5585,,,,,,192682,2013年07月01日至2013年09月30日,140222,140056,129147,128949,194940,-18916,3065969,3526525,460556,460556,262653,9792,,,0.29,0.3,60179,145945,176024,,-1449.0,,7146,3065969,3526525,11075,11107
2014-03-13,4,2013,,-17515,458,62206,36766,-12814.0,-1413,27947,26525,1.67,1.71,,170996,,4559.0,4210.0,867.0,-518.0,21879,,,,,,757891,2013年01月01日至2013年12月31日,814836,813423,753119,751258,910443,92904,12228005,14191319,1963314,1963314,1040057,54492,,-34983.0,1.67,1.71,227674,832351,1003347,,-2028.0,,27947,12228005,14191319,61717,62165
2014-05-09,1,2014,,-7838,-309,16474,9020,-2725.0,4728,7094,12710,0.34,0.36,,24559,,-5513.0,-5865.0,352.0,,-531,,,,,,182390,2014年01月01日至2014年03月31日,161904,166632,154040,158807,176432,17869,3093948,3528563,434615,434615,255458,11469,,,0.34,0.36,61599,169742,194301,,2160.0,,7094,3093948,3528563,7864,7825
2014-08-07,2,2014,,-6351,-199,-31534,11756,-2820.0,-9188,7627,-13792,-0.05,-0.03,,12572,,2459.0,2823.0,-364.0,,2924,,,,,,207369,2014年第2季,-25259,-34447,-21769,-30980,18145,-24481,3879618,4177709,298091,298091,277126,11701,,,-0.05,-0.03,58056,-18908,-6336,,-2344.0,,7627,3879618,4177709,-3490,-3467
2014-11-07,3,2014,,-7000,-715,32872,8158,,-436,7214,12563,0.1,0.11,,12834,,-10148.0,-10473.0,325.0,,1540,,,,,,180272,2014年第3季,47656,47220,44805,44425,32134,35356,3338725,3633713,294988,294988,262854,12138,,,0.1,0.11,70444,54656,67490,,2136.0,,7214,3338725,3633713,2851,2795
2015-03-11,4,2014,,-26566,-374,47196,38717,0.0,3337,29884,40721,0.25,0.31,,5531,,-4743.0,-6114.0,1050.0,321.0,2154,,,,,,734826,2014年度,122395,125732,118906,122933,96309,58183,13422934,14559831,1136897,1136897,1040588,47187,,-29470.0,0.25,0.31,258575,148961,154492,,2797.0,,29884,13422934,14559831,3489,2799
2015-05-11,1,2015,,-6614,-661,-6433,5690,0.0,-14372,7450,-9040,0.35,0.36,-14372.0,28679,,,,,,-3179,-5644.0,-6208.0,-564.0,0.0,,208006,2015年01月01日至2015年03月31日,169793,155421,161693,147361,216458,-11372,3158674,3661067,502393,502393,285935,12290,,,0.35,0.36,65639,176407,205086,,,-1537.0,7450,3158674,3661067,8100,8060
2015-08-07,2,2015,,-7013,-803,-4275,11537,,-14974,8474,-8510,0.54,0.55,-14974.0,64212,,,,,,-997,-6825.0,-7108.0,-283.0,,,185315,2015年第2季,268713,253739,252632,237702,342147,-2209,3087930,3684854,596924,596924,254777,12247,,,0.54,0.55,57215,275726,339938,,,-1447.0,8474,3087930,3684854,16081,16037
