date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分投資利益,處分投資性不動產利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,1292.0,-21460,2116,1050.0,49571,989.0,49571.0,-0.12,-0.12,77.0,250.0,,,4,27203,,,11943.0,2013年01月01日至2013年03月31日,,-9898,39673,-14747,34824,-16312,6418,8619,37717,29098,29098,45410,,,-0.12,-0.12,33467.0,-9898,-9894,,,112.0,0.0,,,1441,-20530.0,,,4849,4849
2013-08-14,2,2013,,925.0,-35671,2249,872.0,17703,1359.0,17703.0,-0.18,-0.18,18.0,-682.0,,,-48,30211,,,30635.0,2013年04月01日至2013年06月30日,,-64886,-47183,-63898,-46195,-60030,-4904,83231,107338,24107,24107,84137,,,-0.18,-0.18,53502.0,-64886,-64934,,,48.0,0.0,,,1693,-34112.0,,,-988,-988
2013-08-14,2,2014,,3969.0,-8068,65399,3234.0,-35597,993.0,-35597.0,0.3,0.3,0.0,-50.0,,,17944,82454,,,25769.0,2014年第2季,,84571,48974,85365,49768,-35796,138311,32218,45193,12975,12975,48771,,,0.3,0.3,23002.0,84571,102515,61172.0,,0.0,0.0,,496.0,1474,-3553.0,,,-794,-794
2013-11-14,3,2013,,1240.0,17552,10212,1390.0,-19901,904.0,-19901.0,-0.14,-0.14,0.0,203.0,,,61390,3860,,,20636.0,2013年07月01日至2013年09月30日,,-43118,-63019,-43480,-63381,-11845,30117,113145,123022,9877,9877,21722,,,-0.14,-0.14,1086.0,-43118,18272,7918.0,,49.0,0.0,,,1507,18540.0,,,362,362
2014-03-28,4,2013,,5649.0,195713,28601,12576.0,64101,5606.0,61781.0,0.19,0.19,184.0,845.0,,,53103,62472,,,91879.0,2013年01月01日至2013年12月31日,,63546,127647,62577,126678,-164197,280846,276046,330772,54726,54726,218923,,2320.0,0.19,0.19,127044.0,63546,116649,10235.0,,224872.0,,,,5940,-24355.0,,,969,969
2014-05-14,1,2014,,3510.0,-27575,26866,25849.0,23006,1017.0,23006.0,-0.14,-0.14,0.0,0.0,38.0,,-3604,5575,,,22179.0,2014年01月01日至2014年03月31日,,-41978,-18972,-40659,-17653,-49242,3660,42961,39575,-3386,-3386,45856,,,-0.14,-0.14,23677.0,-41978,-45582,,,0.0,,,,1206,-24027.0,,,-1319,-1319
2014-11-14,3,2014,,4600.0,173449,12747,2778.0,39574,1311.0,39574.0,0.66,0.66,0.0,30.0,0.0,,19544,69294,,,28467.0,2014年第3季,,179867,219441,180603,220177,-54610,254021,61086,66494,5408,5408,60018,,,0.66,0.66,31551.0,179867,199411,8658.0,,,6340.0,140969.0,,1469,30710.0,0.0,1311.0,-736,-736
2015-03-31,4,2014,,,238478,114742,,66083,,65620.0,1.68,1.68,,,,,51721,202737,,,150192.0,2014年度,,480575,546658,485408,551491,-16401,548697,902832,1161919,259087,259087,275488,,463.0,1.67,1.67,125296.0,480575,532296,,,,,,,7260,,,,-4833,-4833
2015-05-14,1,2015,,,13588,4571,,-10715,,-10715.0,0.54,0.54,,,,-10715.0,4579,31242,,,102270.0,2015年01月01日至2015年03月31日,,155538,144823,155747,145032,112941,47176,630369,869625,239256,239256,126315,,,,,24045.0,155538,160117,,,,,,,2225,,,,-209,-209
2015-08-14,2,2015,,,3864,3051,,-35285,,-35285.0,0.19,0.19,,,,-35285.0,-10886,778,,,37423.0,2015年第2季,,-56063,-91348,-55978,-91263,-71866,4917,231815,219052,-12763,-12763,59103,,,0.19,0.19,21680.0,-56063,-66949,,,,,,,2776,,,,-85,-85
2015-11-13,3,2015,,,-65935,10573,,138210,,138210.0,-0.26,-0.26,,,,138210.0,-6114,1741,,,19533.0,2015年第3季,,-71053,67157,-70539,67671,-21265,-55902,29784,40123,10339,10339,31604,,,-0.26,-0.26,12071.0,-71053,-77167,,,,,,,2281,,,,-514,-514
