date,season,year,不重分類至損益之項目總額,什項支出,佣金支出,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,各項攤提,呆帳損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,廣告費,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,折舊及折耗,捐贈,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金支出,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資性不動產利益,訓練費,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,運費,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,3237,,,-2774,,,13085,1746,1438,,,-2774,308,9.0,,,0.13,0.13,,3771,0.0,,,,1143,45,0.0,23318,2013年01月01日至2013年03月31日,,17549,14775,17549,14775,3861,14831,421813,456736,34923,34923,31062,1451,,,106,0.13,0.13,6293,17549,18692,,,7920,,,0.0,1394.0,,2204,7828,308.0,421813,421813,362,457170,457170,456736,72,0.0,0.0
2013-08-09,2,2013,,,6883,0.0,,173,0.0,0.0,-2758,2070,775,,,173,475,9.0,,,0.17,0.17,,1458,0.0,0.0,86.0,,111,45,0.0,30455,2013年04月01日至2013年06月30日,0.0,23264,23437,23264,23437,24063,-688,523815,590101,66286,66286,42223,1363,,,106,0.17,0.17,10405,23264,23375,820.0,,0,34.0,,,0.0,4182.0,2849,10832,475.0,523815,523815,65,590487,590487,590101,321,0.0,0.0
2013-11-01,3,2013,,,5797,,,6069,,,-1547,4557,707,,,6069,382,3.0,0.0,,0.13,0.13,,0,2234.0,0.0,10.0,,-285,46,0.0,25452,2013年07月01日至2013年09月30日,0.0,17715,23784,17715,23784,14420,3010,487440,534832,47392,47392,32972,1596,,,106,0.13,0.13,5924,17715,17430,3468.0,,0,37.0,,0.0,724.0,0.0,2157,9411,382.0,487440,487440,137,534969,534969,534832,0,,
2014-03-19,4,2013,,,19338,,,17513,,,11557,10601,4672,,599.0,14590,1641,20.0,414.0,,0.47,0.47,,4970,0.0,,916.0,,1462,182,,101279,2013年01月01日至2013年12月31日,,65288,79878,65288,79878,44592,22158,1904510,2087412,182902,182902,138310,6211,,-3522.0,423,0.47,0.47,30820,65288,66750,4288.0,,7848,,,,0.0,1261.0,9282,36366,,1904510,1904510,756,2089084,2089084,2087412,916,,
2014-05-13,1,2014,,,3518,,0.0,-2947,,,5700,1250,881,,,-2947,369,0.0,,,0.08,0.08,,2534,0.0,,100.0,,521,46,0.0,22720,2014年01月01日至2014年03月31日,,10779,7832,10779,7832,4350,6950,423477,458305,34828,34828,30478,1892,,,106,0.08,0.08,5866,10779,11300,,,0,,3115.0,0.0,51.0,,1536,8149,369.0,423477,423477,187,458492,458492,458305,0,0.0,0.0
2014-08-12,2,2014,,,3569,0.0,,-694,0.0,0.0,-498,1089,623,,,-695,466,0.0,,-1.0,0.07,0.07,,0,1723.0,0.0,103.0,,-615,46,0.0,23134,2014年第2季,0.0,9816,9121,9816,9121,8610,591,446635,486560,39925,39925,31315,1983,,,106,0.07,0.07,6198,9816,9201,0.0,,0,40.0,0.0,,1265.0,0.0,1865,9529,466.0,446635,446635,159,486721,486721,486560,2,0.0,0.0
2014-11-13,3,2014,,,3116,,,-867,,,926,7123,2369,,,-865,331,0.0,0.0,2.0,0.01,0.01,,1718,0.0,0.0,257.0,,644,46,1000.0,21188,2014年第3季,0.0,1397,532,1397,532,-6008,8049,434733,458608,23875,23875,29883,2108,,,106,0.01,0.01,6587,1397,2041,4423.0,,0,4.0,0.0,7.0,0.0,788.0,1822,7836,331.0,434733,434733,9,460001,460001,458608,1384,,
2015-03-20,4,2014,,,14134,,,-5722,,,10278,10407,3357,,1984.0,-15406,1627,0.0,0.0,4.0,0.21,0.21,1000.0,7813,,,805.0,,985,183,,92787,2014年度,,29064,13658,29064,13658,9364,20685,1773609,1908684,135075,135075,125711,8429,,-11672.0,423,0.21,0.21,24495,29064,30049,4423.0,,0,44.0,3115.0,,,606.0,7181,34656,,1773609,1773609,691,1911574,1911574,1908684,2199,,
2015-05-13,1,2015,,,4121,,0.0,16033,,,-2540,2583,2247,,,16032,336,0.0,,-1.0,0.12,0.12,,0,2188.0,,168.0,16032.0,-296,39,0.0,25508,2015年01月01日至2015年03月31日,,16507,32539,16507,32539,16168,43,422256,472498,50242,50242,34074,2264,,,106,0.12,0.12,6302,16507,16211,,,62,,0.0,0.0,0.0,414.0,2277,8863,336.0,422256,422256,688,473186,473186,472498,0,0.0,0.0
2015-08-05,2,2015,,,3982,0.0,,60872,0.0,0.0,-3021,520,111,,,60870,409,0.0,,-2.0,0.17,0.17,,0,2589.0,0.0,91.0,60870.0,4656,27,0.0,26617,2015年第2季,0.0,24198,85068,24198,85068,31355,-2501,388925,456541,67616,67616,36261,2198,,,175,0.17,0.17,7446,24198,28854,0.0,,0,12.0,0.0,,0.0,420.0,2773,8718,409.0,388925,388925,23,456796,456796,456541,232,0.0,0.0
