date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,9002,57550,12569,-186,54230,11521,45228,0.17,,,0,127301,2013年01月01日至2013年03月31日,75161,129391,75162,129391,16563,58598,1496759,1738216,241457,241457,224708,46830,,,,,50577,75161,75161,,,11521,-1,0
2013-08-13,2,2013,,4805,-30838,18514,-124,2370,10186,-2435,0.11,0.11,,0,147451,2013年04月01日至2013年06月30日,45883,48253,45880,48251,68393,-22510,1496618,1809144,312526,312526,244009,46143,,,,,50415,45883,45883,,,10186,3,2
2013-11-12,3,2013,,3398,-14859,10406,-288,-11025,9156,-14423,0.05,0.05,,42,145027,2013年07月01日至2013年09月30日,23286,12261,23286,12261,36937,-13609,1599375,1883426,284051,284051,246826,49237,,,0.05,0.05,52562,23286,23328,,,9156,0,0
2014-03-20,4,2013,,29081,12099,44002,-1969,47093,39840,28754,0.53,0.53,,181,594477,2013年01月01日至2013年12月31日,229730,276823,229727,276820,213650,16261,6439051,7642799,1203748,1203748,988129,189493,,-12942.0,0.53,0.53,204159,229730,229911,,-2200.0,39840,3,3
2014-05-14,1,2014,,-4280,33397,9440,-554,13176,9197,17456,0.18,0.18,,10313,137963,2014年01月01日至2014年03月31日,77667,90843,77669,90845,54340,33640,1599062,1903330,304268,304268,249374,56100,,,0.18,0.18,55311,77667,87980,,,9197,-2,-2
2014-08-13,2,2014,,5487,-1902,10350,-203,-12912,8798,-18399,0.15,0.15,,10888,173164,2014年第2季,64856,51944,64857,51945,76094,-350,1627213,1979344,352131,352131,275834,50267,,,0.15,0.15,52403,64856,75744,,,8798,-1,-1
2014-11-13,3,2014,,-8482,29444,11254,-5499,8975,8655,17457,0.17,0.17,,12447,160854,2014年第3季,76453,85428,76454,85429,56857,32043,1608691,1953991,345300,345300,282944,64416,,,0.17,0.17,57674,76453,88900,,,8655,-1,-1
2015-03-15,4,2015,-65022.0,-16920,8792,49764,-8586,-115027,37018,-33085,1.03,1.03,-50005.0,66361,628266,2015年度,451512,336485,451519,336492,496335,21538,6550809,8190873,1640064,1640064,1135143,259237,-78340.0,,1.03,1.03,247640,451512,517873,-13318.0,,37018,-7,-7
2015-03-20,4,2014,,-674,114079,37699,-7389,14618,34894,55349,0.85,0.85,,65551,658139,2014年度,373956,388574,373954,388572,322623,116884,6708304,8158215,1449911,1449911,1119899,228259,,-48262.0,0.85,0.85,233501,373956,439507,,-8205.0,34894,2,2
2015-04-30,1,2015,,-834,13519,4375,-1846,-12583,8369,-11749,0.25,0.25,-12583.0,16482,147558,2015年01月01日至2015年03月31日,110056,97473,110062,97479,117013,9525,1706619,2093769,387150,387150,268291,59624,,,0.25,0.25,61109,110056,126538,,,8369,-6,-6
2015-08-13,2,2015,,-1461,-27795,22053,-2773,-23106,8250,-21645,0.15,0.15,-23106.0,10837,154909,2015年第2季,66797,43691,66797,43691,91626,-13992,1509285,1875299,366014,366014,271615,57991,,,0.15,0.15,58715,66797,77634,,,8250,0,0
2015-11-10,3,2015,,-27970,19012,7698,-1877,-13833,8800,14137,0.21,0.21,-13833.0,15967,155880,2015年第3季,91284,77451,91283,77450,89341,17910,1670083,2047275,377192,377192,285974,69405,,,0.21,0.21,60689,91284,107251,,,8800,1,1
2016-05-12,1,2016,,-1711,-31275,7582,-115,-12831,13907,-11120,0.27,0.27,-12831.0,14251,163794,2016年01月01日至2016年03月31日,117425,104594,117423,104592,169276,-37600,1647721,2126259,478538,478538,309147,74632,,,0.27,0.27,70721,117425,131676,,,13907,2,2
2016-08-12,2,2016,,-2568,14128,17155,-331,-16603,11815,-14035,0.19,0.19,-16603.0,23717,189169,2016年第2季,84191,67588,84190,67587,88440,19468,1592007,2019314,427307,427307,338536,77326,,,0.19,0.19,72041,84191,107908,,,11815,1,1
2016-11-11,3,2016,,-5,-14084,5122,-21,-38678,11547,-38673,0.24,0.24,-38678.0,14675,164878,2016年第3季,106544,67866,106544,67866,141728,-20509,1796483,2265531,469048,469048,327299,84750,,,0.24,0.24,77671,106544,121219,,,11547,0,0
