date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,20987,11130,9513.0,124316,1617,11378,124316,0.32,,,19887,,,,2013年01月01日至2013年03月31日,42111,166427,54638,145567,41259,20739,1359180,1678240,319060,319060,277801,,,,,,42111,,61998,,,,,11378,-12527,20860
2013-08-12,2,2013,,5747,9609,8513.0,-173923,1096,10409,-173923,0.22,,,12826,,,,2013年04月01日至2013年06月30日,26347,-147576,37121,-131347,34226,4947,1338284,1637830,299546,299546,265320,,,,0.22,,26347,,39173,,,,,10409,-10774,-16229
2013-11-11,3,2013,,6491,7628,6615.0,-45018,1013,10941,-45018,0.41,,,14375,,,,2013年07月01日至2013年09月30日,65892,20874,69458,25480,77089,3178,1627379,2002696,375317,375317,298228,,,,0.41,,65892,,80267,,,,,10941,-3566,-4606
2014-03-25,4,2013,,-14275,89525,85315.0,-87594,4210,58903,-96166,1.0,,,67192,-1113.0,,-1113.0,2013年01月01日至2013年12月31日,111031,23437,168706,48489,162989,15234,5898819,7239346,1340527,1340527,1177538,,8572.0,,1.0,,111031,,178223,,,,,58903,-57675,-25052
2014-05-12,1,2014,,9419,8142,,26406,1647,17389,26406,0.11,,,6285,-200.0,,-200.0,2014年01月01日至2014年03月31日,2219,28625,18572,43903,8532,-28,1192397,1492632,300235,300235,291703,,,6495.0,,,2219,,8504,,,,,17389,-16353,-15278
2014-08-12,2,2014,,1018,8200,,-59088,1626,15780,-59088,0.02,0.02,,4103,,639.0,-639.0,2014年第2季,-4529,-63617,4530,-47232,6775,-7201,1347026,1646836,299810,299810,293035,,,6574.0,0.02,0.02,-4529,,-426,,,,,15780,-9059,-16385
2014-11-10,3,2014,,-8616,8709,,3681,2057,10964,3681,0.35,0.35,,6919,,2.0,-2.0,2014年第3季,65619,69300,73060,65105,83411,-10873,1819161,2191342,372181,372181,288770,,,6502.0,0.35,0.35,65619,,72538,150.0,,,,10964,-7441,4195
2015-03-27,4,2014,,-44895,108410,99335.0,78726,9075,68191,70743,0.57,,,60205,-1842.0,,-1842.0,2014年度,64171,142897,111589,160973,130894,-6518,5802001,7185601,1383600,1383600,1252706,,8016.0,,0.57,,64171,0.57,124376,,,33.0,,68191,-47418,-18076
2015-05-11,1,2015,,-1502,10443,,-104183,2795,16276,-104183,0.04,,-104183.0,12141,,1059.0,-1059.0,2015年01月01日至2015年03月31日,-11110,-115293,8242,-87057,9425,-8394,1337147,1637948,300801,300801,291376,,,7648.0,,,-11110,,1031,,,,0.0,16276,-19352,-28236
2015-08-11,2,2015,,-4595,8348,,-34261,135,15653,-34261,0.02,,-34261.0,8989,,5468.0,-5468.0,2015年第2季,-12872,-47133,3155,-31215,13485,-17368,1299643,1614879,315236,315236,301751,,,8213.0,0.01,,-12872,,-3883,,,,0.0,15653,-16027,-15918
2015-11-10,3,2015,,-2009,13090,,29891,4914,16372,29891,0.14,,29891.0,21419,,1050.0,-1050.0,2015年第3季,15689,45580,28850,48779,43449,-6341,1711211,2084851,373640,373640,330191,,,8176.0,0.14,,15689,,37108,,,,0.0,16372,-13161,-3199
2016-03-24,4,2015,2538.0,45027,24225,13299.0,-232627,10926,68529,-235165,0.01,,-235165.0,41742,,7828.0,-7828.0,2015年度,-55528,-288155,2438,-218652,-6681,-7105,5550966,6891698,1340732,1340732,1347413,3159.0,,,0.01,,-55528,0.01,-13786,,621.0,,0.0,68529,-57966,-69503
2016-05-11,1,2016,,-31025,5134,,-21491,1390,19851,-21491,0.03,,-21491.0,11362,,0.0,0.0,2016年01月01日至2016年03月31日,-28523,-50014,6301,-10040,28581,-45742,1363773,1671550,307777,307777,279196,,,3744.0,,,-28523,,-17161,,,,,19851,-34824,-39974
2016-08-12,2,2016,,11014,7248,,-45409,3522,21040,-45409,0.06,,-45409.0,17426,,0.0,0.0,2016年第2季,-8107,-53516,13418,-19703,12097,-2778,1381720,1688452,306732,306732,294635,,,3726.0,0.06,,-8107,,9319,,,,,21040,-21525,-33813
2016-11-11,3,2016,,-40598,3850,,-50650,2147,9207,-50650,0.25,,-50650.0,35691,,0.0,0.0,2016年第3季,35347,-15303,52805,13376,116993,-45955,1623340,2042728,419388,419388,302395,,,1703.0,0.25,,35347,,71038,,,,0.0,9207,-17458,-28679
