date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,其他費損,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,遞延所得稅費用（利益）,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,762,6325,13031,,,197359,,654.0,190188,0.83,,125399,,6409.0,5527,,248444,2013年01月01日至2013年03月31日,,338042,535401,,337555,534914,439212,24229,3048719,4135404,1086685,1086685,647473,,85980,,0.0,313049,338042,463441,,0.0,654,,487,487
2013-08-07,2,2013,,,-1146,3010,2783,0.0,0.0,160768,0.0,,157817,0.77,,162940,,4097.0,6849,,254869,2013年04月01日至2013年06月30日,,317995,478763,0.0,314367,475130,468516,12419,3620409,4796925,1176516,1176516,708000,,140005,,0.0,313126,317995,480935,,0.0,223,,3628,3633
2013-11-07,3,2013,,,909,79585,15342,0.0,0.0,-52697,0.0,,-50419,1.19,,109031,,-3187.0,9603,,289398,2013年07月01日至2013年09月30日,,493770,441073,,486613,433916,498405,104396,3844745,5107200,1262455,1262455,764050,,124264,,0.0,350388,493770,602801,,0.0,134,,7157,7157
2014-03-20,4,2013,,0.0,-1963,95117,48692,,,398670,,,367417,4.19,,512116,,997.0,23353,,1099079,2013年01月01日至2013年12月31日,,1729560,2128230,,1713497,2112162,2075116,166560,14822340,19914341,5092001,5092001,3016885,747244.0,477818,,38818.0,1439988,1729560,2241676,,6599.0,602,-235128.0,16063,16068
2014-05-08,1,2014,,0.0,5665,22001,10055,,,102358,,59.0,95456,1.07,,131282,,1237.0,5740,,268499,2014年01月01日至2014年03月31日,,445609,547967,,437932,540290,539154,37737,3682855,4981765,1298910,1298910,759756,73438.0,117681,,0.0,373576,445609,576891,,0.0,59,57844.0,7677,7677
2014-08-07,2,2014,,0.0,11768,13822,14935,,,-140220,,,-156936,1.1,,199500,,4948.0,-3486,,357787,2014年第2季,,459924,319704,,448601,308381,634160,25264,4041325,5499427,1458102,1458102,823942,248672.0,128938,,,337217,459924,659424,,,7,-49172.0,11323,11323
2014-11-06,3,2014,,0.0,4866,43555,20392,,,150696,,,151103,1.72,,184837,,-5273.0,157,,289951,2014年第3季,,712257,862953,,702285,852981,832990,64104,4986198,6708578,1722380,1722380,889390,182853.0,159733,,,439706,712257,897094,,,0,1984.0,9972,9972
2015-03-20,4,2014,,0.0,21205,118377,50260,,,424115,,,448703,4.95,,814057,,-210.0,11366,,1298809,2014年度,,2054837,2478952,,2021698,2445811,2688951,179943,17695202,23875782,6180580,6180580,3491629,749042.0,578827,,-54919.0,1613993,2054837,2868894,,-9336.0,60,65015.0,33139,33141
2015-05-07,1,2015,,0.0,391,7988,20342,,,-128427,,46.0,-125919,1.21,-128427.0,170565,,,-9651,-2899.0,379362,2015年01月01日至2015年03月31日,53753.0,501965,373538,,492589,364162,653897,18633,4245489,5813506,1568017,1568017,914120,,145957,,,388801,501965,672530,,,46,116812.0,9376,9376
2015-08-11,2,2015,,0.0,-969,5901,11346,,,-88936,,,-84471,1.1,-88936.0,140780,,,5209,-3496.0,362812,2015年第2季,216767.0,455927,366991,,449820,360884,574258,22449,3978611,5462646,1484035,1484035,909777,,158520,,,388445,455927,596707,,,7,-75987.0,6107,6107
