date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,25790,12099,21875,26355,2.76,,33850,0.0,34361,2013年01月01日至2013年03月31日,143743,165618,142691,164566,140121,37472,864316,1117902,253586,253586,113465,22692,,,2.76,56412,143743,177593,,4480.0,,417,1052,1052
2013-08-06,2,2013,,9540,5857,12739,15349,3.42,,57343,0.0,26039,2013年04月01日至2013年06月30日,187794,200533,185444,198183,229749,15388,981735,1315400,333665,333665,103916,22933,,,3.42,54944,187794,245137,,2610.0,,9,2350,2350
2013-11-01,3,2013,,-35550,8368,2528,3046,4.54,,72013,0.0,35394,2013年07月01日至2013年09月30日,249834,252362,246228,248756,349335,-27488,1374321,1859498,485177,485177,135842,27396,,,4.53,73052,249834,321847,,518.0,,306,3606,3606
2014-03-10,4,2013,,2253,65276,4447,670,13.05,,203316,0.0,129340,2013年01月01日至2013年12月31日,719179,723626,708132,712579,856518,65977,4168762,5555076,1386314,1386314,529796,100344,,4688.0,13.0,300112,719179,922495,,911.0,,1552,11047,11047
2014-04-30,1,2014,,34832,9951,-6143,-7401,2.45,,36966,,35082,2014年01月01日至2014年03月31日,150335,144192,148599,142456,142664,44637,960054,1237281,277227,277227,134563,27314,,,2.45,72167,150335,187301,,-1258.0,,146,1736,1736
2014-08-08,2,2014,,-19759,10238,-10997,-11992,2.76,,58581,,31678,2014年第2季,169430,158433,167159,156162,237532,-9521,1121048,1489637,368589,368589,131057,28118,,,2.76,71261,169430,228011,,-995.0,,0,2271,2271
2014-10-30,3,2014,,14874,9190,18975,25114,4.88,,77360,,39593,2014年第3季,297318,316293,295160,314135,350614,24064,1422061,1925540,503479,503479,152865,28213,,,4.87,85059,297318,374678,,6139.0,,0,2158,2158
2015-03-16,4,2014,,84838,49255,43159,28995,13.7,,239469,,129988,2014年度,837310,880469,829346,872505,943106,133673,4733890,6246366,1512476,1512476,569370,108326,,23003.0,13.65,331056,837310,1076779,,8839.0,,420,7964,7964
2015-04-30,1,2015,,-15912,13273,-5217,-6286,1.91,-5217.0,35505,,32191,2015年01月01日至2015年03月31日,117991,112774,115891,110674,156135,-2639,985171,1283866,298695,298695,142560,25650,,,1.91,84719,117991,153496,,,-1069.0,0,2100,2100
2015-08-07,2,2015,,-18502,11167,-6736,-8115,3.2,-6736.0,65253,,41648,2015年第2季,196009,189273,193352,186616,268597,-7335,1176979,1595408,418429,418429,149832,28418,,,3.19,79766,196009,261262,,,-1379.0,0,2657,2657
2015-11-05,3,2015,,155024,19547,24916,30019,6.15,24916.0,119581,,35103,2015年第3季,374361,399277,372352,397268,319759,174183,1270735,1738608,467873,467873,148114,28068,,,6.13,84943,374361,493942,,,5103.0,388,2009,2009
2016-03-03,4,2015,-10887.0,138213,63021,-12524,-1972,14.19,-1637.0,268642,,147146,2015年度,868605,856081,858975,846451,937273,199974,4468776,6017442,1548666,1548666,611393,117807,-17829.0,,14.1,346440,868605,1137247,-6942.0,,-335.0,1260,9630,9630
2016-05-03,1,2016,,-60206,13159,-15159,-18264,1.46,-15159.0,32528,,36243,2016年01月01日至2016年03月31日,91106,75947,88506,73347,171400,-47766,897414,1225525,328111,328111,156711,28651,,,1.46,91817,91106,123634,,,-3105.0,719,2600,2600
2016-08-10,2,2016,,16102,36087,-19620,-23638,4.25,-19620.0,100533,,40694,2016年第2季,258568,238948,256872,237252,307842,51259,1142306,1597213,454907,454907,147065,27356,,,4.23,79015,258568,359101,,,-4018.0,930,1696,1696
2016-11-09,3,2016,,-74701,21011,-21320,-25687,4.26,-21320.0,70996,-1493.0,26827,2016年第3季,258310,236990,257745,236425,386010,-56704,1330729,1848005,517276,517276,131266,28122,,,4.25,76317,258310,329306,,,-4367.0,1521,565,565
