date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備損失,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,405.0,0.0,67515,14951,12789.0,52743,360.0,9896.0,52743,1.13,66594.0,0.0,,36940,,,133985,2013年01月01日至2013年03月31日,147436,200179,109012,146836,111806,72570,928732,1265924,337192,337192,225386,26546,,,1802.0,1.11,64855,147436,184376,,,,0.0,0.0,9896,1326.0,38424,53343
2013-08-07,2,2013,,,0.0,25616,4817,,17439,,,17439,0.83,,,,55766,,,144926,2013年04月01日至2013年06月30日,111395,128834,79679,92794,146393,20768,1190892,1565897,375005,375005,228612,28685,,,,0.81,55001,111395,167161,,,,,,9665,,31716,36040
2013-11-12,3,2013,,,0.0,-20743,7409,,-13818,,,-13818,0.83,,,,23644,,,150650,2013年07月01日至2013年09月30日,101014,87196,79872,69419,148473,-23815,1072528,1446553,374025,374025,225552,31377,,,,0.82,43525,101014,124658,,,,,,10481,,21142,17777
2014-03-18,4,2013,,,0.0,104288,33042,,82470,,,73829,4.05,,,,146625,,,585603,2013年01月01日至2013年12月31日,534051,616521,390078,452805,583495,97181,4365494,5882764,1517270,1517270,933775,114183,,10397.0,,3.99,233989,534051,680676,,1756.0,,,,40149,,143973,163716
2014-05-13,1,2014,,,,31990,4788,,1662,,,1662,1.2,,,,37704,,,152334,2014年01月01日至2014年03月31日,163035,164697,116554,118383,174610,26129,1200290,1624918,424628,424628,250018,33499,,,,1.19,64185,163035,200739,,,,,,10649,,46481,46314
2014-08-12,2,2014,,,,-43706,25306,,-22315,,,-22315,1.28,,,,52184,,,208538,2014年第2季,148633,126318,124013,106598,230866,-30049,1426795,1969106,542311,542311,311445,38372,,,,1.27,64535,148633,200817,,,,,,11649,,24620,19720
2014-11-11,3,2014,,,,32346,15161,,28767,,,28767,1.6,,,,50519,,,178824,2014年第3季,199314,228081,159432,181706,215007,34826,1455163,1947451,492288,492288,277281,32924,,,,1.58,65533,199314,249833,,,,,,12681,,39882,46375
2015-03-11,4,2014,,,,86710,160214,,41587,,,52385,6.88,,,,246393,,,760207,2014年度,851512,893099,685834,721464,898287,199618,5740018,7817221,2077203,2077203,1178916,146196,,-11792.0,,6.81,272513,851512,1097905,,-994.0,,,,47306,,165678,171635
2015-05-13,1,2015,,,,-73207,118366,,-13218,,,-13218,1.28,,,-13218.0,50622,,,190594,2015年第1季,160200,146982,127646,117078,178363,32459,1320637,1808125,487488,487488,309125,42968,,,,1.2,75563,160200,210822,,,,,,12700,,32554,29904
2015-08-07,2,2015,,,,-45132,12209,,-19532,,,-19532,0.83,,,-19532.0,58336,,,178749,2015年第2季,90664,71132,83472,68018,196942,-47942,1391077,1877425,486348,486348,289406,42366,,,,0.8,68291,90664,149000,,,,,,15019,,7192,3114
2015-11-06,3,2015,,,,212349,19132,,65085,,,65085,2.84,,,65085.0,77679,,,149154,2015年第3季,368841,433926,283608,335184,231649,214871,1196566,1672578,476012,476012,244363,27781,,,,2.67,67428,368841,446520,,,,,,16610,,85233,98742
2016-03-09,4,2015,-1804.0,,,53635,184765,,-17732,,,-18211,6.21,,,-15928.0,220280,44.0,44.0,685640,2015年度,770900,753168,621652,610832,813957,177223,5223030,7160488,1937458,1937458,1123501,151871,-2218.0,,,5.88,285990,770900,991180,-370.0,,-2283.0,,,61177,,149248,142336
2016-05-11,1,2016,,,,-46750,17714,,-10781,,,-11575,0.55,,,-10781.0,11827,,,133342,2016年01月01日至2016年03月31日,69926,59145,54799,46287,128725,-46972,989380,1352319,362939,362939,234214,31418,,,,0.53,69454,69926,81753,,,-794.0,,,17936,,15127,12858
2016-08-03,2,2016,,,,-15507,30544,,-31555,,,-34840,0.45,,,-31555.0,106191,,,143989,2016年第2季,69792,38237,45188,23858,177090,-1107,1226452,1659942,433490,433490,256400,45567,,,,0.44,66844,69792,175983,,,-3285.0,,,16144,,24604,14379
2016-11-04,3,2016,,,,-84727,16630,,-46495,,,-51478,0.31,,,-46495.0,19570,,,171344,2016年第3季,46532,37,33716,903,147870,-81768,1204272,1625982,421710,421710,273840,30546,,,,0.31,71950,46532,66102,,,-4983.0,,,13671,,12816,-866
