date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他綜合損益,其他綜合損益（淨額）,其他費用,利息費用,勞務成本合計,勞務收入合計,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,裝置成本,裝置收入,裝置收入淨額,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,0.0,1184,,,,2588,,,,1184,,1943.0,,5151.0,0.07,,3106.0,,,1678,,,8297,2013年01月01日至2013年03月31日,,8195,9379,8195,9379,3106.0,,9228,645,748509,784403,35894,35894,26666,1678.0,1039,,,379.0,379,611.0,611,,0.07,,17330,8195,9873,,0.0,,,5151.0,5151.0,1943.0,745024.0,745024,449,782278.0,782278,778641,3188,0.0,0.0
2013-08-09,2,2013,,,1288,,,3155.0,3328,,,0.0,1288,,1793.0,1583.0,2789.0,0.03,0.03,,,,4615,,,10594,2013年04月01日至2013年06月30日,,3648,4936,3648,4936,,,3573,4690,640201,670476,30275,30275,26702,,1070,,,379.0,379,,611,,0.03,0.03,15038,3648,8263,,,,1583.0,2789.0,2789.0,1793.0,638239.0,638239,3369,,670464,667076,19,,
2013-11-06,3,2013,,,-659,,,-1368.0,6523,,,,-659,,1847.0,1099.0,0.0,-0.03,-0.03,,,,617,,,8477,2013年07月01日至2013年09月30日,,-2925,-3584,-2925,-3584,,,-5616,3308,603048,620429,17381,17381,22997,,1177,,,380.0,380,578.0,578,,-0.03,-0.03,13343,-2925,-2308,,,,1099.0,0.0,0.0,1847.0,601569.0,601569,3438,,623674,619851,385,,
2014-03-12,4,2013,,,1631,,,4111.0,10020,,,,1029,,7555.0,,,0.27,,14342.0,20211.0,,9386,0.0,,37518,2013年01月01日至2013年12月31日,,30614,31643,30614,30614,14342.0,20211.0,33424,6576,2762316,2899676,137360,137360,103936,,4470,,-726.0,1517.0,1517,,2310,,0.27,,61948,30614,40000,,-124.0,,,,,7555.0,,2746457,12512,,2890529,2877155,862,,1029.0
2014-05-07,1,2014,,,357,,,44475.0,75,,,,357,,1803.0,,3998.0,0.32,,2680.0,,,3312,,,8806,2014年01月01日至2014年03月31日,,36131,36488,36131,36488,2680.0,,-3304,42747,628606,651927,23321,23321,26625,,1234,,,379.0,379,,511,,0.32,,16585,36131,39443,,0.0,,,,3998.0,1803.0,625547.0,625547,3900,651318.0,651318,647418,0,,0.0
2014-08-06,2,2014,,,674,,,1834.0,925,,,,674,,1887.0,,0.0,0.27,,22.0,,,3276,,,9988,2014年第2季,,30538,31212,30538,31212,22.0,,32942,872,652194,712840,60646,60646,27704,,1183,,,379.0,379,,511,,0.27,,16533,30538,33814,,0.0,,,,0.0,1887.0,651793.0,651793,3831,716183.0,716183,712329,23,,
2014-11-12,3,2014,,,-1320,,,1972.0,7558,,,,-1320,,1653.0,,6805.0,0.01,,4820.0,,,95,,,9597,2014年第3季,,1036,-284,1036,-284,4820.0,,-6746,7877,638472,656309,17837,17837,24583,,1132,,,380.0,380,,511,,0.01,,13854,1036,1131,,0.0,,,,6805.0,1653.0,633272.0,633272,3323,652370.0,652370,648993,54,,
2015-03-16,4,2014,,,686,0.0,0.0,51404.0,8669,,0.0,,311,,,8257.0,12178.0,0.74,,,,,7654,,-7068.0,37601,2014年度,,83230,83541,83230,83541,,,37879,53005,2584948,2728035,143087,143087,105208,,4836,,-452.0,1517.0,1517,,2043,,0.74,,62771,83230,90884,,-77.0,,8257.0,,12178.0,,,2575174,15057,,2728966,2713814,95,0.0,0.0
2015-05-13,1,2015,,,1464,,,-4690.0,68,68.0,,,1464,0.0,1566.0,,13681.0,0.0,,11061.0,,1464.0,8,,,10333,2015年01月01日至2015年03月31日,,38,1502,38,1502,11061.0,,6234,-6188,579187,614192,35005,35005,28771,,1411,,,,379,,538,0.0,0.0,,17027,38,46,,,,,,13681.0,1566.0,567747.0,567747,3361,603334.0,603334,599973,0,,
2015-08-11,2,2015,,0.0,-957,0.0,0.0,-6122.0,966,966.0,,,-957,,1583.0,0.0,0.0,0.0,,,,-957.0,-189,,,9658,2015年第2季,-189.0,488,-469,488,-469,,,7038,-6739,544145,576558,32413,32413,25375,,1235,,,379.0,379,524.0,524,,0.0,,14482,488,299,,,0.0,0.0,0.0,0.0,1583.0,543766.0,543766,4780,,580834,576034,20,0.0,0.0
