date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,加工成本,加工收入淨額,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,技術服務收入,技術服務收入淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-547,-2048,12476,174322,2136.0,3732.0,2136.0,4036.0,174869,0.6,,73613,304.0,304.0,429648,2013年01月01日至2013年03月31日,148329,322651,148081,317497,234161,-12219,1989829,2917694,927865,927865,693704,28253,,,0.6,235803,148329,221942,,,,22647,1987693.0,49311.0,2976618.0,2913658.0,13649.0,248,5154
2013-08-14,2,2013,,-751,10863,17148,-14519,,,,,-13768,0.84,,146682,,,458725,2013年04月01日至2013年06月30日,226892,212373,208621,191817,368517,5057,2307355,3413818,1106463,1106463,737946,23502,,,0.84,255719,226892,373574,,0.0,,22954,,,,,,18271,20556
2013-11-12,3,2013,,-64,-3636,17360,-60948,,,,,-60884,1.05,,126691,,,493081,2013年07月01日至2013年09月30日,274555,213607,260490,201193,411574,-10328,2429338,3610616,1181278,1181278,769704,28459,,,1.05,248164,274555,401246,,0.0,,24052,,,,,,14065,12414
2014-03-18,4,2013,,-137,-42683,77818,102365,,,,,124052,3.44,,428551,,,1838043,2013年01月01日至2013年12月31日,899546,1001911,854366,948536,1387009,-58912,9100697,13426115,4325418,4325418,2938409,110587,,-21550.0,3.44,989779,899546,1328097,,0.0,,94047,,,,,,45180,53375
2014-05-12,1,2014,,205,-32019,40058,19617,,,,,19412,0.84,,95375,,,481562,2014年01月01日至2014年03月31日,215580,235197,209263,229574,329388,-18433,2266491,3362458,1095967,1095967,766579,28592,,,0.84,256425,215580,310955,,0.0,,26472,,,,,,6317,5623
2014-08-14,2,2014,,342,4095,29735,-95366,,,,,-95708,1.09,,167061,,,528921,2014年第2季,290359,194993,270734,178340,452052,5368,2516412,3797079,1280667,1280667,828615,31319,,,1.09,268375,290359,457420,,0.0,,28462,,,,,,19625,16653
2014-11-11,3,2014,,-1983,35696,31083,104525,,,,,106508,0.95,,146914,,,559618,2014年第3季,255288,359813,235190,335879,374802,27400,2607534,3864379,1256845,1256845,882043,30730,,,0.95,291695,255288,402202,,0.0,,39379,,,,,,20098,23934
2015-03-20,4,2014,,-820,-30377,157000,165608,,,,,177728,3.82,,569866,,,2094263,2014年度,1008737,1174345,948634,1109117,1577941,662,9913530,14831846,4918316,4918316,3340375,125678,,-11300.0,3.82,1120434,1008737,1578603,,0.0,,125961,,,,,,60103,65228
2015-05-13,1,2015,,-273,-22639,29546,-48484,,,,,-48211,1.17,-48484.0,78820,,,546852,2015年01月01日至2015年03月31日,289379,240895,289175,242272,398732,-30533,2327856,3574556,1246700,1246700,847968,31592,,,1.16,269524,289379,368199,,,0.0,37440,,,,,,204,-1377
2015-08-13,2,2015,,-355,2805,50970,-134844,,,,,-134489,1.24,-134844.0,166052,,,561316,2015年第2季,329397,194553,306851,175270,480461,14988,2433663,3807228,1373565,1373565,893104,32462,,,1.24,299326,329397,495449,,,0.0,38787,,,,,,22546,19283
2015-11-13,3,2015,,-1380,-181479,51470,208872,,,,,210252,0.91,208872.0,148199,,,605843,2015年第3季,240051,448923,224837,428734,553367,-165117,2600606,4091717,1491111,1491111,937744,35793,,,0.91,296108,240051,388250,,,0.0,35108,,,,,,15214,20189
2016-03-17,4,2015,-27724.0,-738,-248047,184129,-177248,,,,,-148786,4.49,-149524.0,577080,,,2326392,2015年度,1163961,986713,1112850,940307,1955419,-214378,9871293,15479543,5608250,5608250,3652831,139141,-27724.0,,4.48,1187298,1163961,1741041,0.0,,0.0,150460,,,,,,51111,46406
2016-05-12,1,2016,0.0,-1543,-51242,52983,-13012,,,,,-11469,1.16,-13012.0,145955,,,575025,2016年01月01日至2016年03月31日,277797,264785,288739,276213,449614,-25862,2337820,3715766,1377946,1377946,928332,38305,,,1.16,315002,277797,423752,0.0,,0.0,27603,,,,,,-10942,-11428
2016-08-12,2,2016,0.0,-766,-60716,37101,-118219,,,,,-117453,1.38,-118219.0,189587,,,633531,2016年第2季,355926,237707,343057,228626,597001,-51488,2555689,4146289,1590600,1590600,993599,35028,,,1.38,325040,355926,545513,0.0,,0.0,27873,,,,,,12869,9081
2016-11-11,3,2016,0.0,-81,-36535,36474,-207336,,,,,-207255,1.22,-207336.0,184631,,,613782,2016年第3季,312999,105663,303826,101178,519583,-21953,2658764,4147015,1488251,1488251,968668,33336,,,1.22,321550,312999,497630,0.0,,0.0,21892,,,,,,9173,4485
