date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產重分類淨損益,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,,230,35388,21419,21419,38519,21826.0,38289,0.43,34197.0,,,55686,,,,-2185,,,,690151,2013年01月01日至2013年03月31日,140520,179039,,142589,181108,,163410,32796,2867844,3785050,917206,917206,753796,29189,,,0.43,34456,140520,196206,,,,0,210.0,1401,,21826,,,,,,,,,,,-2069,-2069
2013-08-06,2,2013,,,,-3097,-41765,25744,25744,-24894,22387.0,-21797,0.2,,43146.0,,6750,,,,-1424,,,,768631,2013年04月01日至2013年06月30日,67275,42381,,66307,41413,,113857,-39832,2791102,3763534,972432,972432,858575,33794,,,0.2,56150,67275,74025,,,,1378,,3,,22387,,,,,35979.0,3805307.0,3805307.0,3763534.0,5794.0,,968,968
2013-11-11,3,2013,,,,5044,-10231,43682,43682,-11250,6684.0,-16294,0.39,,-739.0,,51225,,,,-1774,,,,788736,2013年07月01日至2013年09月30日,129647,118397,,128893,117643,0.0,155879,24993,3152662,4183411,1030749,1030749,874870,43254,,,0.36,42880,129647,180872,,,,434,,-1,11763.0,6684,,-360.0,,0.0,,,,4183411.0,,0.0,754,754
2014-03-21,4,2013,,,15493.0,4564,-74767,27281,27281,21119,76606.0,-1291,1.37,0.0,54720.0,,153692,,,741.0,-3469,,,,2974386,2013年01月01日至2013年12月31日,444020,465139,,455830,476751,0.0,725273,-127561,11723772,15720588,3996816,3996816,3271543,133822,,20609.0,1.27,163335,444020,597712,,3504.0,,976,,-10328,0.0,76606,4798.0,0.0,,,,,,,,,-11810,-11612
2014-05-07,1,2014,,,-167.0,556,69238,15788,15788,23887,,23038,0.61,44823.0,,,39859,,,293.0,-1387,,,,789658,2014年01月01日至2014年03月31日,204781,228668,,203737,227624,,186418,58222,3277280,4343229,1065949,1065949,879531,45069,,,0.59,44804,204781,244640,,,,22822,,706,,25417,720.0,,,,,,,,,,1044,1044
2014-08-08,2,2014,,,2005.0,-605,-9972,14704,14704,-16157,27314.0,-16926,0.36,,11089.0,,20949,,,1374.0,-1440,,,,789763,2014年第2季,121298,105141,,120158,105180,,166269,-24022,3419500,4475975,1056475,1056475,890206,43092,,,0.31,57351,121298,142247,,,,-5,,618,,27314,2509.0,,,,0.0,4475975.0,4475975.0,4475975.0,0.0,,1140,-39
2014-11-10,3,2014,,,2098.0,-283,-39474,21790,21790,-10949,28368.0,-9665,0.23,,37970.0,,25093,,,-1001.0,945,,,,786934,2014年第3季,79857,68908,,77326,65198,0.0,150057,-45107,3281481,4324663,1043182,1043182,893125,52503,,,0.19,53688,79857,104950,,,,-45,,863,0.0,28368,-224.0,0.0,,0.0,,,,4324663.0,,0.0,2531,3710
2015-03-20,4,2014,,,24661.0,-431,-31621,63073,63073,42653,109135.0,22182,1.51,0.0,34115.0,,149366,,,409.0,3042,,,,3297935,2014年度,511532,554185,,506505,548456,0.0,735539,-74641,12905331,17287684,4382353,4382353,3646814,176741,,24324.0,1.29,172138,511532,660898,,3831.0,,22644,,2187,0.0,109135,2324.0,0.0,,,,,,,,,5027,5729
2015-05-08,1,2015,0.0,0.0,1931.0,658,-234699,25811,25811,-47087,,-48125,0.04,-233198.0,,-47087.0,-87472,0.0,0.0,,-1732,380.0,0.0,0.0,832028,2015年01月01日至2015年03月31日,14155,-32932,0.0,12496,-34591,,166272,-239589,3625467,4711097,1085630,1085630,919358,48902,0.0,,0.03,38428,14155,-73317,0.0,,0.0,-900,,0,,28969,1330.0,,0.0,0.0,,,,,,0.0,1659,1659
2015-08-11,2,2015,,,3153.0,17,39868,23003,23003,-25315,31137.0,-24060,0.35,,-45091.0,-25315.0,85768,,,,-1256,-1272.0,,,885119,2015年第2季,121406,96091,,121543,96228,,176696,30478,3285914,4455199,1169285,1169285,992589,50776,,,0.3,56694,121406,207174,,,,-1036,,0,,31137,-1034.0,,,,0.0,4455199.0,4455199.0,4455199.0,0.0,,-137,-137
2015-11-09,3,2015,0.0,0.0,1654.0,301,-120361,14297,14297,49236,30917.0,50445,0.05,,118184.0,49236.0,49889,0.0,0.0,,-526,-1510.0,,,877113,2015年第3季,19780,69016,0.0,17029,66380,0.0,207176,-137507,3109760,4295836,1186076,1186076,978900,52354,0.0,,0.04,49433,19780,69669,0.0,,0.0,-317,,0,0.0,30917,-206.0,0.0,0.0,0.0,,,,4295836.0,,0.0,2751,2636
2016-03-25,4,2015,,-55836.0,13806.0,-1687,-224948,107277,107277,-125358,116191.0,-67835,1.03,,252955.0,-69522.0,82680,,-1062.0,,3455,,,,3590281,2015年度,360503,235145,,352733,228952,0.0,673590,-230407,13057664,17731881,4674217,4674217,4000627,190986,-65992.0,,0.89,219360,360503,443183,-11218.0,,,42109,,0,0.0,116191,-296.0,0.0,,,,,,,,,7770,6193
2016-05-06,1,2016,0.0,0.0,64128.0,441,688,18354,18354,-17932,,-19499,0.46,61450.0,0.0,-17932.0,6303,0.0,0.0,,-706,1126.0,0.0,0.0,870169,2016年01月01日至2016年03月31日,163685,145753,0.0,160328,142331,,180068,-10080,3057636,4200829,1143193,1143193,963125,41681,0.0,,0.4,51275,163685,169988,0.0,,0.0,1514,,0,,28416,1852.0,,0.0,0.0,,,,,,0.0,3357,3422
