date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,工程成本,工程收入淨額,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,,25000,81454,13829,1950,70028,45028,2.02,77829,75010,,,65930,-4789,146168,2013年01月01日至2013年03月31日,,319340,389368,326455,396540,77829,75010,294846,90424,1524362,2061544,537182,537182,244286,41960,,,2.01,56158,319340,385270,,,70,1446533,14777.0,2011290,1986534,9979.0,-7115,-7172
2013-08-08,2,2013,,0.0,21500,-11616,21909,1445,40986,19486,1.12,94236,68291,0.0,,80445,-11202,144580,2013年04月01日至2013年06月30日,0.0,182817,223803,181307,222268,94236,68291,264284,-1022,1444077,1939101,495024,495024,232185,46047,,,1.12,41558,182817,263262,,,113,1349841,,1870810,1870810,,1510,1535
2013-11-11,3,2013,,,-22250,-22546,29187,263,-42747,-20497,1.58,26898,33012,,,39486,-1778,153524,2013年07月01日至2013年09月30日,,254043,211296,256445,213604,26898,33012,288741,4788,1444799,1983672,538873,538873,250395,46711,,,1.58,50160,254043,293529,,,75,1417901,21594.0,1985251,1950660,12997.0,-2402,-2308
2013-11-11,3,2014,,,-9030,-27194,27732,0,34164,43194,1.49,44809,58334,,,43851,1271,160595,2014年第3季,,241935,276099,241935,276099,44809,58334,284191,1595,1501919,2051143,549224,549224,265033,40000,,,1.49,64438,241935,285786,,,214,1457110,,1992809,1992809,,0,0
2014-03-26,4,2013,,,22500,53952,82979,0,101290,69934,6.33,234713,234182,,,244122,-16026,657066,2013年01月01日至2013年12月31日,,1015397,1116687,1025137,1126441,234713,234182,1139118,120401,5955886,8146688,2190802,2190802,1051684,190752,,10670.0,6.32,203866,1015397,1259519,1814.0,,504,5721173,,7912506,7912506,,-9740,-9754
2014-05-08,1,2014,,,-12509,-40692,14835,3188,23676,36185,1.58,37268,76715,,,89234,-2111,118531,2014年01月01日至2014年03月31日,,256711,280387,256711,280387,37268,76715,374204,-28259,1415414,2009469,594055,594055,223039,50764,,,1.58,53744,256711,345945,,,291,1378146,,1932754,1932754,,0,0
2014-08-12,2,2014,,0.0,-11243,-3681,16477,-3188,-57103,-45860,1.78,42570,55374,,,40254,-1398,159191,2014年第2季,,287109,230006,287109,230006,42570,55374,316173,11190,1476964,2060124,583160,583160,263799,42993,,,1.78,61615,287109,327363,,,208,1434394,,2004750,2004750,,0,0
2015-03-24,4,2014,,,-38278,-135982,76696,0,54149,125056,6.39,163877,216824,,,206437,-3172,620999,2014年度,,1035039,1089188,1035039,1089188,163877,216824,1304806,-63330,5956748,8302606,2345858,2345858,1041052,173368,,-39312.0,6.38,246685,1035039,1241476,-6683.0,,872,5792871,,8085782,8085782,,0,0
2015-05-05,1,2015,,,-2634,-2432,14830,1183,-52693,-50059,1.34,49006,51118,,-52693.0,95391,163,196319,2015年01月01日至2015年03月31日,,216843,164150,216843,164150,49006,51118,299849,12385,1495586,2088232,592646,592646,293980,42732,,,1.34,54929,216843,312234,,,176,1446580,,2037114,2037114,,0,0
2015-08-11,2,2015,,0.0,-20840,-13935,13832,-1183,-60610,-39770,1.45,31612,40387,,-60610.0,85600,-72,169907,2015年第2季,,234607,173997,234607,173997,31612,40387,320448,-241,1405933,1996131,590198,590198,268567,37824,,,1.45,60836,234607,320207,,0.0,66,1374321,,1955744,1955744,,0,0
