date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,金融資產減損損失,金融資產重分類淨損益,銀行存款利息,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,1088,4383,6828,6828,8055,0,12055,1.03,4937,0.0,,25617,,-295.0,22148,,54953,2013年01月01日至2013年03月31日,137876,145931,137876,145931,,130264,33229,1319112,1577084,257972,257972,127708,8183,,,,64572,137876,163493,,3705.0,,534,0.0,,130,,0.0,,2643,1579727,1577084,0,0.0,0,0
2013-08-13,2,2013,,1059,895,3593,3593,4387,0,4546,1.0,2026,0.0,,35179,,-159.0,25206,,55666,2013年04月01日至2013年06月30日,133710,138097,133710,138097,,139304,29585,1366978,1639769,272791,272791,133487,8246,,,,69575,133710,168889,,0.0,,-72,0.0,,109,,,,4169,1644278,1639769,340,,0,0
2013-11-13,3,2013,,677,-1533,2503,2503,-4532,0,-4653,1.04,-856,0.0,,26907,,121.0,19939,,66931,2013年07月01日至2013年09月30日,137592,133060,137592,133060,,144126,20373,1492706,1780550,287844,287844,143718,7481,,,,69306,137592,164499,,0.0,,0,0.0,,536,,0.0,,1004,1781878,1780550,324,0.0,0,0
2014-03-19,4,2013,,3019,-2508,14049,13496,37894,553,22257,4.05,9650,0.0,,114779,,19421.0,85840,,232984,2013年01月01日至2013年12月31日,541150,579044,541150,579044,9600.0,559906,96023,5596840,6716622,1119782,1119782,559876,35274,,1996.0,,291618,541150,655929,,5780.0,,461,0.0,,1358,9600.0,0.0,553.0,9752,6727060,6716622,686,0.0,0,0
2014-04-30,1,2014,,215,5465,3575,3553,-3081,22,-1931,0.92,5251,0.0,,23750,,-1478.0,18046,,59355,2014年01月01日至2014年03月31日,123447,120366,123447,120366,,120890,26307,1489702,1749982,260280,260280,139390,7708,,,,72327,123447,147197,,-328.0,,429,0.0,,779,,0.0,22.0,1471,1751558,1749982,105,0.0,0,0
2014-08-13,2,2014,,463,-1711,2960,2916,-12589,44,-8528,0.77,0,2114.0,,23343,,-5511.0,14690,,67078,2014年第2季,115194,102605,115194,102605,,123086,15451,1504414,1786555,282141,282141,159055,8963,,,,83014,115194,138537,,-1450.0,,866,0.0,,488,,0.0,44.0,1868,1788423,1786555,0,0.0,0,0
2014-11-05,3,2014,,225,7234,1981,1953,20121,28,13770,1.01,7406,0.0,,31809,,8692.0,16150,,80726,2014年第3季,151603,171724,151603,171724,,158452,24960,1603744,1945534,341790,341790,183338,9719,,,,92893,151603,183412,,2341.0,,53,0.0,,405,,0.0,28.0,1899,1948952,1945534,1519,0.0,0,0
2015-03-11,4,2014,,1193,13158,13982,13820,16915,162,16913,3.5,25325,0.0,,99424,,11813.0,69656,,278616,2014年度,524255,541170,524255,541170,13000.0,529073,94606,6106552,7283315,1176763,1176763,647690,46871,,-10766.0,,322203,524255,623679,,1045.0,,2026,0.0,,2190,13000.0,0.0,162.0,7195,7292134,7283315,1624,0.0,0,0
2015-04-28,1,2015,,33,-2865,3311,3192,-7259,119,-4801,0.9,0,2806.0,-7259.0,26717,,,12309,-3274.0,64781,2015年01月01日至2015年03月31日,135634,128375,135634,128375,,149786,12565,1313102,1625921,312819,312819,163033,14978,,,,83274,135634,162351,,,-816.0,0,26.0,,190,,0.0,119.0,2130,1628096,1625921,45,0.0,0,0
2015-08-06,2,2015,,46,-5530,3996,3637,-10373,359,-6858,1.02,0,5484.0,-10373.0,35523,,,12564,-4681.0,73044,2015年第2季,153204,142831,153204,142831,,177770,10957,1322818,1680987,358169,358169,180399,13510,,,,93845,153204,188727,,,-1166.0,0,0.0,,73,,0.0,359.0,2603,1683624,1680987,34,0.0,0,0
2015-10-28,3,2015,,76,28357,19513,19359,29859,154,20287,1.06,28023,,29859.0,31281,,,18703,13021.0,68836,2015年第3季,160331,190190,160331,190190,,125273,66339,1330636,1633461,302825,302825,177552,17519,,,,91197,160331,191612,,,3449.0,410,,,234,,0.0,154.0,1266,1634727,1633461,0,0.0,0,0
2016-03-02,4,2015,-4291.0,200,37610,17339,16190,-13520,1149,-6988,4.08,21925,0.0,-9229.0,132007,-124.0,,62101,-3429.0,278529,2015年度,611908,598388,611908,598388,0.0,627406,116509,5181352,6498135,1316783,1316783,689377,63476,-5020.0,,,347372,611908,743915,-853.0,,-1188.0,1240,0.0,14645.0,541,0.0,0.0,1149.0,6997,6505771,6498135,639,0.0,0,0
2016-04-26,1,2016,,135,-19517,3652,2982,-12019,670,-5072,1.12,0,9377.0,-12019.0,34737,,,9588,-7809.0,65607,2016年01月01日至2016年03月31日,168397,156378,168397,156378,10000.0,209420,-6286,1081007,1471508,390501,390501,181081,19413,,,,96061,168397,203134,,,-862.0,0,5.0,,9,10000.0,0.0,670.0,1051,1472559,1471508,0,0.0,0,0
2016-08-09,2,2016,,481,2512,3083,2272,-17864,811,-12820,1.35,2993,0.0,-17864.0,49821,,,9512,-7223.0,71690,2016年第2季,202586,184722,202586,184722,0.0,237309,15098,1090811,1511335,420524,420524,183215,17450,,,1.34,94075,202586,252407,,,-2179.0,0,0.0,,9,0.0,0.0,811.0,2310,1513650,1511335,5,0.0,0,0
2016-10-21,3,2016,0.0,953,-20166,20043,19258,-21601,785,-15480,1.33,0,19213.0,-21601.0,36731,0.0,,10395,-8753.0,72193,2016年第3季,199300,177699,199300,177699,0.0,226053,9978,1116332,1530494,414162,414162,188109,19957,0.0,,1.32,95959,199300,236031,0.0,,-2632.0,0,0.0,0.0,294,0.0,0.0,785.0,1987,1533034,1530494,553,0.0,0,0
