date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,12111,75762,9598,399948,429035,0.32,,115306,-1211.0,12500,,673821,2013年01月01日至2013年03月31日,360894,760842,346509,554807,533199,-56999,8513055,10372360,1859305,1859305,1326106,30533,,,,621752,360894,476200,39987.0,,154859,14385,206035
2013-08-13,2,2013,,-8619,136213,3061,60071,73639,0.3,,113387,6850.0,18629,,549167,2013年04月01日至2013年06月30日,289054,349125,319636,368881,384280,18161,8738444,10378159,1639715,1639715,1255435,32695,,,,673573,289054,402441,11799.0,,139742,-30582,-19756
2013-11-12,3,2013,,2338,-52138,29302,47203,49845,0.23,,-5945,1780.0,24876,,560189,2013年07月01日至2013年09月30日,118233,165436,241977,277769,249095,-136807,9241518,10710806,1469288,1469288,1220193,29833,,,,630171,118233,112288,6760.0,,138847,-123744,-112333
2014-03-20,4,2013,,14982,234371,57089,867102,832210,1.12,,326661,17263.0,66302,,2637012,2013年01月01日至2013年12月31日,1116495,1983597,1201985,1762640,1654865,-211709,37093100,43763281,6670181,6670181,5015316,123455,,92450.0,,2254849,1116495,1443156,89803.0,,569471,-85490,220957
2014-05-12,1,2014,,10312,-249065,32762,31835,21595,-0.2,,-13520,1160.0,15644,,1038730,2014年01月01日至2014年03月31日,-482227,-450392,-211145,-195411,-157677,-338070,8371737,9844481,1472744,1472744,1630421,28184,,,,563507,-482227,-495747,1232.0,,137411,-271082,-254981
2014-08-12,2,2014,,-6868,-85809,14870,-417898,-465020,0.3,,147892,1427.0,20059,,819403,2014年第2季,149514,-268384,316578,47270,483545,-186139,8961586,10858102,1896516,1896516,1412971,28539,,,,565029,149514,297406,-52563.0,,135259,-167064,-315654
2014-11-12,3,2014,,-3494,-24208,17613,148787,170526,0.3,,17273,-1465.0,31495,,1003874,2014年第3季,198392,347179,320322,402616,307460,-91795,9420349,11186385,1766036,1766036,1458576,27432,,,,427270,198392,215665,16780.0,,116695,-121930,-55437
2015-03-19,4,2014,,-3840,-337028,75820,77586,152398,0.7,,349847,3797.0,74333,,3543308,2014年度,247621,325207,752408,775898,1305905,-708437,37686138,44870316,7184178,7184178,5878273,110229,,-56810.0,,2224736,247621,597468,17959.0,,521562,-504787,-450691
2015-05-12,1,2015,,18669,-9099,443046,-41341,-76439,0.62,-41341.0,110670,,13545,8819.0,661712,2015年01月01日至2015年03月31日,618167,576826,683897,663441,407043,321794,9033158,10732939,1699781,1699781,1292738,26224,,,0.62,604802,618167,728837,,-7610.0,125698,-65730,-86615
2015-08-11,2,2015,,14036,-301400,6005,-448086,-523502,0.16,-448086.0,95301,,7861,-5306.0,662044,2015年第2季,151880,-296206,176389,-137641,663375,-416194,8792503,10697020,1904517,1904517,1241142,26613,,,0.15,552485,151880,247181,,-66686.0,128660,-24509,-158565
2015-11-11,3,2015,,-30526,-67583,31875,716979,853757,0.22,716979.0,92670,,25508,-243.0,743820,2015年第3季,137557,854536,241090,732168,357450,-127223,9165871,10937665,1771794,1771794,1414344,27348,,,0.22,643176,137557,230227,,106009.0,117023,-103533,122368
2016-03-17,4,2015,-142322.0,16081,-506575,485634,-307923,-218070,1.06,-165601.0,464142,,48115,6549.0,2875459,2015年度,844103,536180,1170948,883556,1778038,-469793,36228475,43390236,7161761,7161761,5383723,106873,-142322.0,,1.05,2401391,844103,1308245,,-29839.0,496967,-326845,-347376
2016-05-10,1,2016,,23278,4456,11521,-96158,-139081,0.18,-96158.0,53438,,12880,-420.0,652758,2016年01月01日至2016年03月31日,113269,17111,199901,125223,273510,-106803,7963150,9526384,1563234,1563234,1289724,22107,,,0.18,614859,113269,166707,,-20065.0,135660,-86632,-108112
2016-08-10,2,2016,,-364,61640,14335,-231199,-259634,0.41,-231199.0,116839,,7154,-5895.0,661175,2016年第2季,402715,171516,454431,284510,557420,-37866,7810761,9630442,1819681,1819681,1262261,21436,,,0.41,579650,402715,519554,,-34694.0,120995,-51716,-112994
2016-11-10,3,2016,,3198,137876,37557,-533565,-592583,0.35,-533565.0,200090,,25259,-2239.0,666818,2016年第3季,420752,-112813,386053,102681,541687,79155,8509558,10322223,1812665,1812665,1270978,22072,,,0.35,582088,420752,620842,,-58059.0,121537,34699,-215494
