date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,-87489,-64670,1630,1630,72580,72580,244,21904,-84392,3097,0.52,0.52,,,,23162,77,33801,2013年01月01日至2013年03月31日,142168,57776,143998,59586,,,254930,-89600,2199176,2424882,225706,225706,43356,,,0.51,0.51,9555,142168,165330,26637,2198932,2402978,2402978,-1830,-1810
2013-08-06,2,2013,,,-96809,15376,16131,16131,-13930,-13930,192,5251,-94497,2312,0.12,0.12,,,,10212,350,34335,2013年04月01日至2013年06月30日,33629,-60868,34309,-60204,,,39196,4645,1872708,1974860,102152,102152,49026,,,0.12,0.12,14691,33629,43841,27212,1872516,1969609,1969609,-680,-664
2013-11-05,3,2013,,,113249,38524,1003,1003,65564,65564,205,22211,112022,-1227,0.26,0.26,,,,-10155,511,38201,2013年07月01日至2013年09月30日,72302,184324,72098,184128,,,48002,14145,1918269,1955668,37399,37399,54961,,,0.26,0.26,16760,72302,62147,25893,1918064,1933457,1933457,204,196
2014-03-18,4,2013,,,1322,-6289,14586,14586,186424,186424,778,73405,6642,6200,1.2,1.2,19916.0,34951.0,,19119,918,149317,2013年01月01日至2013年12月31日,332683,339325,331162,337763,19916.0,34951.0,448154,-96352,8144598,8623884,479286,479286,217556,,-880.0,1.09,1.09,68239,332683,351802,105567,8123904,8515528,8515528,1521,1562
2014-05-06,1,2014,,,-93049,-22264,1020,1020,30483,30483,2872,8893,-91258,1791,0.22,0.22,55615.0,61956.0,,13375,21,35378,2014年01月01日至2014年03月31日,58883,-32375,61206,-30064,55615.0,61956.0,118851,-46593,2009971,2150281,140310,140310,51942,,,0.2,0.2,16564,58883,72258,25370,1951484,2079432,2079432,-2323,-2311
2014-08-06,2,2014,,,-37909,54023,4590,4590,-26310,-26310,161,12492,-40835,-2926,0.37,0.37,0.0,0.0,,19660,393,40280,2014年第2季,100604,59769,102034,61221,0.0,0.0,89236,31028,2325179,2504787,179608,179608,64062,,,0.33,0.33,23782,100604,120264,27978,2325018,2492295,2492295,-1430,-1452
2014-11-04,3,2014,,,97909,-61073,3959,3959,67021,67021,27035,18529,100514,2605,0.22,0.22,0.0,0.0,,11104,614,42178,2014年第3季,59732,160246,61468,161965,0.0,0.0,162357,-91521,2059958,2210636,150678,150678,55342,,,0.21,0.21,13164,59732,70836,35021,2032923,2192107,2192107,-1736,-1719
2015-03-20,4,2014,,0.0,-11941,-107718,9432,9432,215635,215635,37831,46630,-6629,7556,0.83,0.83,66259.0,73260.0,,45032,1158,163170,2014年度,222461,215832,231451,224774,66259.0,73260.0,484744,-217251,8155337,8653502,498165,498165,229056,,-2244.0,0.79,0.79,65886,222461,267493,120123,8051247,8533612,8533612,-8990,-8942
2015-05-08,1,2015,,,-21108,485019,1668,1668,-133139,-133139,47,4138,-23420,-2312,1.03,1.03,0.0,0.0,-23420.0,44,30,45970,2015年01月01日至2015年03月31日,284439,261019,286420,263035,0.0,0.0,-176753,461236,1774186,1802885,28699,28699,72313,,,0.94,0.94,26343,284439,284483,25481,1774139,1798747,1798747,-1981,-2016
2015-08-05,2,2015,,,-94985,44826,2394,2394,-61863,-61863,852,1748,-97906,-2921,-0.5,-0.5,0.0,0.0,-97906.0,7063,550,34061,2015年第2季,-140751,-238657,-139596,-237491,0.0,0.0,-154313,20625,1895885,1844154,-51731,-51731,40719,,,-0.45,-0.45,6658,-140751,-133688,27145,1895033,1842406,1842406,-1155,-1166
