date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,1055,796359,339299,3178485,3829961,1.51,1.51,,993849,,0.0,5017,,1567303,2013年01月01日至2013年03月31日,4272521,7451006,4245360,7432304,4404877,861493,22777978,30095621,7317643,7317643,2912766,686729,,,1.5,1.5,658734,4272521,5266370,,652531.0,,279182,27161,18702
2013-08-12,2,2013,,-2801,573977,218764,-702827,-833239,1.43,1.43,,1590970,,,4076,,1793285,2013年04月01日至2013年06月30日,4663738,3960911,4637708,3984565,5737259,517449,26372604,35329819,8957215,8957215,3219956,737387,,,1.43,1.43,689284,4663738,6254708,,-133213.0,,279368,26030,-23654
2013-11-12,3,2013,,19473,-170214,246471,-777521,-958479,1.45,1.45,,905597,,,1181,,1837397,2013年07月01日至2013年09月30日,4724882,3947361,4713917,3944493,5820264,-189785,25713840,34857782,9143942,9143942,3323678,815529,,,1.45,1.45,670752,4724882,5630479,,-161485.0,,267223,10965,2868
2014-03-25,4,2013,,35518,1212483,1002495,2159184,2468238,5.72,5.72,,4619122,,1660.0,24716,,7377724,2013年01月01日至2013年12月31日,18641919,20801103,18548522,20762696,22214771,1046270,97758748,133086543,35327795,35327795,13113024,2982983,,92140.0,5.71,5.71,2752317,18641919,23261041,,438372.0,,1193424,93397,38407
2014-05-13,1,2014,,2371,-501719,256053,222940,268145,1.13,1.13,,1138643,,,10355,,1703053,2014年01月01日至2014年03月31日,3697124,3920064,3668317,3892321,5401320,-565553,23057605,31591686,8534081,8534081,3132761,791148,,,1.13,1.13,638560,3697124,4835767,,47576.0,,330242,28807,27743
2014-08-12,2,2014,,8097,-39011,281269,-1324681,-1594382,1.05,1.05,,1740694,,,13833,,2083004,2014年第2季,3417953,2093272,3389490,2120128,5168982,-10335,23881831,32693536,8811705,8811705,3642723,782068,,,1.04,1.04,777651,3417953,5158647,,-261604.0,,266426,28463,-26856
2014-11-11,3,2014,,326,165727,247106,1666208,1991915,1.43,1.43,,1207658,,,6416,,2167365,2014年第3季,4664088,6330296,4645603,6237686,5696486,175260,24604392,34142065,9537673,9537673,3841187,797078,,,1.43,1.43,876744,4664088,5871746,,326033.0,,243989,18485,92610
2015-03-24,4,2014,,12397,47622,1150998,2770166,3328237,4.94,4.94,,5159179,,-458.0,40060,,8474651,2014年度,16111617,18881783,16015591,18673535,21189739,81057,93113558,129014062,35900504,35900504,14710765,3229387,,-25859.0,4.93,4.93,3006727,16111617,21270796,,544151.0,,1157623,96026,208248
2015-05-12,1,2015,,20350,-257999,116311,-735747,-909413,1.01,1.01,-735747.0,962957,,,5799,,2075123,2015年01月01日至2015年03月31日,3278895,2543148,3262226,2533979,4618898,-377046,20554616,28993405,8438789,8438789,3819891,1077784,,,1.0,1.0,666984,3278895,4241852,,,-153316.0,241157,16669,9169
2015-08-11,2,2015,,32904,-232906,194972,-1390269,-1702403,1.0,1.0,-1390269.0,1727056,,,8035,,2324752,2015年第2季,3273168,1882899,3254846,1924514,5261658,-261434,21549973,31040993,9491020,9491020,4229362,1079393,,,1.0,1.0,825217,3273168,5000224,,,-279230.0,231535,18322,-41615
