date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,15379,1538,111,111,1.86,1.86,,15803,22976,2013年01月01日至2013年03月31日,114477,114588,114477,114588,113713,16567,287231,435561,148330,148330,34617,1318,,,1.86,1.86,10323,114477,130280,,0.0,,350.0,,
2013-08-09,2,2013,,2535,1436,54,54,1.61,1.61,,24741,23942,2013年04月01日至2013年06月30日,98563,98617,98563,98617,119673,3631,304566,461577,157011,157011,37338,1360,,,1.6,1.6,12036,98563,123304,,0.0,,340.0,,
2013-11-11,3,2013,,-3582,1900,-35,-35,1.8,1.8,,12642,24083,2013年07月01日至2013年09月30日,110361,110326,110361,110326,125403,-2400,304343,465753,161410,161410,36007,997,,,1.8,1.8,10927,110361,123003,,0.0,,718.0,,
2014-03-24,4,2013,,23760,7936,6267,195,7.11,7.11,,73092,93619,2013年01月01日至2013年12月31日,436713,442980,436713,442980,480219,29586,1195048,1818853,623805,623805,143586,6535,,7219.0,7.09,7.09,43432,436713,509805,,1147.0,,2110.0,,
2014-05-12,1,2014,,23082,1657,-10,-10,1.76,1.76,,22090,23979,2014年01月01日至2014年03月31日,107850,107840,107850,107840,105453,24487,285923,427099,141176,141176,35723,953,,,1.75,1.75,10791,107850,129940,,0.0,,252.0,,
2014-08-04,2,2014,,-11539,2077,-51,-51,1.87,1.87,,26513,24518,2014年第2季,115083,115032,115083,115032,151065,-9469,351359,540759,189400,189400,38335,1337,,,1.87,1.87,12480,115083,141596,,0.0,,7.0,,
2014-11-10,3,2014,,-174,1850,11,11,1.99,1.99,,28248,28267,2014年第3季,134359,134370,134359,134370,160965,1642,382539,586220,203681,203681,42716,1678,,,1.99,1.99,12771,134359,162607,,0.0,,34.0,,
2015-03-24,4,2014,,32126,8002,-605,-50,7.34,7.34,,105820,107011,2014年度,495510,494905,495510,494905,561495,39835,1427449,2155189,727740,727740,166245,8386,,-669.0,7.32,7.32,50848,495510,601330,,-114.0,,293.0,,
2015-05-11,1,2015,,-21933,4112,0,0,1.38,1.38,0.0,19048,29535,2015年01月01日至2015年03月31日,92998,92998,92998,92998,129867,-17821,328150,499256,171106,171106,41239,1757,,,1.37,1.37,9947,92998,112046,,,0.0,0.0,,
2015-08-12,2,2015,,-10881,2741,0,0,1.27,1.27,0.0,30037,27421,2015年第2季,85954,85954,85954,85954,124131,-8140,302399,465977,163578,163578,39447,2163,,,1.27,1.27,9863,85954,115991,,,0.0,0.0,,
2015-11-06,3,2015,,59207,2423,-160,-160,2.17,2.17,-160.0,29945,22426,2015年第3季,145855,145695,146200,146040,114170,61630,290740,443654,152914,152914,38744,1986,,,2.16,2.16,14332,145855,175800,,,,0.0,-345.0,-345.0
2016-03-25,4,2015,8626.0,23628,11859,8994,368,6.2,6.2,368.0,98955,105184,2015年度,418219,427213,418853,427719,481687,35487,1189076,1832109,643033,643033,161346,9539,9148.0,,6.17,6.17,46623,418219,517174,522.0,,,0.0,-634.0,-506.0
2016-05-05,1,2016,,-16630,1734,28,32,1.17,1.17,28.0,15954,22591,2016年01月01日至2016年03月31日,78777,78805,79218,79236,109627,-14896,228033,373418,145385,145385,35758,1916,,,1.17,1.17,11251,78777,94731,,,4.0,,-441.0,-431.0
2016-08-10,2,2016,,-458,2678,53,65,1.41,1.41,53.0,27157,22320,2016年第2季,94579,94632,94963,94998,119516,2220,236793,393159,156366,156366,36850,1641,,,1.41,1.41,12889,94579,121736,,,12.0,,-384.0,-366.0
2016-11-09,3,2016,,-36989,1914,-92,-110,1.0,1.0,-92.0,13851,21247,2016年第3季,67282,67190,67628,67568,116702,-35569,249236,399754,150518,150518,33816,1102,,,1.0,1.0,11467,67282,81133,,,-18.0,494.0,-346.0,-378.0
