date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,61788,96335,279398,1217821,1182450,0.63,0.63,,109135,-26500.0,311234,,1202729,2013年01月01日至2013年03月31日,1043105,2260926,992674,2257388,577289,574951,71255844,73636807,2380963,2380963,1803674,,,0.61,0.61,600945,1043105,1152240,,-83.0,,112016,50431,3538
2013-08-09,2,2013,,-63440,407965,431151,-954690,-873745,0.97,0.97,,368804,-17505.0,219825,,1249213,2013年04月01日至2013年06月30日,1572288,617598,1544592,616640,1014108,926984,75890454,78779789,2889335,2889335,1875227,,,0.94,0.94,626014,1572288,1941092,,0.0,,131957,27696,958
2013-11-13,3,2013,,-61876,106738,387144,-794195,-724221,0.88,0.88,,229039,-8028.0,257014,,1183214,2013年07月01日至2013年09月30日,1413847,619652,1394540,686297,1057223,585663,82904930,85751917,2846987,2846987,1789764,,,0.87,0.87,606550,1413847,1642886,,70.0,,165233,19307,-66645
2014-03-21,4,2013,,9219,663434,1442670,-589885,-544570,3.32,3.32,,959316,-61162.0,984861,,4980530,2013年01月01日至2013年12月31日,5432508,4842623,5273995,4684110,3879280,2512544,319200976,330259753,11058777,11058777,7179497,,11478.0,3.23,3.23,2198967,5432508,6391824,,4850.0,,578421,158513,158513
2014-05-12,1,2014,,-45788,-328178,513272,1332848,1350096,0.63,0.63,,135846,28540.0,269115,,1200833,2014年01月01日至2014年03月31日,1045375,2378223,994192,2373979,888281,292940,75544802,78150572,2605770,2605770,1717489,,,0.63,0.63,516656,1045375,1181221,,0.0,,161269,51183,4244
2014-08-11,2,2014,,-10723,-79618,328481,-866734,-889280,0.72,0.72,,218860,33269.0,262714,,907749,2014年第2季,1214289,347555,1149730,359471,1100797,332352,75151950,77931683,2779733,2779733,1678936,,,0.72,0.72,771187,1214289,1433149,,0.0,,179225,64559,-11916
2014-11-13,3,2014,,-120863,29336,347464,-12405,125936,0.94,0.94,,366015,-17478.0,241071,,992408,2014年第3季,1549509,1537104,1495465,1492899,1490103,425421,87532557,90713904,3181347,3181347,1691244,,,0.94,0.94,698836,1549509,1915524,,0.0,,192450,54044,44205
2015-03-16,4,2014,,-197766,-297149,1642441,1985706,2295038,3.16,3.16,,962037,-123216.0,1128824,,4138854,2014年度,5255196,7240902,5024099,7123598,4449679,1767554,320007409,331532594,11525185,11525185,7075506,,11849.0,3.16,3.16,2936652,5255196,6217233,,199.0,,706562,231097,117304
2015-05-11,1,2015,,-2090,-258572,456462,-1640317,-1584098,0.73,0.73,-1640317.0,133293,,342536,-54129.0,1050541,2015年01月01日至2015年03月31日,1210400,-429917,1156797,-427205,986196,357497,67525757,70236826,2711069,2711069,1724873,,,0.73,0.73,674332,1210400,1343693,,,,182929,53603,-2712
2015-08-05,2,2015,,-1019,60154,592784,-803514,-776681,0.82,0.82,-803514.0,306475,,312809,-25814.0,977126,2015年第2季,1369177,565663,1300182,528667,915307,760345,70579639,73178379,2598740,2598740,1683433,,,0.82,0.82,706307,1369177,1675652,,,,205402,68995,36996
