date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,其他費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,881432,,,-174015,67911,67911.0,0.0,1377392,,369982,-0.43,,82649,,,125978.0,-208376,,,,,,,1272054,2013年01月01日至2013年03月31日,-771514,605878,,-842004,479153,-146630,-542235,25006312,27505858,2499546,2499546,2646176,680287,,,,693835,-771514,-688865,,,227755,,70490,126725
2013-08-06,2,2013,,,,-61540,,,403096,93712,93712.0,0.0,115547,,110172,0.29,,106579,,,66915.0,271450,,,,,,,1404390,2013年04月01日至2013年06月30日,794504,910051,,570102,674060,431175,469908,26023534,29318794,3295260,3295260,2864085,698121,,,,761574,794504,901083,,,298350,,224402,235991
2013-11-06,3,2013,,,,97905,,,254195,71314,71314.0,0.0,-171437,,-246628,0.17,,117072,,,-22714.0,167529,,,,,,,1410091,2013年07月01日至2013年09月30日,535775,364338,,340941,170031,414965,237882,26813606,30040245,3226639,3226639,2811674,750915,,,,650668,535775,652847,,,255156,,194834,194307
2014-03-20,4,2013,,,,1101005,,,387313,505966,505966.0,0.0,1797530,,426865,0.36,,320209,,,243814.0,287767,,,,,,,5544193,2013年01月01日至2013年12月31日,1405978,3203508,,709272,2391619,1561151,165036,106634262,119230535,12596273,12596273,11035122,2902695,,25846.0,,2588234,1405978,1726187,,,1016010,,696706,811889
2014-05-09,1,2014,,,,9744,,,-109203,83068,83068.0,,186962,,162282,0.14,,90845,,,14936.0,-18844,,,,,,,1315311,2014年01月01日至2014年03月31日,423449,610411,,284346,451272,798043,-283749,26263875,29813513,3549638,3549638,2751595,735383,,,,700901,423449,514294,,,238770,,139103,159139
2014-08-08,2,2014,,,,-85637,,,146442,115650,115650.0,,-536993,,-363337,0.42,,92524,,,-88019.0,280096,,,,,,,1525890,2014年第2季,954568,417575,,832852,361128,744733,302359,29552933,33360918,3807985,3807985,3063252,831976,,,0.42,705386,954568,1047092,,,239829,,121716,56447
2014-11-12,3,2014,,,,97843,,,-37794,108692,,,623279,,433922,0.53,,83766,,,91514.0,515105,,,,,,,1517791,2014年第3季,1095062,1718341,,1039651,1524809,796858,381970,31052375,34902457,3850082,3850082,3053224,810314,,,0.52,725119,1095062,1178828,,,204033,,55411,193532
2015-03-19,4,2014,,,,66939,,,64467,366026,,,1118261,,910814,1.51,,354731,,,178740.0,1205447,,,,,,,5997189,2014年度,3333139,4451400,,2971068,3890695,2928247,759623,118453278,133510923,15057645,15057645,12129398,3208567,,-38232.0,1.5,2923642,3333139,3687870,,,876317,,362071,560705
2015-05-05,1,2015,0.0,0.0,0.0,172020,0.0,0.0,85213,84558,,,-174281,,-272771,0.32,-174281.0,104027,0.0,0.0,,349981,-73530.0,0.0,0.0,0.0,0.0,0.0,1472249,2015年01月01日至2015年03月31日,672709,498428,0.0,620005,503436,450904,325832,28960460,32428096,3467636,3467636,3016732,829556,0.0,,0.31,714927,672709,776736,0.0,0.0,193920,0.0,52704,-5008
2015-08-12,2,2015,0.0,0.0,0.0,-670258,,,170001,125514,,,-1032185,,-263589,0.37,-1032185.0,252414,0.0,0.0,,297316,-98338.0,0.0,0.0,0.0,0.0,0.0,1490993,2015年第2季,791317,-240868,0.0,720046,-243630,643758,399973,29474989,33209697,3734708,3734708,3090950,870216,0.0,,0.36,729741,791317,1043731,0.0,0.0,192858,0.0,71271,2762
2015-11-11,3,2015,0.0,0.0,0.0,-223156,,,-87396,78740,,,1068849,,1049688,0.29,1068849.0,119675,0.0,0.0,,362136,242317.0,0.0,0.0,0.0,0.0,0.0,1394196,2015年第3季,583083,1651932,0.0,573204,1530758,549234,153524,29763503,33250976,3487473,3487473,2938239,858004,0.0,,0.29,686039,583083,702758,0.0,0.0,199956,0.0,9879,121174
2016-03-08,4,2015,0.0,-65080.0,0.0,-544925,,,132445,444392,,,-225080,,378935,1.1,-160000.0,615871,0.0,-17256.0,,472871,5990.0,0.0,0.0,-17256.0,0.0,0.0,5750745,2015年度,2245484,2020404,0.0,2169178,1976188,2597680,263675,118462432,133102431,14639999,14639999,12042319,3468591,-47824.0,,1.09,2822983,2245484,2861355,0.0,0.0,786033,0.0,76306,44216
2016-05-03,1,2016,0.0,0.0,0.0,25934,,,-100949,66940,,,-392983,,-307365,0.26,-392983.0,87445,0.0,0.0,,-366862,-111552.0,0.0,0.0,0.0,0.0,0.0,1332364,2016年01月01日至2016年03月31日,426061,33078,0.0,513924,163062,1085749,-572243,27890795,31764175,3873380,3873380,2787631,785794,0.0,,0.26,669473,426061,513506,0.0,0.0,171372,0.0,-87863,-129984
2016-08-10,2,2016,0.0,0.0,0.0,67940,,,-321737,74541,,,-160604,,-149289,0.41,-160604.0,235387,0.0,0.0,,-8200,-79255.0,0.0,0.0,0.0,0.0,0.0,1353135,2016年第2季,735823,575219,0.0,797565,672069,1377416,-406206,27369766,31520968,4151202,4151202,2773786,814770,0.0,,0.4,605881,735823,971210,0.0,0.0,150810,0.0,-61742,-96850
2016-11-03,3,2016,0.0,0.0,0.0,91900,,,191275,82568,,,-660468,194337.0,-568725,0.73,-660468.0,173245,0.0,0.0,,395278,-183643.0,0.0,0.0,0.0,0.0,0.0,1425415,2016年第3季,1231683,571215,0.0,1430510,836454,875228,529700,27997873,31985076,3987203,3987203,3111975,829197,0.0,,0.72,663026,1231683,1404928,0.0,0.0,139421,0.0,-198827,-265239
