date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,7205,30589,83059,262150,254945,1.12,,123312,,143954,2013年01月01日至2013年03月31日,442159,704309,445730,655360,460492,104979,3795422,4552417,756995,756995,296503,24103,,,1.11,128446,442159,565471,,,,8669,18275.0,4576604.0,4552417,5912.0,-3571,48949
2013-08-14,2,2013,,3684,2189,184944,12826,9142,1.08,,150224,0.0,166544,2013年04月01日至2013年06月30日,456026,468852,429964,479612,425834,180416,4070987,4807216,736229,736229,310395,25334,,,1.07,118517,456026,606250,,,,6717,,,4807216,,26062,-10760
2013-11-14,3,2013,,-28230,-2380,98748,-112157,-83927,1.09,,137099,0.0,156130,2013年07月01日至2013年09月30日,434881,322724,434919,336487,482646,89334,4277218,5061107,783889,783889,301243,45814,,,1.09,99299,434881,571980,,,,7034,,,5061107,,-38,-13763
2014-03-20,4,2013,,-20240,60470,484865,219283,236854,4.39,,507598,0.0,640067,2013年01月01日至2013年12月31日,1762848,1982131,1746049,1985227,1758003,512443,16365576,19322793,2957217,2957217,1199214,174519,,3215.0,4.36,384628,1762848,2270446,,546.0,,32892,,,19322793,,16799,-3096
2014-05-13,1,2014,,-12034,42394,138671,30086,42120,1.26,,130295,,172996,2014年01月01日至2014年03月31日,503068,533154,502447,512957,459289,174074,4413552,5196260,782708,782708,323419,44005,,,1.26,106418,503068,633363,,,,6991,,,5196260,,621,20197
2014-08-13,2,2014,,9271,-57547,138940,-127767,-137038,0.79,,157146,,163274,2014年第2季,311243,183476,315984,200418,394987,73402,4576043,5286710,710667,710667,315680,42417,,,0.79,109989,311243,468389,,0.0,,7991,,,5286710,,-4741,-16942
2014-11-12,3,2014,,-8277,69286,135436,175652,183929,1.08,,164365,,157993,2014年第3季,422271,597923,429721,592199,390459,196177,4620391,5307659,687268,687268,296809,41260,,,1.08,97556,422271,586636,,0.0,,8545,,,5307659,,-7450,5724
2015-03-20,4,2014,,-7769,148024,570319,305077,302493,4.45,,603251,,655845,2014年度,1741650,2046727,1768992,2033525,1665754,679147,18415768,21303660,2887892,2887892,1222138,171613,,13010.0,4.42,394680,1741650,2344901,,2657.0,,39196,,,21303660,,-27342,13202
2015-05-13,1,2015,,-4962,-18822,107959,-71957,-66995,0.95,-71957.0,123710,,156118,2015年01月01日至2015年03月31日,368396,296439,378161,307726,414528,77578,4766682,5485553,718871,718871,304343,46329,,,0.95,101896,368396,492106,,,0.0,11559,,,5485553,,-9765,-11287
2015-08-13,2,2015,,-9653,-47668,121394,-155498,-145845,0.79,-155498.0,126096,,154817,2015年第2季,294379,138881,313864,189518,353019,67456,4872048,5548155,676107,676107,323088,45151,,,0.78,123120,294379,420475,,,0.0,6270,,,5548155,,-19485,-50637
2015-11-12,3,2015,,-9946,133222,147469,268163,278109,1.71,268163.0,249626,,160062,2015年第3季,659845,928008,678921,948794,637010,272461,4949267,5917183,967916,967916,330906,51012,,,1.7,119832,659845,909471,,,0.0,8230,,,5917183,,-19076,-20786
2016-03-18,4,2015,24051.0,-30264,55226,478424,-49520,-43307,4.97,-73571.0,651356,,631334,2015年度,1914455,1864935,1977323,1960241,2063685,502126,19310837,22644105,3333268,3333268,1269583,197358,28811.0,,4.94,440891,1914455,2565811,4760.0,,0.0,31524,,,22644105,,-62868,-95306
2016-05-13,1,2016,,2555,-47948,102209,-110787,-113342,1.62,-110787.0,209704,,156706,2016年01月01日至2016年03月31日,632425,521638,645434,533426,795300,46829,5012685,6118393,1105708,1105708,310408,38854,,,1.61,114848,632425,842129,,,0.0,7432,,,6118393,,-13009,-11788
2016-08-12,2,2016,,1725,22681,123405,-123609,-125334,1.53,-123609.0,263422,,156451,2016年第2季,590802,467193,606461,480954,716604,137620,4819588,5854394,1034806,1034806,318202,38243,,,1.52,123508,590802,854224,,,0.0,8466,,,5854394,,-15659,-13761
2016-11-11,3,2016,,-866,-80635,77340,-228821,-227955,1.45,-228821.0,205123,,145784,2016年第3季,574268,345447,576221,334956,794211,-14820,4858969,5969309,1110340,1110340,316129,36452,,,1.44,133893,574268,779391,,,0.0,11525,,,5969309,,-1953,10491
