date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,14627,895314,176513,583210,568583,0.5,,709174,,,2114,,606394,2013年01月01日至2013年03月31日,1604685,2187895,1781027,2365832,1384920,928939,95817418,100762046,4944628,4944628,3559708,1917567,,,0.49,1035747,1604685,2313859,,,,145002,-176342,-177937
2013-08-13,2,2013,,-83347,637907,291536,280147,366071,0.45,,671963,,-2577.0,-64581,,599056,2013年04月01日至2013年06月30日,1582645,1862792,1609723,1895956,1534710,719898,98085114,103230011,5144897,5144897,3610187,1923154,,,0.45,1087977,1582645,2254608,,,,144964,-27078,-33164
2013-11-12,3,2013,,-50842,-219267,370708,-265639,-213264,0.53,,541753,,-1533.0,-48184,,665912,2013年07月01日至2013年09月30日,1634196,1368557,1899267,1632998,2225030,-49081,116258904,122469284,6210380,6210380,3985350,2145749,,,0.53,1173689,1634196,2175949,,,,152338,-265071,-264441
2014-03-25,4,2013,,-184289,870882,1483583,925163,1094159,1.97,,2714888,,9908.0,-280024,,2558917,2013年01月01日至2013年12月31日,6209438,7134601,7074172,8011952,7511866,1412460,438283233,461091703,22808470,22808470,15296604,8156825,,6521.0,1.96,4580862,6209438,8924326,,1136.0,,661981,-864734,-877351
2014-05-13,1,2014,,99623,457704,678494,341595,241683,0.53,,758302,,289.0,-1022,,626468,2014年01月01日至2014年03月31日,1946683,2288278,1893547,2234902,1948222,756763,110883442,116685109,5801667,5801667,3853445,2122321,,,0.53,1104656,1946683,2704985,,,,378413,53136,53376
2014-08-12,2,2014,,27281,-149752,868526,-466908,-490976,0.41,,616642,,-3213.0,-4475,,661638,2014年第2季,1506901,1039993,1478427,1011445,1680038,443505,99345028,104903602,5558574,5558574,3878536,2020677,,,0.41,1196221,1506901,2123543,,,,270794,28474,28548
2014-11-07,3,2014,,-28078,625697,681260,482150,506793,0.51,,601021,,3435.0,7755,,730632,2014年第3季,1680646,2162796,1829371,2308563,1347216,934451,96000116,101339792,5339676,5339676,3992460,2093405,,,0.51,1168423,1680646,2281667,,0.0,,380261,-148725,-145767
2015-03-24,4,2014,,32,1015376,2864110,1359826,1472514,1.98,,3015137,,1836.0,-56450,,2926456,2014年度,6665561,8025387,7097815,8455834,7109079,2571619,412251630,435599968,23348338,23348338,16239259,8511964,,-6610.0,1.96,4800839,6665561,9680698,,107946.0,,1251417,-432254,-430447
2015-05-11,1,2015,,248512,-324541,598156,-213469,-458899,0.41,-213469.0,485799,,,-10626,-3082.0,622191,2015年01月01日至2015年03月31日,1284306,1070837,1452970,1239350,1606352,163753,84037258,89303408,5266150,5266150,3659798,1877265,,,0.4,1160342,1284306,1770105,,,0.0,99236,-168664,-168513
2015-08-11,2,2015,,-73326,37533,537026,-310208,-237776,0.32,-310208.0,455851,,,-19104,894.0,627316,2015年第2季,930691,620483,1170438,860075,1118285,268257,85633873,90692400,5058527,5058527,3940242,2200213,,,0.32,1112713,930691,1386542,,,,287198,-239747,-239592
2015-11-10,3,2015,,-146897,1315221,559116,649255,796578,0.54,649255.0,923905,,,-20698,-426.0,695416,2015年第3季,1890617,2539872,1943116,2589849,1356449,1458073,99819314,105422624,5603310,5603310,4246861,2257065,,,0.54,1294380,1890617,2814522,,,,395566,-52499,-49977
2016-03-22,4,2015,-48218.0,48545,676152,2112228,-245620,-640299,1.55,-197402.0,2208135,69.0,,-97605,12423.0,2688381,2015年度,4975735,4730115,5563633,5315880,5407268,1776602,373764813,395470221,21705408,21705408,16298140,8816932,-58068.0,,1.54,4792827,4975735,7183870,-9781.0,,-381929.0,914173,-587898,-585765
2016-05-10,1,2016,,121425,-250531,329096,-341736,-444382,0.34,-341736.0,518868,,,3782,-18779.0,523963,2016年01月01日至2016年03月31日,1365468,1023732,1231328,891202,1865142,19194,89718514,95363591,5645077,5645077,3779935,2096268,,,0.34,1159704,1365468,1884336,,,0.0,63153,134140,132530
2016-08-09,2,2016,,-5462,-342018,228423,-703312,-697014,0.4,-703312.0,525341,,,-10953,-836.0,609150,2016年第2季,1303619,600307,1414265,714805,2085345,-256385,102329555,108331042,6001487,6001487,3916142,2184714,,,0.39,1122278,1303619,1828960,,,,131837,-110646,-114498
2016-11-14,3,2016,,20981,-779365,216936,-972198,-991798,0.34,-972198.0,438436,,,-15058,-1381.0,642419,2016年第3季,676687,-295511,1213408,245355,1881149,-766026,105762509,111653720,5891211,5891211,4010062,2255631,,,0.34,1112012,676687,1115123,,,,188539,-536721,-540866
