date,season,year,不動產、廠房及設備重估價利益,不動產、廠房及設備重估價損失,什項支出,保證合約損失,停工損失,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,公允價值調整利益－投資性不動產,公允價值調整損失－投資性不動產,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他減損迴轉利益,其他綜合損益（淨額）,分期付款銷貨收入,利息費用,國外營運機構淨投資避險無效而認列於損益之利益,國外營運機構淨投資避險無效而認列於損益之損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,專櫃銷貨收入（百貨業適用）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,按攤銷後成本衡量之金融負債利益,按攤銷後成本衡量之金融負債損失,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,歸因於所規避風險之被避險項目之利益－公允價值避險,歸因於所規避風險之被避險項目之損失－公允價值避險,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,無形資產重估價利益,無形資產重估價損失,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險有效而自權益轉列之利益,現金流量避險有效自權益轉列之損失,現金流量避險無效而認列於損益之利益,現金流量避險無效而認列於損益之損失,生物資產當期公允價值減出售成本之變動之利益,生物資產當期公允價值減出售成本之變動之損失,由攤銷後成本衡量之金融資產產生之手續費費損,當期原始認列生物資產之利益,當期原始認列生物資產之損失,當期所得稅費用（利益）,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資性不動產損失,處分投資損失,處分無形資產利益,處分無形資產損失,虧損性合約損失,負債性特別股股息,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,避險工具之利益－公允價值避險,避險工具之損失－公允價值避險,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,0.0,0.0,-1109.0,0.0,0.0,0.0,,0.0,0.0,0.0,31171,8724,8724,,0.0,-28445,0.0,3018.0,0.0,0.0,-28445,0.1,0.1,27141.0,0.0,0.0,0.0,,131,0.0,0.0,0.0,0.0,10513,2013年01月01日至2013年03月31日,0.0,,7426,-21019,0.0,0.0,7426,-21019,0.0,0.0,0.0,0.0,-29320,36877,39729,54761,15032,15032,44352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,12046,0.1,0.1,21793,7426,7557,2147.0,0.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018,0.0,0.0,0.0,0.0,0.0,0.0,39729,39729,0.0,54761,54761,54761,0.0,0.0,0.0,0.0
2013-08-12,2,2013,,,,,,,0.0,0.0,,,14274,8078,8078,,,-14216,,,,,-14216,-0.16,-0.16,,,,0.0,,-225,,,,,13552,2013年04月01日至2013年06月30日,0.0,,-11948,-26164,,,-11948,-26164,,,,,-31687,19514,63128,76347,13219,13219,44906,,,,,,,,,,-225.0,10710,-0.16,-0.16,20644,-11948,-12173,,,,,,,,,,,2838,,,,,,,63128,63128,,76347,76347,76347,,,0.0,0.0
2013-11-12,3,2013,,,,,,0.0,,0.0,,,-13467,9171,9171,-266.0,,14050,,,,,14050,-0.54,-0.54,-13733.0,,,0.0,,83,,,,0.0,9780,2013年07月01日至2013年09月30日,0.0,,-38925,-24875,,,-38925,-24875,-266.0,,,,-31134,-7708,54583,67528,12945,12945,44079,,,,,,,,,,83.0,10518,-0.54,-0.54,23781,-38925,-38842,,,,,,,,,,,3412,,,,,,0.0,54583,54583,,67528,67528,67528,,0.0,0.0,0.0
2014-03-20,4,2013,,,,,,,,0.0,,,42920,35455,35455,2688.0,,-47614,,,,,-47614,-0.51,-0.51,49797.0,,,0.0,,1179,,,,,43146,2013年01月01日至2013年12月31日,0.0,,-36989,-84603,,,-36989,-84603,2688.0,,,,-101382,65572,219652,284989,65337,65337,166719,,,,,,,,,,1179.0,42664,-0.51,-0.51,80909,-36989,-35810,,,,,,4189.0,,,,,12803,,,,,,,219652,219652,,284989,284989,284989,,,0.0,0.0
2014-05-12,1,2014,,,,,,,,,,,-4951,8010,8010,,,3883,,,,,3883,-0.39,-0.39,-4951.0,,,,,188,,,,,16475,2014年01月01日至2014年03月31日,,,-28356,-24473,,,-28356,-24473,,,,,-27494,-674,37787,53785,15998,15998,43492,,,,,,,,,,188.0,9084,-0.39,-0.39,17933,-28356,-28168,,,,,,,,,,,3733,,,,,,,37787,37787,,53785,53785,53785,,,,
2014-08-11,2,2014,,,,,,,,,,,-15876,11031,11031,,,15268,,,,,15268,-0.53,-0.53,,,,0.0,,80,,,,,10235,2014年第2季,0.0,,-38333,-23065,,,-38333,-23065,,,,,-29246,-9007,39395,51525,12130,12130,41376,,,,,,,,,,80.0,11248,-0.53,-0.53,19893,-38333,-38253,,,,,,,,,,,4162,,,,,,,39395,39395,,51525,51525,51525,,,0.0,0.0
2014-11-11,3,2014,,,,,,0.0,,0.0,,,27057,9638,9638,,,-26714,,,,,-26714,0.12,0.12,,,,0.0,,270,,,,0.0,11227,2014年第3季,0.0,,8794,-17920,,,8794,-17920,,,,,-23639,32703,37984,53378,15394,15394,39033,,,,,,,,,,270.0,10078,0.12,0.12,17728,8794,9064,,,,,,,,,,,3992,,,,,,,37984,37984,,53378,53378,53378,,,0.0,0.0
2015-03-16,4,2014,,,,,,,,,,,42570,52773,52773,242.0,,-41781,,,,,-41781,-0.54,-0.54,42812.0,,,0.0,,476,,,,,51684,2014年度,0.0,,-39349,-81130,,,-39349,-81130,242.0,,,,-118243,79370,149250,194939,45689,45689,163932,,,,,,,,,,476.0,39579,-0.54,-0.54,72669,-39349,-38873,,,,,,0.0,,,,,15973,,,,,,,149250,149250,,194939,194939,194939,,,0.0,0.0
2015-05-13,1,2015,,,,,,,,,,,-15398,15260,15260,6.0,,9045,,,,,9045,-0.35,-0.35,,15392.0,,0.0,9045.0,211,,,,,10277,2015年01月01日至2015年03月31日,0.0,211.0,-25363,-16318,,,-25363,-16318,6.0,,,,-20649,-4503,39686,53471,13785,13785,34434,,,,,,,,,,,8408,-0.35,-0.35,15749,-25363,-25152,,,,,,,,,,,4365,,,,,,,39686,39686,,53471,53471,53471,,,0.0,0.0
2015-08-10,2,2015,,,,,,,,,,,-17620,10540,10540,2551.0,,15607,,,,,15607,-0.51,-0.51,,15069.0,,0.0,15607.0,94,,,,,12027,2015年第2季,0.0,94.0,-37105,-21498,,,-37105,-21498,2551.0,,,,-25218,-11793,48565,61628,13063,13063,38281,,,,,,,,,,,8142,,,18112,-37105,-37011,,,,,,,,,,,4713,,,,,,,48565,48565,,61628,61628,61628,,,0.0,0.0
