date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,293787,1526601,44196,698479,412146,2.54,2.54,,173350,,56775,,326775,2013年01月01日至2013年03月31日,1666696,2365175,1666696,2365175,405892,1434154,3122949,4565344,1442395,1442395,1036503,129456,,,2.52,2.52,580272,1666696,1840046,,7454.0,,193418,,
2013-08-12,2,2013,,-75656,161030,180574,207533,288231,0.79,0.79,,220038,,45634,,329319,2013年04月01日至2013年06月30日,517437,724970,517437,724970,526952,210523,2760292,4144970,1384678,1384678,857726,96929,,,0.78,0.78,431478,517437,737475,,5042.0,,176715,,
2013-11-13,3,2013,,-144714,98210,91514,-307409,-165365,0.54,0.54,,220808,,69860,,306276,2013年07月01日至2013年09月30日,353741,46332,353741,46332,501022,73527,2892364,4398106,1505742,1505742,1004720,116987,,,0.54,0.54,581457,353741,574549,,-2670.0,,186057,,
2014-03-25,4,2013,,85181,1865911,492896,952615,765178,4.53,4.53,,840248,89071.0,252997,,1413946,2013年01月01日至2013年12月31日,2971435,3924050,2971435,3924050,1924586,1887097,12120182,17987748,5867566,5867566,3942980,488607,,34128.0,4.5,4.5,2040427,2971435,3811683,,20943.0,,724707,,
2014-05-12,1,2014,,91543,-135128,62018,564009,476168,0.51,0.51,,191855,,59231,,308431,2014年第1季,337629,901638,337629,901638,732616,-203132,3333452,5023411,1689959,1689959,957343,118663,,,0.51,0.51,530249,337629,529484,,3702.0,,189253,,
2014-08-13,2,2014,,-115076,140671,143771,-1133923,-1025703,1.09,1.09,,308843,,66876,,280718,2014年第2季,713997,-419926,713997,-419926,844100,178740,3309973,5023718,1713745,1713745,869645,79264,,,1.08,1.08,509663,713997,1022840,,-6856.0,,172578,,
2014-11-13,3,2014,,28544,315309,100952,1131630,1109906,0.76,0.76,,258518,,78376,,366130,2014年第3季,499626,1631256,499626,1631256,465631,292513,2460469,4009843,1549374,1549374,1083743,147512,,,0.76,0.76,570101,499626,758144,,6820.0,,202124,,
2015-03-27,4,2014,,-130915,946232,386456,2922017,2956543,3.55,3.55,,1053830,116365.0,292187,,1332497,2014年度,2332313,5254330,2332389,5254679,2601934,784209,12276304,19054116,6777812,6777812,4175878,502353,,-6830.0,3.53,3.53,2341028,2332313,3386143,,13146.0,,840666,-76.0,-349.0
2015-05-05,1,2015,,-12359,152021,54479,-921793,-885553,0.8,0.8,-921793.0,219348,,102551,-34279.0,310846,2015年01月01日至2015年03月31日,523895,-397898,523721,-397843,698347,44896,3220781,4894312,1673531,1673531,975184,115033,,,0.79,0.79,549305,523895,743243,,,-10398.0,264155,174.0,-55.0
2015-08-12,2,2015,,-84369,-21099,121545,-509454,-355237,0.42,0.42,-509454.0,215245,,86488,-93103.0,297433,2015年第2季,273639,-235815,273446,-235638,537411,-48527,2559964,4083269,1523305,1523305,985894,123521,,,0.41,0.41,564940,273639,488884,,,-23255.0,235461,193.0,-177.0
2015-11-12,3,2015,,-142354,-309238,117409,1408176,1490972,0.06,0.06,1408176,164541,,12503,103551,322886,2015年第3季,42566,1450742,41523,1448610,637100,-429993,3166278,4851913,1685635,1685635,1048535,102630,,,0.06,0.06,623019,42566,207107,,,43993,250667,1043,2132
2016-03-25,4,2015,-17905.0,-278241,-449233,490079,-1507878,-1178463,1.57,1.57,-1489973.0,721817,,224463,-46294.0,1322473,2015年度,1031364,-476514,1029352,-478924,2513362,-760181,12686896,19393313,6706417,6706417,4193055,485430,-21573.0,,1.55,1.55,2385152,1031364,1753181,-3668.0,,-13025.0,1025490,2012.0,2410.0
2016-05-12,1,2016,,65406,-374410,120075,-811929,-916937,0.11,0.11,-811929.0,116013,,73804,45634.0,290942,2016年01月01日至2016年03月31日,69870,-742059,69740,-742878,620551,-434668,3172149,4767951,1595802,1595802,975251,93409,,,0.11,0.11,590900,69870,185883,,,6032.0,254137,130.0,819.0
2016-08-12,2,2016,,-111400,-132983,324864,-1371375,-1168867,0.39,0.39,-1371375.0,131544,,24827,-159124.0,288773,2016年第2季,252164,-1119211,251959,-1120860,430315,-46607,2943256,4322029,1378773,1378773,948458,111211,,,0.39,0.39,548474,252164,383708,,,-68016.0,263315,205.0,1649.0
2016-11-14,3,2016,,55417,-202237,103565,-1853275,-1834198,0.05,0.05,-1853275.0,131796,,55848,-94224.0,288860,2016年第3季,34690,-1818585,34399,-1818691,496836,-330350,3495525,4904984,1409459,1409459,912623,107029,,,0.05,0.05,516734,34690,166486,,,-19730.0,287526,291.0,106.0
